# {'par': {'k': 20, 'D': 0.1, 'v': 0.5, 'tau': 1.0, 'R': 0.9, 'label': '(k_20)'}, 'guess_range': ([-300, 50, 350], [0, 200, 200]), 'tols': (1e-15, 1e-06, 4)}
Sol_r,Sol_i,Guess_r,Guess_i,g(x),instances
18.388039643328277,1.5510062947380922e-17,17.908309455587414,0.0,7.764738208252394e-07,64
15.427151888965923,-1.8027641002880101e-19,14.899713467048684,0.0,3.014876387662807e-09,128
10.494368402720877,1.5428354218532335e-20,9.88538681948421,0.0,9.30526766802444e-11,148
4.108091022631535,-1.8101747094426888,-180.65902578796562,1.0050251256281406,3.552713678800501e-14,4239
4.108091022631535,1.810174709442689,-180.65902578796562,-1.0050251256281406,2.864289338439558e-14,4239
2.1263828290052493,-6.812604504359222,-49.283667621776516,-1.0050251256281406,1.9907880820997406e-13,1326
2.1263828290052484,6.812604504359223,-49.283667621776516,1.0050251256281406,2.2914314707516465e-13,1326
0.6908927097404648,-11.904445708840273,0.8595988538681922,-5.025125628140703,1.1457157353758233e-13,398
0.6908927097404648,11.904445708840273,0.8595988538681922,5.025125628140703,1.1457157353758233e-13,398
-0.07016136308111591,-91.99573615808033,-0.14326647564467976,-90.45226130653265,6.697238997889826e-07,140
-0.07016136308111673,91.99573615808033,-0.14326647564467976,90.45226130653265,6.982907363092888e-07,140
-0.10382753082325165,85.72011908387785,-1.1461318051576086,84.42211055276381,5.066394805908203e-07,141
-0.10382753082325165,-85.72011908387785,-1.1461318051576086,-84.42211055276381,5.066394805908203e-07,141
-0.12545162911204438,-17.210116383785465,-1.1461318051576086,-16.08040201005025,5.85238816540084e-13,147
-0.12545162911204438,17.210116383785465,-1.1461318051576086,16.08040201005025,5.85238816540084e-13,147
-0.13977086243106268,-79.44564558815476,-1.1461318051576086,-78.39195979899498,3.0622248809877153e-07,140
-0.13977086243106268,79.44564558815476,-1.1461318051576086,78.39195979899498,3.0622248809877153e-07,140
-0.17829164385678406,-73.17259164685653,-0.14326647564467976,-72.36180904522612,4.7706993203109864e-08,138
-0.17829164385678406,73.17259164685653,-0.14326647564467976,72.36180904522612,4.7706993203109864e-08,138
-0.21975079083421176,-66.90133160893906,-0.14326647564467976,-65.32663316582914,9.269467199870563e-09,140
-0.21975079083421176,66.90133160893906,-0.14326647564467976,65.32663316582914,9.269467199870563e-09,140
-0.26460187378150224,60.632377805241305,-1.1461318051576086,59.2964824120603,5.876379769353179e-09,138
-0.26460187378150224,-60.632377805241305,-1.1461318051576086,-59.2964824120603,5.876379769353179e-09,138
-0.3134580423205531,-54.366399205703644,-1.1461318051576086,-53.26633165829145,2.4995429620127995e-09,139
-0.3134580423205531,54.366399205703644,-1.1461318051576086,53.26633165829145,2.4995429620127995e-09,139
-0.3671724434998973,-48.1040832512849,-1.1461318051576086,-47.23618090452261,5.468113297845684e-10,137
-0.3671724434998973,48.1040832512849,-1.1461318051576086,47.23618090452261,5.468113297845684e-10,137
-0.4265539094513436,-41.845425308625664,-1.1461318051576086,-41.20603015075376,2.0949199168372388e-10,134
-0.4265539094513436,41.845425308625664,-1.1461318051576086,41.20603015075376,2.0949199168372388e-10,134
-0.4671403880600216,23.108011682306206,-1.1461318051576086,22.110552763819094,3.2155493553843715e-13,129
-0.4671403880600216,-23.108011682306206,-1.1461318051576086,-22.110552763819094,3.2155493553843715e-13,129
-0.48937856630244836,35.58781189719649,-0.14326647564467976,34.17085427135678,7.813189438789606e-11,134
-0.48937856630244836,-35.58781189719649,-0.14326647564467976,-34.17085427135678,7.813189438789606e-11,134
-0.5339644329411195,29.326882093893598,-1.1461318051576086,28.140703517587937,6.1010759350204984e-12,128
-0.5339644329411195,-29.326882093893598,-1.1461318051576086,-28.140703517587937,6.1010759350204984e-12,128
-13.033246874792312,-21.06539512377865,-19.197707736389702,0.0,9.147234345389922e-13,3753
-13.033246874792312,21.06539512377865,-19.197707736389702,-0.0,9.147234345389922e-13,3753
-40.668147845611045,-28.087208822950533,-38.25214899713467,0.0,4.0130669687933244e-13,4471
-40.668147845611045,28.087208822950533,-38.25214899713467,-0.0,4.0130669687933244e-13,4471
-76.19872368953274,-35.10901102868816,-83.3810888252149,1.0050251256281406,7.540043617061295e-13,7488
-76.19872368953274,35.109011028688165,-83.3810888252149,-1.0050251256281406,5.886020593486504e-13,7488
-119.62498305432591,-42.130813234425794,-116.47564469914039,2.0100502512562812,9.909566839805347e-13,9588
-119.62498305432591,42.130813234425794,-116.47564469914039,-2.0100502512562812,9.909566839805347e-13,9588
-170.9469259399906,49.15261544016343,-171.63323782234957,1.0050251256281406,1.0833977233012662e-12,9400
-170.9469259399906,-49.15261544016343,-171.63323782234957,-1.0050251256281406,1.0833977233012662e-12,9400
-230.1645523465267,-56.17441764590106,-244.84240687679085,1.0050251256281406,1.5798298204861152e-12,9793
-230.1645523465267,56.17441764590106,-244.84240687679085,-1.0050251256281406,1.5798298204861152e-12,9793
-297.2778622739344,-63.1962198516387,-294.9856733524355,1.0050251256281406,1.7418295525224194e-12,7473
-297.2778622739344,63.1962198516387,-294.9856733524355,-1.0050251256281406,1.7418295525224194e-12,7473
-372.2868557222135,70.21802205737633,-207.73638968481376,-17.08542713567839,2.1325799190415807e-12,47
-372.2868557222135,-70.21802205737633,-207.73638968481376,17.08542713567839,2.1325799190415807e-12,47
-455.19153269136416,-77.23982426311397,-274.92836676217763,16.08040201005025,4.128077010656285e-12,11
-455.19153269136416,77.23982426311397,-274.92836676217763,-16.08040201005025,4.128077010656285e-12,11
-545.9918931813862,84.26162646885162,-283.9541547277937,30.15075376884422,3.327466623356079e-12,1
-545.9918931813862,-84.2616264688516,-283.9541547277937,-30.15075376884422,3.0372780001651096e-12,1
-644.6879371922797,91.28342867458923,-283.9541547277937,28.140703517587937,4.344648962194919e-12,1
-644.6879371922797,-91.28342867458923,-283.9541547277937,-28.140703517587937,4.344648962194919e-12,1
