# {'par': {'k': 10, 'D': 0.1, 'v': 0.75, 'tau': 1.0, 'R': 0.9, 'label': '(v_0.75)'}, 'guess_range': ([-300, 50, 350], [0, 200, 200]), 'tols': (1e-15, 1e-06, 4)}
Sol_r,Sol_i,Guess_r,Guess_i,g(x),instances
7.616303986019985,0.0,7.879656160458467,0.0,2.4783730623312294e-11,112
4.306048578883166,-0.9936982342413466,3.868194842406865,0.0,5.598427493280328e-13,7122
4.306048578883166,0.9936982342413466,3.868194842406865,-0.0,5.598427493280328e-13,7122
2.155104235494769,5.214177212614336,0.8595988538681922,0.0,5.084229945850415e-13,1411
2.155104235494769,-5.214177212614336,0.8595988538681922,-0.0,5.084229945850415e-13,1411
0.5946262961698152,-9.834221879994265,-2.1489971346704806,-4.0201005025125625,2.5011104298755527e-12,625
0.5946262961698152,9.834221879994265,-2.1489971346704806,4.0201005025125625,2.5011104298755527e-12,625
-0.8763998852655379,-14.743354361280417,-4.154727793696281,-2.0100502512562812,4.860694008682901e-12,619
-0.8763998852655379,14.743354361280417,-4.154727793696281,2.0100502512562812,4.860694008682901e-12,619
-1.7639760224089276,79.39009813082438,-1.1461318051576086,78.39195979899498,8.716303652000671e-07,135
-1.7639760224089278,-79.39009813082438,-1.1461318051576086,-78.39195979899498,8.281882543319614e-07,135
-1.8043877215060997,73.1127253260705,-3.1518624641834094,72.36180904522612,4.602505329692513e-07,141
-1.8043877215060997,-73.1127253260705,-3.1518624641834094,-72.36180904522612,4.602505329692513e-07,141
-1.8483383596456255,66.83645032427965,-2.1489971346704806,65.32663316582914,4.535837345527828e-08,146
-1.8483383596456255,-66.83645032427965,-2.1489971346704806,-65.32663316582914,4.535837345527828e-08,146
-1.8965581409899748,-60.5614611038703,-2.1489971346704806,-59.2964824120603,5.3726900748371916e-08,142
-1.8965581409899748,60.5614611038703,-2.1489971346704806,59.2964824120603,5.3726900748371916e-08,142
-1.9497854591231127,-54.28771501457751,-2.1489971346704806,-53.26633165829145,1.653589392506024e-08,138
-1.9497854591231127,54.28771501457751,-2.1489971346704806,53.26633165829145,1.653589392506024e-08,138
-2.007768017550606,-48.01491302076957,-3.1518624641834094,-47.23618090452261,4.6566128730773926e-09,133
-2.007768017550606,48.01491302076957,-3.1518624641834094,47.23618090452261,4.6566128730773926e-09,133
-2.0663838306740887,-41.745078589519075,-2.1489971346704806,-40.201005025125625,4.080419370813785e-10,134
-2.0663838306740887,41.745078589519075,-2.1489971346704806,40.201005025125625,4.080419370813785e-10,134
-2.116852578486376,35.49748564509503,-2.1489971346704806,34.17085427135678,4.6406694219628043e-10,137
-2.116852578486376,-35.49748564509503,-2.1489971346704806,-34.17085427135678,4.6406694219628043e-10,137
-2.182093448846972,29.352018875930327,-3.1518624641834094,28.140703517587937,3.54702933691442e-11,130
-2.182093448846972,-29.352018875930327,-3.1518624641834094,-28.140703517587937,3.54702933691442e-11,130
-2.4399401386454915,-19.24241052501861,-8.166189111747826,-6.030150753768844,5.50413389506057e-12,623
-2.439940138645493,19.24241052501861,-8.166189111747826,6.030150753768844,5.898583263421118e-12,623
-2.4612341125556885,23.592852503348173,-2.1489971346704806,22.110552763819094,2.033691978340166e-12,167
-2.4612341125556885,-23.592852503348173,-2.1489971346704806,-22.110552763819094,2.033691978340166e-12,167
-20.395596710501845,-30.490237084995318,-23.209169054441247,1.0050251256281406,8.253722195352406e-12,2596
-20.395596710501845,30.490237084995318,-23.209169054441247,-1.0050251256281406,8.253722195352406e-12,2596
-48.03048900599559,40.653649397834705,-52.29226361031519,-0.0,6.377483022937201e-12,4186
-48.03048900599559,-40.653649397834705,-52.29226361031519,0.0,6.377483022937201e-12,4186
-83.56106484991732,50.81706174729338,-79.36962750716333,-1.0050251256281406,2.2717696034340172e-11,6685
-83.56106484991732,-50.81706174729338,-79.36962750716333,1.0050251256281406,2.2717696034340172e-11,6685
-126.98732421471047,60.98047409675205,-120.48710601719199,-1.0050251256281406,1.389283663672324e-11,6953
-126.98732421471047,-60.98047409675205,-120.48710601719199,1.0050251256281406,1.389283663672324e-11,6953
-178.30926710037517,71.14388644621073,-174.64183381088827,-2.0100502512562812,1.877664278659506e-11,6972
-178.30926710037517,-71.14388644621073,-174.64183381088827,2.0100502512562812,1.877664278659506e-11,6972
-237.52689350691128,81.3072987956694,-248.8538681948424,3.015075376884422,2.441151275432329e-11,6791
-237.52689350691128,-81.3072987956694,-248.8538681948424,-3.015075376884422,2.441151275432329e-11,6791
-304.6402034343189,91.47071114512808,-295.9885386819484,-2.0100502512562812,3.0797528704705564e-11,4346
-304.6402034343189,-91.47071114512808,-295.9885386819484,2.0100502512562812,3.0797528704705564e-11,4346
-379.649196882598,101.63412349458676,-272.9226361031519,-41.20603015075376,3.7934734840529754e-11,24
-379.649196882598,-101.63412349458676,-272.9226361031519,41.20603015075376,3.7934734840529754e-11,24
-462.55387385174873,-111.79753584404544,-277.93696275071636,42.211055276381906,7.496234033539551e-11,10
-462.55387385174873,111.79753584404544,-277.93696275071636,-42.211055276381906,7.496234033539551e-11,10
-553.3542343417707,-121.9609481935041,-223.78223495702005,48.24120603015075,5.446280948141571e-11,3
-553.3542343417707,121.9609481935041,-223.78223495702005,-48.24120603015075,5.446280948141571e-11,3
