# {'par': {'k': 1.5; 'D': 0.2; 'v': 1; 'tau': 0.8; 'R': 0.3; 'label': '(R_0.3)'}; 'guess_range': ([-55; 5; 30]; [0; 200; 200]); 'tols': (1e-09; 1e-08; 5)}
Sol_r,Sol_i,Guess,g(x),g*(x),ier,msg,infodict,cumul_err,cmplx_cnj,cluster_label,instances
0.3550376588492252,0.0,[-9.  3.],1.1102230246251565e-16,2.7755575615628914e-17,1,The solution converged.,"{'nfev': 55, 'fjac': array([[-1.00000000e+00,  1.68596998e-09],
       [-1.68596998e-09, -1.00000000e+00]]), 'r': array([-1.10976708, -0.39291004,  1.64153733]), 'qtf': array([-1.14439170e-16, -5.95595355e-25]), 'fvec': array([1.1443917e-16, 4.0265435e-25])}",1.3096323621833204e-32,Real,2,14
-1.0659053112369987,3.20559505645504,[-1.06590531 -3.20559506],1.3777114847834634e-12,1.9671749201168483e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9109163 , -0.41259119],
       [ 0.41259119, -0.9109163 ]]), 'r': array([-2.71584967, -2.04158001, -1.79137438]), 'qtf': array([-2.56970917e-12, -1.20260800e-12]), 'fvec': array([2.27938582e-12, 7.56482916e-13])}",5.767866101640984e-24,No,1,200
-1.0659053112369987,-3.20559505645504,[-1.06590531 -3.20559506],1.3777114847834634e-12,1.9671749201168483e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9109163 , -0.41259119],
       [ 0.41259119, -0.9109163 ]]), 'r': array([-2.71584967, -2.04158001, -1.79137438]), 'qtf': array([-2.56970917e-12, -1.20260800e-12]), 'fvec': array([2.27938582e-12, 7.56482916e-13])}",5.767866101640984e-24,Yes,1,200
-3.0780434318776773,8.214733922494682,[-3.07804343 -8.21473392],1.6165091241761062e-14,8.439564629316204e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.56500007, -0.82509086],
       [ 0.82509086, -0.56500007]]), 'r': array([-9.1047896 , -8.48887985,  3.29183243]), 'qtf': array([-1.58673854e-13,  2.78325827e-14]), 'fvec': array([8.44937346e-14, 1.56442991e-14])}",7.383935288094976e-27,No,0,280
-3.0780434318776773,-8.214733922494682,[-3.07804343 -8.21473392],1.6165091241761062e-14,8.439564629316204e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.56500007, -0.82509086],
       [ 0.82509086, -0.56500007]]), 'r': array([-9.1047896 , -8.48887985,  3.29183243]), 'qtf': array([-1.58673854e-13,  2.78325827e-14]), 'fvec': array([8.44937346e-14, 1.56442991e-14])}",7.383935288094976e-27,Yes,0,280
-4.830550771868446,-14.02576615202362,[-41.   5.],1.7763568394002505e-15,1.1234667099445444e-14,1,The solution converged.,"{'nfev': 71, 'fjac': array([[-0.71568517, -0.69842304],
       [ 0.69842304, -0.71568517]]), 'r': array([ 33.19671437,   0.16249954, -33.16962081]), 'qtf': array([-2.91250609e-10, -4.54222955e-12]), 'fvec': array([1.06581410e-14, 3.97205465e-15])}",1.2937318845624596e-28,Yes,3,384
-4.830550771868446,14.02576615202362,[-41.   5.],1.7763568394002505e-15,1.1234667099445444e-14,1,The solution converged.,"{'nfev': 71, 'fjac': array([[-0.71568517, -0.69842304],
       [ 0.69842304, -0.71568517]]), 'r': array([ 33.19671437,   0.16249954, -33.16962081]), 'qtf': array([-2.91250609e-10, -4.54222955e-12]), 'fvec': array([1.06581410e-14, 3.97205465e-15])}",1.2937318845624596e-28,No,3,384
-6.357562445733801,-20.225347422304594,[-45.  19.],4.989831893063952e-15,2.5421149729252077e-13,1,The solution converged.,"{'nfev': 70, 'fjac': array([[ 0.1548268 ,  0.98794163],
       [-0.98794163,  0.1548268 ]]), 'r': array([114.89186109,  15.23947972, -99.20472106]), 'qtf': array([ 1.19541178e-10, -2.24450407e-10]), 'fvec': array([2.27389287e-13, 1.13765090e-13])}",6.464838377802634e-26,Yes,4,298
-6.357562445733801,20.225347422304594,[-45.  19.],4.989831893063952e-15,2.5421149729252077e-13,1,The solution converged.,"{'nfev': 70, 'fjac': array([[ 0.1548268 ,  0.98794163],
       [-0.98794163,  0.1548268 ]]), 'r': array([114.89186109,  15.23947972, -99.20472106]), 'qtf': array([ 1.19541178e-10, -2.24450407e-10]), 'fvec': array([2.27389287e-13, 1.13765090e-13])}",6.464838377802634e-26,No,4,298
-7.718886896683346,-26.656872834313663,[ -7.7188869  -26.65687283],4.76749985125122e-15,2.2914314707516465e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96172623, -0.27401214],
       [ 0.27401214, -0.96172623]]), 'r': array([-306.42201473, -161.49959111, -260.40801828]), 'qtf': array([-1.51349802e-12, -1.78526926e-12]), 'fvec': array([2.27384517e-13, 2.87331210e-14])}",5.252931090634221e-26,Yes,5,290
