# {'par': {'k': 3.0; 'D': 0.2; 'v': 1; 'tau': 0.8; 'R': 0.3; 'label': '(k_3)_(R_0.3)'}; 'guess_range': ([-55; 5; 30]; [0; 200; 200]); 'tols': (1e-09; 1e-08; 5)}
Sol_r,Sol_i,Guess,g(x),g*(x),ier,msg,infodict,cumul_err,cmplx_cnj,cluster_label,instances
1.467830000883175,0.0,[-19. 106.],4.962571113932998e-10,4.073527857868002e-11,1,The solution converged.,"{'nfev': 78, 'fjac': array([[-0.99676789, -0.08033537],
       [ 0.08033537, -0.99676789]]), 'r': array([3.68681452, 0.40537944, 3.60432761]), 'qtf': array([-2.04650038e-08, -7.47163221e-09]), 'fvec': array([4.94859712e-10, 5.51756193e-11])}",2.479304835293046e-19,Real,2,10
-0.3870858986147633,2.7797154591843376,[-0.3870859  -2.77971546],8.005932084973442e-16,1.1102230246251565e-16,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97915359, -0.20312127],
       [ 0.20312127, -0.97915359]]), 'r': array([-1.85538032, -0.73802181, -1.70228081]), 'qtf': array([-1.73902031e-15, -6.14630790e-16]), 'fvec': array([4.44089210e-16, 6.75322301e-16])}",6.532754371361503e-31,No,1,235
-0.3870858986147633,-2.7797154591843376,[-0.3870859  -2.77971546],8.005932084973442e-16,1.1102230246251565e-16,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97915359, -0.20312127],
       [ 0.20312127, -0.97915359]]), 'r': array([-1.85538032, -0.73802181, -1.70228081]), 'qtf': array([-1.73902031e-15, -6.14630790e-16]), 'fvec': array([4.44089210e-16, 6.75322301e-16])}",6.532754371361503e-31,Yes,1,235
-2.638376139811603,-7.840924377706541,[-2.63837614 -7.84092438],4.577566798522238e-15,1.637720085286689e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.76832019, -0.64006569],
       [ 0.64006569, -0.76832019]]), 'r': array([-6.24780478, -6.14502025, -1.12856207]), 'qtf': array([-1.31015586e-12, -2.37080246e-15]), 'fvec': array([1.62457156e-14, 5.02429587e-15])}",2.8916682557007714e-28,Yes,0,312
-2.638376139811603,7.840924377706541,[-2.63837614 -7.84092438],4.577566798522238e-15,1.637720085286689e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.76832019, -0.64006569],
       [ 0.64006569, -0.76832019]]), 'r': array([-6.24780478, -6.14502025, -1.12856207]), 'qtf': array([-1.31015586e-12, -2.37080246e-15]), 'fvec': array([1.62457156e-14, 5.02429587e-15])}",2.8916682557007714e-28,No,0,312
-4.489001699150053,13.708080775505147,[-35.   6.],4.265337574760008e-15,1.0395861869767154e-14,1,The solution converged.,"{'nfev': 63, 'fjac': array([[-0.8468723,  0.5317963],
       [-0.5317963, -0.8468723]]), 'r': array([-24.95451757,  -1.23338726, -24.40089502]), 'qtf': array([-7.59316639e-10, -2.75975303e-09]), 'fvec': array([1.03220892e-14, 4.44089210e-15])}",1.262670486419382e-28,No,3,386
-4.489001699150053,-13.708080775505147,[-35.   6.],4.265337574760008e-15,1.0395861869767154e-14,1,The solution converged.,"{'nfev': 63, 'fjac': array([[-0.8468723,  0.5317963],
       [-0.5317963, -0.8468723]]), 'r': array([-24.95451757,  -1.23338726, -24.40089502]), 'qtf': array([-7.59316639e-10, -2.75975303e-09]), 'fvec': array([1.03220892e-14, 4.44089210e-15])}",1.262670486419382e-28,Yes,3,386
-6.07004726875877,19.9470619230193,[ 1. 24.],9.060399436534878e-15,1.8267997080815862e-13,1,The solution converged.,"{'nfev': 34, 'fjac': array([[-0.76155049,  0.64810559],
       [-0.64810559, -0.76155049]]), 'r': array([ 8.35171063e+01, -2.95559101e-02,  8.36498953e+01]), 'qtf': array([-1.68662489e-10, -2.86549831e-10]), 'fvec': array([4.32576857e-14, 1.77715602e-13])}",3.3454062572419245e-26,No,6,312
-6.07004726875877,-19.9470619230193,[ 1. 24.],9.060399436534878e-15,1.8267997080815862e-13,1,The solution converged.,"{'nfev': 34, 'fjac': array([[-0.76155049,  0.64810559],
       [-0.64810559, -0.76155049]]), 'r': array([ 8.35171063e+01, -2.95559101e-02,  8.36498953e+01]), 'qtf': array([-1.68662489e-10, -2.86549831e-10]), 'fvec': array([4.32576857e-14, 1.77715602e-13])}",3.3454062572419245e-26,Yes,6,312
-7.466213578143118,-26.407049707596123,[-47.   8.],3.3380623550567164e-15,2.898457019905882e-13,1,The solution converged.,"{'nfev': 87, 'fjac': array([[-0.89058232,  0.45482208],
       [-0.45482208, -0.89058232]]), 'r': array([ 2.47953803e+02, -1.18151566e-03, -2.47954202e+02]), 'qtf': array([ 5.28011721e-11, -1.61014806e-10]), 'fvec': array([2.84236609e-13, 5.68438525e-14])}",8.402167362270311e-26,Yes,5,328
