# {'par': {'k': 5; 'D': 0.3; 'v': 3; 'tau': 0.1; 'R': 0.5; 'label': 'default'}; 'guess_range': ([-275; 25; 15]; [0; 500; 20]); 'tols': (1e-09; 0.05; 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
3.609,0.0,[-17.85714286   0.        ],1.4551915238884457e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.00000000e+00,  8.09861042e-21],
       [-8.09861042e-21, -1.00000000e+00]]), 'r': array([-3.46652406e+04,  2.80740279e-16, -3.46652406e+04]), 'qtf': array([1.45519152e-11, 5.53265441e-16]), 'fvec': array([-1.45519152e-11, -5.53265441e-16])}",46
-1.606,17.65,[-17.85714286  26.31578947],9.761721496032797e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.94969779, -0.31316785],
       [ 0.31316785, -0.94969779]]), 'r': array([-4.29218981e+04,  3.86935038e-03, -4.29218992e+04]), 'qtf': array([6.88029175e-11, 6.92479545e-11]), 'fvec': array([-4.36557457e-11, -8.73114914e-11])}",4
-1.606,-17.65,[ -1.6056808  -17.65071346],9.761721496032797e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.94969779,  0.31316785],
       [-0.31316785, -0.94969779]]), 'r': array([-4.29218981e+04, -1.18565779e-03, -4.29218971e+04]), 'qtf': array([ 6.88029175e-11, -6.92479545e-11]), 'fvec': array([-4.36557457e-11,  8.73114914e-11])}",4
-13.3,40.8,[-39.28571429  26.31578947],2.1187908392401057e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9029871 , -0.42966766],
       [ 0.42966766, -0.9029871 ]]), 'r': array([-5.15101192e+04,  2.97385874e-03, -5.15101189e+04]), 'qtf': array([-1.58952734e-10,  1.40095591e-10]), 'fvec': array([ 2.03726813e-10, -5.82076609e-11])}",7
-13.3,-40.8,[-13.30007156 -40.8031539 ],2.1187908392401057e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9029871 ,  0.42966766],
       [-0.42966766, -0.9029871 ]]), 'r': array([-5.15101192e+04,  4.07780644e-03, -5.15101152e+04]), 'qtf': array([-1.58952734e-10, -1.40095591e-10]), 'fvec': array([2.03726813e-10, 5.82076609e-11])}",7
-29.4,479.4,[-17.85714286 473.68421053],0.01634283981560504,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.04840703,  0.99882769],
       [-0.99882769, -0.04840703]]), 'r': array([ 3.11047261e+12, -1.79960666e+06,  3.11047317e+12]), 'qtf': array([0.00466985, 0.01566145]), 'fvec': array([-0.01586914,  0.00390625])}",3
-29.4,-479.4,[ -29.4022831  -479.37318401],0.01634283981560504,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.04840703, -0.99882769],
       [ 0.99882769, -0.04840703]]), 'r': array([ 3.11047261e+12, -1.69113895e+06,  3.11047181e+12]), 'qtf': array([ 0.00466985, -0.01566145]), 'fvec': array([-0.01586914, -0.00390625])}",3
-29.48,67.83,[-17.85714286  78.94736842],1.7462298274040222e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9327918 , -0.36041568],
       [ 0.36041568, -0.9327918 ]]), 'r': array([-5.08844871e+04,  4.59608771e-03, -5.08844880e+04]), 'qtf': array([-6.29368603e-11, -1.62886886e-10]), 'fvec': array([0.00000000e+00, 1.74622983e-10])}",3
-29.48,-67.83,[-29.48245245 -67.83051303],1.7462298274040222e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9327918 ,  0.36041568],
       [-0.36041568, -0.9327918 ]]), 'r': array([-5.08844871e+04,  3.65752976e-03, -5.08844833e+04]), 'qtf': array([-6.29368603e-11,  1.62886886e-10]), 'fvec': array([ 0.00000000e+00, -1.74622983e-10])}",3
-30.1,-416.6,[ -30.10105588 -416.59181694],0.005803156408205426,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97862943, -0.20563179],
       [ 0.20563179, -0.97862943]]), 'r': array([-3.95736779e+11,  1.91598717e+05, -3.95736683e+11]), 'qtf': array([ 0.00027887, -0.00579645]), 'fvec': array([-0.00146484,  0.00561523])}",3
