# {'par': {'k': 1.5; 'D': 0.05; 'v': 1; 'tau': 0.8; 'R': 0.6; 'label': 'default'}; 'guess_range': ([-25; 5; 120]; [0; 100; 100]); 'tols': (1e-09; 0.005; 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances

0.5744,0.0,[-12.75   0.  ],3.3306690738754696e-16,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.00000000e+00, -5.18090372e-32],
       [ 5.18090372e-32, -1.00000000e+00]]), 'r': array([1.80900290e+00, 9.37226972e-32, 1.80900287e+00]), 'qtf': array([-3.33066907e-16, -5.06117505e-32]), 'fvec': array([3.33066907e-16, 5.06117505e-32])}",600

0.2213,3.36,[-24.25   0.  ],8.005932084973442e-16,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99993486,  0.01141426],
       [-0.01141426, -0.99993486]]), 'r': array([1.74958075e+00, 7.96940002e-09, 1.74958074e+00]), 'qtf': array([-4.51663702e-16,  6.61021472e-16]), 'fvec': array([ 4.44089210e-16, -6.66133815e-16])}",539

0.2213,-3.36,[ 0.22125264 -3.35991407],8.005932084973442e-16,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99993486, -0.01141426],
       [ 0.01141426, -0.99993486]]), 'r': array([1.74958075e+00, 1.25381477e-07, 1.74958077e+00]), 'qtf': array([-4.51663702e-16, -6.61021472e-16]), 'fvec': array([4.44089210e-16, 6.66133815e-16])}",539

-0.7285,7.004,[-23.5   0. ],5.551115123125783e-16,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99945529, -0.03300187],
       [ 0.03300187, -0.99945529]]), 'r': array([ 1.66532118e+00, -8.54956514e-08,  1.66532105e+00]), 'qtf': array([1.83197196e-17, 5.54809137e-16]), 'fvec': array([ 0.00000000e+00, -5.55111512e-16])}",554

-0.7285,-7.004,[-0.72848856 -7.0042923 ],5.551115123125783e-16,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99945529,  0.03300187],
       [-0.03300187, -0.99945529]]), 'r': array([1.66532118e+00, 3.85621110e-07, 1.66532118e+00]), 'qtf': array([ 1.83197196e-17, -5.54809137e-16]), 'fvec': array([0.00000000e+00, 5.55111512e-16])}",554

-2.058,11.06,[-24.5   0. ],2.8267115440514558e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9943393 , -0.10625136],
       [ 0.10625136, -0.9943393 ]]), 'r': array([1.63197416e+00, 3.20015217e-07, 1.63197424e+00]), 'qtf': array([ 2.54918384e-15, -1.22145811e-15]), 'fvec': array([-2.66453526e-15,  9.43689571e-16])}",698

-2.058,-11.06,[ -2.05768553 -11.05855231],2.8267115440514558e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9943393 ,  0.10625136],
       [-0.10625136, -0.9943393 ]]), 'r': array([1.63197416e+00, 2.35139576e-08, 1.63197433e+00]), 'qtf': array([2.54918384e-15, 1.22145811e-15]), 'fvec': array([-2.66453526e-15, -9.43689571e-16])}",698

-3.584,15.52,[-25.   0.],2.288783399261119e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98383326, -0.17908691],
       [ 0.17908691, -0.98383326]]), 'r': array([1.64375969e+00, 2.07459829e-07, 1.64375963e+00]), 'qtf': array([-2.28396188e-15, -1.48484348e-16]), 'fvec': array([2.22044605e-15, 5.55111512e-16])}",787

-3.584,-15.52,[ -3.58362211 -15.5173744 ],2.288783399261119e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98383326,  0.17908691],
       [-0.17908691, -0.98383326]]), 'r': array([1.64375969e+00, 2.56231970e-07, 1.64375979e+00]), 'qtf': array([-2.28396188e-15,  1.48484348e-16]), 'fvec': array([ 2.22044605e-15, -5.55111512e-16])}",787

-5.192,20.32,[-25.   8.],4.407459562045625e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9703961 , -0.24151895],
       [ 0.24151895, -0.9703961 ]]), 'r': array([1.68225936e+00, 3.36916690e-07, 1.68225935e+00]), 'qtf': array([ 1.99670615e-15, -3.92923203e-15]), 'fvec': array([-2.88657986e-15,  3.33066907e-15])}",647

-5.192,-20.32,[ -5.19194972 -20.32497665],4.407459562045625e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9703961 ,  0.24151895],
       [-0.24151895, -0.9703961 ]]), 'r': array([1.68225936e+00, 2.27455538e-07, 1.68225951e+00]), 'qtf': array([1.99670615e-15, 3.92923203e-15]), 'fvec': array([-2.88657986e-15, -3.33066907e-15])}",647

-6.82,25.42,[-24.75  15.  ],4.951395542680039e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9562151, -0.2926648],
       [ 0.2926648, -0.9562151]]), 'r': array([1.73502079e+00, 4.03987001e-07, 1.73502082e+00]), 'qtf': array([ 2.11258949e-15, -4.47808926e-15]), 'fvec': array([-3.33066907e-15,  3.66373598e-15])}",599

-6.82,-25.42,[ -6.81958518 -25.41964733],4.951395542680039e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9562151,  0.2926648],
       [-0.2926648, -0.9562151]]), 'r': array([1.73502079e+00, 3.00216193e-07, 1.73502104e+00]), 'qtf': array([2.11258949e-15, 4.47808926e-15]), 'fvec': array([-3.33066907e-15, -3.66373598e-15])}",599

-8.434,-30.75,[ 1. 14.],1.2412670766236366e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.94249207,  0.33422852],
       [-0.33422852, -0.94249207]]), 'r': array([1.79501181e+00, 3.91205266e-07, 1.79501206e+00]), 'qtf': array([-1.98899746e-16,  1.22522767e-15]), 'fvec': array([-2.22044605e-16, -1.22124533e-15])}",519

-8.434,30.75,[-8.43375206 30.74843445],1.2412670766236366e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.94249207, -0.33422852],
       [ 0.33422852, -0.94249207]]), 'r': array([1.79501181e+00, 4.80237824e-07, 1.79501182e+00]), 'qtf': array([-1.98899746e-16, -1.22522767e-15]), 'fvec': array([-2.22044605e-16,  1.22124533e-15])}",519

-10.02,36.27,[-3. 21.],9.77248552510152e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.929743  , -0.36820913],
       [ 0.36820913, -0.929743  ]]), 'r': array([1.85837919e+00, 5.41457801e-07, 1.85837921e+00]), 'qtf': array([4.90021930e-17, 9.77236267e-15]), 'fvec': array([ 3.55271368e-15, -9.10382880e-15])}",489

-10.02,-36.27,[-10.01819601 -36.26930562],9.77248552510152e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.929743  ,  0.36820913],
       [-0.36820913, -0.929743  ]]), 'r': array([1.85837919e+00, 4.91264050e-07, 1.85837948e+00]), 'qtf': array([ 4.90021930e-17, -9.77236267e-15]), 'fvec': array([3.55271368e-15, 9.10382880e-15])}",489

-11.57,41.95,[-8.25 35.  ],6.89411847443645e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.91812176, -0.39629842],
       [ 0.39629842, -0.91812176]]), 'r': array([1.92300033e+00, 6.43592493e-07, 1.92300033e+00]), 'qtf': array([-5.41195209e-15,  4.27078964e-15]), 'fvec': array([ 6.66133815e-15, -1.77635684e-15])}",410

-11.57,-41.95,[-11.56545918 -41.94961596],6.89411847443645e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.91812176,  0.39629842],
       [-0.39629842, -0.91812176]]), 'r': array([1.92300033e+00, 5.78428231e-07, 1.92300066e+00]), 'qtf': array([-5.41195209e-15, -4.27078964e-15]), 'fvec': array([6.66133815e-15, 1.77635684e-15])}",410

-13.07,47.76,[-25.  43.],4.668220486087868e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.90761374, -0.41980626],
       [ 0.41980626, -0.90761374]]), 'r': array([1.98769372e+00, 7.32235124e-07, 1.98769374e+00]), 'qtf': array([-4.26780282e-17,  4.66802540e-15]), 'fvec': array([ 1.99840144e-15, -4.21884749e-15])}",378

-13.07,-47.76,[-13.07274557 -47.76401051],4.668220486087868e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.90761374,  0.41980626],
       [-0.41980626, -0.90761374]]), 'r': array([1.98769372e+00, 7.08093696e-07, 1.98769409e+00]), 'qtf': array([-4.26780282e-17, -4.66802540e-15]), 'fvec': array([1.99840144e-15, 4.21884749e-15])}",378

-14.54,53.69,[-6.5 37. ],9.862880429928471e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.89813488, -0.43972006],
       [ 0.43972006, -0.89813488]]), 'r': array([2.05179990e+00, 7.26500646e-07, 2.05179986e+00]), 'qtf': array([-8.76574325e-16,  9.82384995e-15]), 'fvec': array([ 5.10702591e-15, -8.43769499e-15])}",305

