# {'par': {'k': 1.5; 'D': 0.2; 'v': 1; 'tau': 0.8; 'R': 0.6; 'label': 'default'}; 'guess_range': ([-150; 50; 20]; [0; 100; 8]); 'tols': (1e-09; 1e-07; 5)}
Sol_r,Sol_i,Guess,g(x),g*(x),ier,msg,infodict,cumul_err,cmplx_cnj,cluster_label,instances

0.6409081359945565,0.0,[-10. 100.],3.3322723483169894e-16,4.442552907812095e-16,1,The solution converged.,"{'nfev': 54, 'fjac': array([[-9.99999999e-01,  3.59801161e-05],
       [-3.59801161e-05, -9.99999999e-01]]), 'r': array([ 1.75685129e+00, -6.24016138e-05,  1.75686746e+00]), 'qtf': array([-4.49878611e-13, -2.63427187e-12]), 'fvec': array([-3.33066907e-16, -1.03356295e-17])}",3.084031534206772e-31,Real,1,20

-0.58833089799576,3.4218707752750097,[-0.5883309   3.42187078],4.577566798522237e-16,1.047382306668854e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98594757, -0.16705503],
       [ 0.16705503, -0.98594757]]), 'r': array([1.61227355e+00, 7.40259408e-08, 1.61227357e+00]), 'qtf': array([5.12464303e-11, 3.51634665e-11]), 'fvec': array([ 4.44089210e-16, -1.11022302e-16])}",1.3065508742723006e-30,No,4,28

-2.470670435901706,8.418531957532583,[-2.47067044  8.41853196],3.155846784686366e-15,1.0841599276764049e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.92870127, -0.37082875],
       [ 0.37082875, -0.92870127]]), 'r': array([1.81950376e+00, 1.45355613e-07, 1.81950378e+00]), 'qtf': array([ 9.30317056e-11, -1.06775836e-09]), 'fvec': array([ 2.44249065e-15, -1.99840144e-15])}",1.27499643806346e-28,No,3,22

-4.165234816102921,14.203125040829047,[ -4.16523482 -14.20312504],1.4043333874306805e-15,2.161031364628563e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.8862073 ,  0.46328892],
       [-0.46328892, -0.8862073 ]]), 'r': array([2.08012645e+00, 2.86380764e-07, 2.08012654e+00]), 'qtf': array([ 7.52681122e-14, -9.26945925e-14]), 'fvec': array([-1.33226763e-15, -4.44089210e-16])}",4.689778081538914e-28,No,2,16

-5.659970767220179,20.382358349701267,[ -5.65997077 -20.38235835],8.636935761597507e-15,2.0495186137532011e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.85823656,  0.51325433],
       [-0.51325433, -0.85823656]]), 'r': array([2.32482816e+00, 2.18317658e-07, 2.32482829e+00]), 'qtf': array([-6.10108675e-10,  3.47526574e-10]), 'fvec': array([-5.99520433e-15, -6.21724894e-15])}",4.207986214055839e-26,No,0,18

-7.000478061316252,26.79862646994095,[ -7.00047806 -26.79862647],2.401779625492033e-15,2.8421709430404007e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.83885093,  0.5443612 ],
       [-0.5443612 , -0.83885093]]), 'r': array([2.54917961e+00, 4.12801083e-07, 2.54917987e+00]), 'qtf': array([-1.26085554e-09, -3.84251449e-11]), 'fvec': array([1.33226763e-15, 1.99840144e-15])}",8.078512524000104e-26,No,6,16

-8.222459065816462,33.37520681486999,[ -8.22245907 -33.37520682],8.005932084973442e-15,9.165725883006586e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.82465012,  0.56564316],
       [-0.56564316, -0.82465012]]), 'r': array([2.75592686e+00, 5.36896670e-07, 2.75592714e+00]), 'qtf': array([-1.40797565e-10, -1.32250949e-09]), 'fvec': array([6.66133815e-15, 4.44089210e-15])}",8.401694045727178e-25,No,5,14

-9.350878907016545,40.068869063433624,[ -9.35087891 -40.06886906],9.780050345373876e-15,1.6077746776921857e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.81377838,  0.58117532],
       [-0.58117532, -0.81377838]]), 'r': array([2.94807175e+00, 7.26571124e-07, 2.94807208e+00]), 'qtf': array([ 1.08286377e-10, -1.50008049e-10]), 'fvec': array([6.21724894e-15, 7.54951657e-15])}",2.58503506361297e-24,No,7,14

