# {'par': {'k': 1.5; 'D': 0.2; 'v': 1; 'tau': 0.8; 'R': 0.6; 'label': 'default'}; 'guess_range': ([-75; 5; 80]; [0; 500; 250]); 'tols': (1e-09; 1e-06; 4)},,,,,,,,,,,
Sol_r,Sol_i,Guess,g(x),g*(x),ier,msg,infodict,cumul_err,cmplx_cnj,cluster_label,instances
0.640908136,0,[0. 0.],2.22045E-16,1.11022E-16,1,The solution converged.,,6.16298E-32,Real,0,15
-0.588330898,3.421870775,[-0.5883309  -3.42187078],4.57757E-16,6.28037E-16,1,The solution converged.,,6.03972E-31,No,5,88
-0.588330898,-3.421870775,[-0.5883309  -3.42187078],4.57757E-16,6.28037E-16,1,The solution converged.,,6.03972E-31,Yes,5,88
-2.470670436,-8.418531958,[-2.47067044 -8.41853196],3.15585E-15,1.08416E-14,1,The solution converged.,,1.275E-28,Yes,2,360
-2.470670436,8.418531958,[-2.47067044 -8.41853196],3.15585E-15,1.08416E-14,1,The solution converged.,,1.275E-28,No,2,360
-4.165234816,-14.20312504,[ -4.16523481 -14.20312504],1.40433E-15,2.16103E-14,1,The solution converged.,,4.68978E-28,Yes,1,640
-4.165234816,14.20312504,[ -4.16523481 -14.20312504],1.40433E-15,2.16103E-14,1,The solution converged.,,4.68978E-28,No,1,640
-5.659970767,20.38235835,[-75.  10.],8.63694E-15,2.04952E-13,1,The solution converged.,,4.20799E-26,No,8,668
-5.659970767,-20.38235835,[-75.  10.],8.63694E-15,2.04952E-13,1,The solution converged.,,4.20799E-26,Yes,8,668
-7.000478061,26.79862647,[-65.  18.],2.40178E-15,2.84217E-13,1,The solution converged.,,8.07851E-26,No,9,546
-7.000478061,-26.79862647,[-65.  18.],2.40178E-15,2.84217E-13,1,The solution converged.,,8.07851E-26,Yes,9,546
-8.222459066,33.37520681,[ -8.22245907 -33.37520681],8.00593E-15,9.16573E-13,1,The solution converged.,,8.40169E-25,No,10,590
-8.222459066,-33.37520681,[ -8.22245907 -33.37520681],8.00593E-15,9.16573E-13,1,The solution converged.,,8.40169E-25,Yes,10,590
-9.350878907,40.06886906,[ -9.35087891 -40.06886906],9.78005E-15,1.60777E-12,1,The solution converged.,,2.58504E-24,No,11,574
-9.350878907,-40.06886906,[ -9.35087891 -40.06886906],9.78005E-15,1.60777E-12,1,The solution converged.,,2.58504E-24,Yes,11,574
-10.40344077,-46.85265656,[-10.  44.],5.19793E-15,9.93248E-12,1,The solution converged.,,9.86542E-23,Yes,12,564
-10.40344077,46.85265656,[-10.  44.],5.19793E-15,9.93248E-12,1,The solution converged.,,9.86542E-23,No,12,564
-11.39307227,53.70850188,[-11.39307227 -53.70850188],9.11195E-15,1.87276E-11,1,The solution converged.,,3.50725E-22,No,13,634
-11.39307227,-53.70850188,[-11.39307227 -53.70850188],9.11195E-15,1.87276E-11,1,The solution converged.,,3.50725E-22,Yes,13,634
-12.32949425,60.62362726,[-12.32949425 -60.62362726],2.50468E-14,7.25977E-11,1,The solution converged.,,5.27043E-21,No,14,566
-12.32949425,-60.62362726,[-12.32949425 -60.62362726],2.50468E-14,7.25977E-11,1,The solution converged.,,5.27043E-21,Yes,14,566
-13.22020858,-67.58861495,[-13.22020858 -67.58861495],7.17448E-15,2.88847E-10,1,The solution converged.,,8.34327E-20,Yes,15,636
-13.22020858,67.58861495,[-13.22020858 -67.58861495],7.17448E-15,2.88847E-10,1,The solution converged.,,8.34327E-20,No,15,636
-14.07113559,74.59629324,[-14.07113559 -74.59629324],2.92189E-14,3.09228E-11,1,The solution converged.,,9.56222E-22,No,16,558
-14.07113559,-74.59629324,[-14.07113559 -74.59629324],2.92189E-14,3.09228E-11,1,The solution converged.,,9.56222E-22,Yes,16,558
-14.88703801,81.64105449,[-74.  80.],3.57954E-14,8.62009E-10,1,The solution converged.,,7.4306E-19,No,17,614
-14.88703801,-81.64105449,[-74.  80.],3.57954E-14,8.62009E-10,1,The solution converged.,,7.4306E-19,Yes,17,614
-15.67181112,88.71841721,[-15.67181112 -88.71841721],1.73422E-14,1.32734E-09,1,The solution converged.,,1.76183E-18,No,18,564
-15.67181112,-88.71841721,[-15.67181112 -88.71841721],1.73422E-14,1.32734E-09,1,The solution converged.,,1.76183E-18,Yes,18,564
-16.42868668,95.82473379,[-16.42868668 -95.82473379],9.78005E-15,1.15978E-09,1,The solution converged.,,1.34509E-18,No,19,608
-16.42868668,-95.82473379,[-16.42868668 -95.82473379],9.78005E-15,1.15978E-09,1,The solution converged.,,1.34509E-18,Yes,19,608
-17.16037965,-102.9569888,[-18. 100.],3.38208E-15,9.3857E-10,1,The solution converged.,,8.80914E-19,Yes,20,588
-17.16037965,102.9569888,[-18. 100.],3.38208E-15,9.3857E-10,1,The solution converged.,,8.80914E-19,No,20,588
-17.86919599,-110.1126556,[-75. 108.],1.77636E-14,1.11712E-08,1,The solution converged.,,1.24795E-16,Yes,21,646
-17.86919599,110.1126556,[-75. 108.],1.77636E-14,1.11712E-08,1,The solution converged.,,1.24795E-16,No,21,646
-18.55711339,-117.2895925,[ -18.55711339 -117.28959251],1.60119E-14,1.21005E-08,1,The solution converged.,,1.46422E-16,Yes,22,628
-18.55711339,117.2895925,[ -18.55711339 -117.28959251],1.60119E-14,1.21005E-08,1,The solution converged.,,1.46422E-16,No,22,628
-19.22584271,124.4859656,[ -19.22584271 -124.48596557],1.76131E-14,2.79397E-09,1,The solution converged.,,7.80626E-18,No,23,638
-19.22584271,-124.4859656,[ -19.22584271 -124.48596557],1.76131E-14,2.79397E-09,1,The solution converged.,,7.80626E-18,Yes,23,638
-19.87687551,-131.7001898,[-75. 130.],4.64917E-14,8.79918E-08,1,The solution converged.,,7.74256E-15,Yes,24,602
-19.87687551,131.7001898,[-75. 130.],4.64917E-14,8.79918E-08,1,The solution converged.,,7.74256E-15,No,24,602
