# {'par': {'k': 1.5; 'D': 0.2; 'v': 1; 'tau': 0.8; 'R': 0.6; 'label': 'dual_2'}; 'guess_range': ([-75; -15; 45]; [50; 500; 400]); 'tols': (1e-09; 1e-08; 5)}
Sol_r,Sol_i,Guess,g(x),g*(x),ier,msg,infodict,cumul_err,cmplx_cnj,cluster_label,instances
-2.470670435901706,8.418531957532583,[-2.47067044  8.41853196],3.155846784686366e-15,1.0841599276764049e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.29897224, -0.95426181],
       [ 0.95426181, -0.29897224]]), 'r': array([-10.02100201,   2.8215286 ,  12.31912158]), 'qtf': array([-1.46706824e-13,  2.71002550e-14]), 'fvec': array([ 8.65973959e-15, -1.08801856e-14])}",1.27499643806346e-28,No,-1,2
-2.470670435901706,-8.418531957532583,[-2.47067044  8.41853196],3.155846784686366e-15,1.0841599276764049e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.29897224, -0.95426181],
       [ 0.95426181, -0.29897224]]), 'r': array([-10.02100201,   2.8215286 ,  12.31912158]), 'qtf': array([-1.46706824e-13,  2.71002550e-14]), 'fvec': array([ 8.65973959e-15, -1.08801856e-14])}",1.27499643806346e-28,Yes,-1,2
-7.000478061316252,-26.79862646994095,[ -7.00047806 -26.79862647],2.401779625492033e-15,2.8421709430404007e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98682827, -0.16177136],
       [ 0.16177136, -0.98682827]]), 'r': array([ 348.6807693 ,    3.43070042, -344.90930728]), 'qtf': array([1.94292329e-13, 1.56953400e-12]), 'fvec': array([ 1.33226763e-15, -2.82218693e-13])}",8.078512524000104e-26,Yes,3,8
-7.000478061316252,26.79862646994095,[ -7.00047806 -26.79862647],2.401779625492033e-15,2.8421709430404007e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98682827, -0.16177136],
       [ 0.16177136, -0.98682827]]), 'r': array([ 348.6807693 ,    3.43070042, -344.90930728]), 'qtf': array([1.94292329e-13, 1.56953400e-12]), 'fvec': array([ 1.33226763e-15, -2.82218693e-13])}",8.078512524000104e-26,No,3,8
-8.222459065816462,-33.37520681486999,[ -8.22245907 -33.37520681],8.005932084973442e-15,9.165725883006586e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.33626042, -0.94176904],
       [ 0.94176904, -0.33626042]]), 'r': array([ 896.9079436 ,    5.32919493, -898.31572887]), 'qtf': array([2.98896332e-12, 1.39777010e-12]), 'fvec': array([9.1615604e-13, 1.1812773e-13])}",8.401694045727178e-25,Yes,4,8
-8.222459065816462,33.37520681486999,[ -8.22245907 -33.37520681],8.005932084973442e-15,9.165725883006586e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.33626042, -0.94176904],
       [ 0.94176904, -0.33626042]]), 'r': array([ 896.9079436 ,    5.32919493, -898.31572887]), 'qtf': array([2.98896332e-12, 1.39777010e-12]), 'fvec': array([9.1615604e-13, 1.1812773e-13])}",8.401694045727178e-25,No,4,8
-9.350878907016545,-40.068869063433624,[ -9.35087891 -40.06886906],9.780050345373876e-15,1.6077746776921857e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.58028978,  0.81441007],
       [-0.81441007, -0.58028978]]), 'r': array([-2.16652505e+03, -1.91962498e+00,  2.17210016e+03]), 'qtf': array([ 1.48307983e-12, -1.95104207e-11]), 'fvec': array([-2.21156427e-13, -1.58406621e-12])}",2.58503506361297e-24,Yes,1,62
-9.350878907016545,40.068869063433624,[ -9.35087891 -40.06886906],9.780050345373876e-15,1.6077746776921857e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.58028978,  0.81441007],
       [-0.81441007, -0.58028978]]), 'r': array([-2.16652505e+03, -1.91962498e+00,  2.17210016e+03]), 'qtf': array([ 1.48307983e-12, -1.95104207e-11]), 'fvec': array([-2.21156427e-13, -1.58406621e-12])}",2.58503506361297e-24,No,1,62
-10.403440774600439,-46.852656555298196,[-10.40344077 -46.85265656],5.197930934883577e-15,9.932482707964796e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99753443,  0.07017876],
       [-0.07017876, -0.99753443]]), 'r': array([-4.95176980e+03,  3.34625027e+00,  4.95705495e+03]), 'qtf': array([-5.45565427e-13, -3.12824851e-11]), 'fvec': array([-5.45874457e-12, -8.30402413e-12])}",9.86542397625057e-23,Yes,0,162
-10.403440774600439,46.852656555298196,[-10.40344077 -46.85265656],5.197930934883577e-15,9.932482707964796e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99753443,  0.07017876],
       [-0.07017876, -0.99753443]]), 'r': array([-4.95176980e+03,  3.34625027e+00,  4.95705495e+03]), 'qtf': array([-5.45565427e-13, -3.12824851e-11]), 'fvec': array([-5.45874457e-12, -8.30402413e-12])}",9.86542397625057e-23,No,0,162
