# {'par': {'k': 10, 'D': 0.1, 'v': 0.5, 'tau': 1.0, 'R': 0.9, 'label': 'default'}, 'guess_range': ([-300, 50, 350], [0, 200, 200]), 'tols': (1e-15, 1e-06, 4)}
Sol_r,Sol_i,Guess_r,Guess_i,g(x),instances
8.389871471862484,0.0,8.882521489971339,0.0,1.552535877635819e-11,86
5.255058116675515,5.515781976655731e-18,1.8624641833810642,0.0,1.9896364096074958e-13,694
3.4534601966034724,0.0,2.865329512893993,0.0,2.842170943040401e-14,6940
1.7829511019548716,-4.749415073121724,-0.14326647564467976,0.0,7.246142549764705e-14,1286
1.7829511019548716,4.749415073121724,-0.14326647564467976,-0.0,7.246142549764705e-14,1286
0.15225436902955342,-9.673662278462578,-53.29512893982809,-6.030150753768844,1.3855583347321954e-13,549
0.15225436902955342,9.673662278462578,-53.29512893982809,6.030150753768844,1.3855583347321954e-13,549
-0.1917517749071182,-73.10709366457475,-1.1461318051576086,-72.36180904522612,4.012260442327338e-08,141
-0.1917517749071182,73.10709366457475,-1.1461318051576086,72.36180904522612,4.012260442327338e-08,141
-0.23577137336916415,-66.83026631975352,-0.14326647564467976,-65.32663316582914,6.099274132413023e-08,138
-0.23577137336916454,66.83026631975352,-0.14326647564467976,65.32663316582914,6.284184905826054e-08,138
-0.2839321935394494,-60.554745755119555,-1.1461318051576086,-59.2964824120603,3.227540003352511e-08,135
-0.2839321935394494,60.554745755119555,-1.1461318051576086,59.2964824120603,3.227540003352511e-08,135
-0.3370454866344391,-54.28094073573063,-1.1461318051576086,-53.26633165829145,1.3710468255550696e-08,130
-0.3370454866344391,54.28094073573063,-1.1461318051576086,53.26633165829145,1.3710468255550696e-08,130
-0.39608306242651603,-48.009459733106056,-1.1461318051576086,-47.23618090452261,3.1453687898130845e-09,128
-0.39608306242651603,48.009459733106056,-1.1461318051576086,47.23618090452261,3.1453687898130845e-09,128
-0.4620956346298608,-41.741473026962844,-1.1461318051576086,-41.20603015075376,1.3913830315584946e-09,130
-0.46209563462986086,41.74147302696285,-1.1461318051576086,41.20603015075376,1.4800807274728072e-09,130
-0.5364598881495347,-35.480112448984634,-0.14326647564467976,-34.17085427135678,1.2347709524675985e-10,129
-0.5364598881495354,35.480112448984634,-0.14326647564467976,34.17085427135678,1.382431946694851e-10,129
-0.6250094033405853,29.234098809788257,-1.1461318051576086,28.140703517587937,1.4665161412810538e-11,125
-0.6250094033405853,-29.234098809788257,-1.1461318051576086,-28.140703517587937,1.4665161412810538e-11,125
-0.7644584685389669,-23.015450176492777,-1.1461318051576086,-22.110552763819094,6.093656922192802e-12,122
-0.7644584685389669,23.015450176492777,-1.1461318051576086,22.110552763819094,6.093656922192802e-12,122
-1.1968246415427002,16.665857963992362,-35.243553008595995,-12.060301507537687,3.314512409159136e-13,150
-1.1968246415427002,-16.665857963992362,-35.243553008595995,12.060301507537687,3.314512409159136e-13,150
-3.360967594452492,13.834398463330675,-7.163323782234954,0.0,7.119291619286993e-14,2512
-3.360967594452492,-13.834398463330675,-7.163323782234954,-0.0,7.119291619286993e-14,2512
-23.03325552216823,-21.065406616691106,-28.22349570200572,0.0,2.7118230104395023e-13,3158
-23.03325552216823,21.065406616691106,-28.22349570200572,-0.0,2.7118230104395023e-13,3158
-50.66814784561105,-28.087208822950533,-48.280802292263616,0.0,4.0212417728098855e-13,4805
-50.66814784561105,28.087208822950533,-48.280802292263616,-0.0,4.0212417728098855e-13,4805
-86.19872368953273,-35.109011028688165,-93.40974212034385,1.0050251256281406,5.886020593486504e-13,7963
-86.19872368953273,35.109011028688165,-93.40974212034385,-1.0050251256281406,5.886020593486504e-13,7963
-129.62498305432592,42.1308132344258,-140.54441260744986,2.0100502512562812,8.156043362773783e-13,9360
-129.62498305432592,-42.1308132344258,-140.54441260744986,-2.0100502512562812,8.156043362773783e-13,9360
-180.9469259399906,-49.15261544016343,-192.69340974212034,2.0100502512562812,1.0833977233012662e-12,9364
-180.9469259399906,49.15261544016343,-192.69340974212034,-2.0100502512562812,1.0833977233012662e-12,9364
-240.16455234652673,-56.174417645901066,-254.87106017191977,1.0050251256281406,1.392115667792863e-12,9756
-240.16455234652673,56.174417645901066,-254.87106017191977,-1.0050251256281406,1.392115667792863e-12,9756
-307.2778622739344,-63.1962198516387,-275.93123209169056,11.055276381909547,1.7418295525224194e-12,6006
-307.2778622739344,63.1962198516387,-275.93123209169056,-11.055276381909547,1.7418295525224194e-12,6006
-382.2868557222135,70.21802205737633,-215.7593123209169,-18.09045226130653,2.1325799190415807e-12,22
-382.2868557222135,-70.21802205737633,-215.7593123209169,18.09045226130653,2.1325799190415807e-12,22
-465.19153269136416,77.23982426311397,-165.6160458452722,-15.07537688442211,4.128077010656285e-12,9
-465.19153269136416,-77.23982426311397,-165.6160458452722,15.07537688442211,4.128077010656285e-12,9
-555.9918931813862,-84.2616264688516,-293.98280802292265,-30.15075376884422,3.0372780001651096e-12,1
-555.9918931813862,84.26162646885162,-293.98280802292265,30.15075376884422,3.327466623356079e-12,1
-875.7670757766813,105.32703308606449,-298.9971346704871,18.09045226130653,1.3617247933495805e-11,1
-875.7670757766813,-105.32703308606449,-298.9971346704871,-18.09045226130653,1.3617247933495805e-11,1
