# {'par': {'k': 1.5; 'D': 0.1; 'v': 1.0; 'tau': 0.8; 'R': 0.6; 'label': '(D_0.1)'}; 'guess_range': ([-30; 10; 40]; [0; 100; 50]); 'tols': (1e-09; 0.005; 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
0.5365,0.0,[0. 0.],5.4569682106375694e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.00000000e+00,  7.02848149e-25],
       [-7.02848149e-25, -1.00000000e+00]]), 'r': array([-2.50014055e+04,  1.75721910e-20, -2.50014046e+04]), 'qtf': array([5.45696821e-12, 1.00469039e-20]), 'fvec': array([-5.45696821e-12, -1.00469039e-20])}",24
-0.1492,-3.554,[-0.14919744 -3.5543092 ],7.622954678590855e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95614818, -0.29288334],
       [ 0.29288334, -0.95614818]]), 'r': array([-2.01494706e+04, -2.51715634e-03, -2.01494730e+04]), 'qtf': array([-7.62283327e-12, -4.30224846e-14]), 'fvec': array([7.27595761e-12, 2.27373675e-12])}",29
-0.1492,3.554,[-1.  2.],7.622954678590855e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95614818,  0.29288334],
       [-0.29288334, -0.95614818]]), 'r': array([-2.01494706e+04,  4.00361452e-03, -2.01494736e+04]), 'qtf': array([-7.62283327e-12,  4.30224846e-14]), 'fvec': array([ 7.27595761e-12, -2.27373675e-12])}",29
-1.574,7.919,[-2.  6.],6.1852326820078106e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95065399,  0.31025312],
       [-0.31025312, -0.95065399]]), 'r': array([-1.66297217e+04,  1.49802723e-03, -1.66297217e+04]), 'qtf': array([ 3.56335773e-12, -5.05564882e-12]), 'fvec': array([-1.81898940e-12,  5.91171556e-12])}",34
-1.574,-7.919,[-1.57377444 -7.9187057 ],6.1852326820078106e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95065399, -0.31025312],
       [ 0.31025312, -0.95065399]]), 'r': array([-1.66297217e+04,  8.38451827e-04, -1.66297211e+04]), 'qtf': array([3.56335773e-12, 5.05564882e-12]), 'fvec': array([-1.81898940e-12, -5.91171556e-12])}",34
-3.146,-12.96,[ -3.14576193 -12.95806214],2.1827872842550278e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95871046, -0.28438399],
       [ 0.28438399, -0.95871046]]), 'r': array([-1.50403635e+04,  1.43439611e-03, -1.50403626e+04]), 'qtf': array([-2.09266100e-11,  6.20749763e-12]), 'fvec': array([2.18278728e-11, 0.00000000e+00])}",39
-3.146,12.96,[-4. 12.],2.1827872842550278e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95871046,  0.28438399],
       [-0.28438399, -0.95871046]]), 'r': array([-1.50403635e+04,  1.94933763e-03, -1.50403636e+04]), 'qtf': array([-2.09266100e-11, -6.20749763e-12]), 'fvec': array([2.18278728e-11, 0.00000000e+00])}",39
-4.688,-18.44,[ -4.68849662 -18.44412014],3.711139609204686e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96617066, -0.25790357],
       [ 0.25790357, -0.96617066]]), 'r': array([-1.41847938e+04,  1.88571585e-03, -1.41847925e+04]), 'qtf': array([1.96926406e-11, 3.14556136e-11]), 'fvec': array([-1.09139364e-11, -3.54702934e-11])}",44
-4.688,18.44,[-8. 16.],3.711139609204686e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96617066,  0.25790357],
       [-0.25790357, -0.96617066]]), 'r': array([-1.41847938e+04,  1.94081639e-03, -1.41847934e+04]), 'qtf': array([ 1.96926406e-11, -3.14556136e-11]), 'fvec': array([-1.09139364e-11,  3.54702934e-11])}",44
-6.161,24.23,[-6.16051466 24.23417928],9.094947017729282e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9718125 ,  0.23575511],
       [-0.23575511, -0.9718125 ]]), 'r': array([-1.36535790e+04,  2.44513824e-03, -1.36535794e+04]), 'qtf': array([ 2.14418022e-13, -8.83858317e-13]), 'fvec': array([0.00000000e+00, 9.09494702e-13])}",56
