# {'par': {'k': 1.5; 'D': 0.05; 'v': 1.0; 'tau': 0.8; 'R': 0.95; 'label': '(R_0.95)'}; 'guess_range': ([-30; 10; 40]; [0; 100; 50]); 'tols': (1e-09; 0.005; 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
0.7967,0.0,[0. 0.],1.2750496148803727e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.00000000e+00,  9.49459162e-17],
       [-9.49459162e-17, -1.00000000e+00]]), 'r': array([-8.38022848e+08,  7.95668433e-08, -8.38022807e+08]), 'qtf': array([-1.19209290e-07,  4.52400319e-08]), 'fvec': array([ 1.19209290e-07, -4.52400319e-08])}",30
0.4539,3.512,[0. 2.],1.6049041769309353e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98361479,  0.18028294],
       [-0.18028294, -0.98361479]]), 'r': array([-7.87121025e+08,  6.92130784e+01, -7.87120955e+08]), 'qtf': array([ 8.54922615e-08, -1.35824325e-07]), 'fvec': array([-5.96046448e-08,  1.49011612e-07])}",22
0.4539,-3.512,[ 0.45386097 -3.511945  ],1.6049041769309353e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98361479, -0.18028294],
       [ 0.18028294, -0.98361479]]), 'r': array([-7.87121025e+08, -6.55137846e+00, -7.87120948e+08]), 'qtf': array([8.54922615e-08, 1.35824325e-07]), 'fvec': array([-5.96046448e-08, -1.49011612e-07])}",22
-0.46,7.307,[-0.46001906  7.30666903],1.999200562387517e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96240717,  0.27161081],
       [-0.27161081, -0.96240717]]), 'r': array([-6.98878589e+08,  1.12983239e+02, -6.98878574e+08]), 'qtf': array([1.47807915e-07, 1.34613704e-07]), 'fvec': array([-1.78813934e-07, -8.94069672e-08])}",28
-0.46,-7.307,[6. 2.],1.999200562387517e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96240717, -0.27161081],
       [ 0.27161081, -0.96240717]]), 'r': array([-6.98878589e+08, -1.78882995e+01, -6.98878541e+08]), 'qtf': array([ 1.47807915e-07, -1.34613704e-07]), 'fvec': array([-1.78813934e-07,  8.94069672e-08])}",28
-1.727,11.5,[-2. 10.],4.0672254752982203e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95400682,  0.2997849 ],
       [-0.2997849 , -0.95400682]]), 'r': array([-6.29328413e+08,  9.43012659e+01, -6.29328367e+08]), 'qtf': array([ 1.77476103e-07, -3.65958281e-07]), 'fvec': array([-5.96046448e-08,  4.02331352e-07])}",30
-1.727,-11.5,[ -1.72701461 -11.49756577],4.0672254752982203e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95400682, -0.2997849 ],
       [ 0.2997849 , -0.95400682]]), 'r': array([-6.29328413e+08,  3.93625613e+01, -6.29328326e+08]), 'qtf': array([1.77476103e-07, 3.65958281e-07]), 'fvec': array([-5.96046448e-08, -4.02331352e-07])}",30
-3.174,16.07,[ 6. 10.],1.228781230931777e-06,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95368645,  0.30080251],
       [-0.30080251, -0.95368645]]), 'r': array([-5.81836233e+08,  9.21804423e+01, -5.81836205e+08]), 'qtf': array([ 1.22347252e-06, -1.14097828e-07]), 'fvec': array([-1.13248825e-06,  4.76837158e-07])}",36
-3.174,-16.07,[ -3.17382138 -16.07094117],1.228781230931777e-06,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95368645, -0.30080251],
       [ 0.30080251, -0.95368645]]), 'r': array([-5.81836233e+08,  7.22711293e+01, -5.81836162e+08]), 'qtf': array([1.22347252e-06, 1.14097828e-07]), 'fvec': array([-1.13248825e-06, -4.76837158e-07])}",36
-4.696,-20.97,[-3.  8.],9.064022496787041e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95647429, -0.2918166 ],
       [ 0.2918166 , -0.95647429]]), 'r': array([-5.49277629e+08,  1.01458012e+02, -5.49277581e+08]), 'qtf': array([-4.44480356e-07,  7.89938131e-07]), 'fvec': array([ 6.55651093e-07, -6.25848770e-07])}",35
-4.696,20.97,[-4.69622398 20.97066916],9.064022496787041e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95647429,  0.2918166 ],
       [-0.2918166 , -0.95647429]]), 'r': array([-5.49277629e+08,  9.29071319e+01, -5.49277636e+08]), 'qtf': array([-4.44480356e-07, -7.89938131e-07]), 'fvec': array([6.55651093e-07, 6.25848770e-07])}",35
-6.238,26.14,[-4. 14.],2.1696418193818683e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96008417,  0.27971125],
       [-0.27971125, -0.96008417]]), 'r': array([-5.26118401e+08,  1.10726983e+02, -5.26118405e+08]), 'qtf': array([ 1.12683816e-09, -2.16961256e-07]), 'fvec': array([5.96046448e-08, 2.08616257e-07])}",46
