# {'par': {'k': 1.0; 'D': 0.05; 'v': 1.0; 'tau': 0.8; 'R': 0.6; 'label': '(k_1)'}; 'guess_range': ([-30; 10; 40]; [0; 100; 50]); 'tols': (1e-09; 0.005; 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
0.264,0.0,[-1.  0.],1.7881393432617188e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([-5.30312115e+08,  8.00000000e+00, -5.30311988e+08]), 'qtf': array([1.78813934e-07, 0.00000000e+00]), 'fvec': array([-1.78813934e-07,  0.00000000e+00])}",26
-0.0804,3.506,[0. 2.],1.884864366154897e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9834278,  0.1813002],
       [-0.1813002, -0.9834278]]), 'r': array([-4.97790329e+08,  3.85952476e+01, -4.97790320e+08]), 'qtf': array([1.6504426e-07, 9.1035867e-08]), 'fvec': array([-1.78813934e-07, -5.96046448e-08])}",21
-0.0804,-3.506,[-0.08040161 -3.50564686],1.884864366154897e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9834278, -0.1813002],
       [ 0.1813002, -0.9834278]]), 'r': array([-4.97790329e+08,  3.22827342e+00, -4.97790307e+08]), 'qtf': array([ 1.6504426e-07, -9.1035867e-08]), 'fvec': array([-1.78813934e-07,  5.96046448e-08])}",21
-0.9978,7.296,[-1.  6.],2.5463115409962923e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9621041 ,  0.27268241],
       [-0.27268241, -0.9621041 ]]), 'r': array([-4.41622860e+08,  1.03435402e+01, -4.41622886e+08]), 'qtf': array([-2.53763200e-07,  2.10062582e-08]), 'fvec': array([ 2.38418579e-07, -8.94069672e-08])}",29
-0.9978,-7.296,[-0.99778878 -7.29598696],2.5463115409962923e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9621041 , -0.27268241],
       [ 0.27268241, -0.9621041 ]]), 'r': array([-4.41622860e+08,  6.68688254e+01, -4.41622861e+08]), 'qtf': array([-2.53763200e-07, -2.10062582e-08]), 'fvec': array([2.38418579e-07, 8.94069672e-08])}",29
-2.269,-11.48,[ -2.26860174 -11.48447776],1.228781230931777e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95374702, -0.30061041],
       [ 0.30061041, -0.95374702]]), 'r': array([-3.97511110e+08,  3.14146095e+01, -3.97511099e+08]), 'qtf': array([-1.04736617e-07,  6.42594296e-08]), 'fvec': array([ 1.19209290e-07, -2.98023224e-08])}",33
-2.269,11.48,[-1.  2.],1.228781230931777e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95374702,  0.30061041],
       [-0.30061041, -0.95374702]]), 'r': array([-3.97511110e+08,  6.17000456e+01, -3.97511123e+08]), 'qtf': array([-1.04736617e-07, -6.42594296e-08]), 'fvec': array([1.19209290e-07, 2.98023224e-08])}",33
-3.719,16.06,[-2.  6.],4.2981520598697533e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95349563,  0.30140686],
       [-0.30140686, -0.95349563]]), 'r': array([-3.67454338e+08,  6.68950774e+01, -3.67454341e+08]), 'qtf': array([-1.19539581e-07, -4.12857603e-07]), 'fvec': array([2.38418579e-07, 3.57627869e-07])}",37
-3.719,-16.06,[ -3.71879315 -16.05674095],4.2981520598697533e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95349563, -0.30140686],
       [ 0.30140686, -0.95349563]]), 'r': array([-3.67454338e+08,  4.15123185e+01, -3.67454313e+08]), 'qtf': array([-1.19539581e-07,  4.12857603e-07]), 'fvec': array([ 2.38418579e-07, -3.57627869e-07])}",37
-5.244,20.96,[-6. 20.],8.539288510021211e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95633752,  0.29226452],
       [-0.29226452, -0.95633752]]), 'r': array([-3.46873422e+08,  6.29888631e+01, -3.46873427e+08]), 'qtf': array([1.81261071e-07, 8.34469237e-07]), 'fvec': array([-4.17232513e-07, -7.45058060e-07])}",39
-5.244,-20.96,[ -5.24400338 -20.95607962],8.539288510021211e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95633752, -0.29226452],
       [ 0.29226452, -0.95633752]]), 'r': array([-3.46873422e+08,  5.95001515e+01, -3.46873386e+08]), 'qtf': array([ 1.81261071e-07, -8.34469237e-07]), 'fvec': array([-4.17232513e-07,  7.45058060e-07])}",39
-6.788,-26.12,[ -6.78774379 -26.12390458],8.107108180961277e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95998473, -0.28005233],
       [ 0.28005233, -0.95998473]]), 'r': array([-3.32243897e+08,  6.02747716e+01, -3.32243858e+08]), 'qtf': array([8.10623818e-07, 1.18767373e-08]), 'fvec': array([-7.74860382e-07, -2.38418579e-07])}",45
