# {'par': {'k': 1.5; 'D': 0.05; 'v': 1.0; 'tau': 0.2; 'R': 0.6; 'label': '(tau_0.2)'}; 'guess_range': ([-30; 10; 40]; [0; 100; 50]); 'tols': (1e-09; 0.005; 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
0.812,0.0,[-1.  0.],5.960464477539063e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([-3.54140846e+08,  4.00000000e+00, -3.54140857e+08]), 'qtf': array([-5.96046448e-08,  0.00000000e+00]), 'fvec': array([5.96046448e-08, 0.00000000e+00])}",46
-0.3505,5.276,[-2.  4.],2.862419592186592e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9227561 ,  0.38538447],
       [-0.38538447, -0.9227561 ]]), 'r': array([-3.07229402e+08, -5.21247112e+01, -3.07229338e+08]), 'qtf': array([ 2.51141789e-07, -1.37339947e-07]), 'fvec': array([-1.78813934e-07,  2.23517418e-07])}",43
-0.3505,-5.276,[-0.3505419  -5.27649232],2.862419592186592e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9227561 , -0.38538447],
       [ 0.38538447, -0.9227561 ]]), 'r': array([-3.07229402e+08,  6.62272665e+01, -3.07229331e+08]), 'qtf': array([2.51141789e-07, 1.37339947e-07]), 'fvec': array([-1.78813934e-07, -2.23517418e-07])}",43
-3.678,-11.16,[-1.  2.],4.805480091749757e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.82786384, -0.56092911],
       [ 0.56092911, -0.82786384]]), 'r': array([-2.38650247e+08,  6.41129048e+00, -2.38650217e+08]), 'qtf': array([ 3.61322260e-07, -3.16816372e-07]), 'fvec': array([-4.76837158e-07,  5.96046448e-08])}",69
-3.678,11.16,[-3.67758062 11.16115252],4.805480091749757e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.82786384,  0.56092911],
       [-0.56092911, -0.82786384]]), 'r': array([-2.38650247e+08,  1.60493184e+01, -2.38650230e+08]), 'qtf': array([3.61322260e-07, 3.16816372e-07]), 'fvec': array([-4.76837158e-07, -5.96046448e-08])}",69
-8.817,-18.07,[7. 2.],8.429369702178807e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.78592587, -0.61832073],
       [ 0.61832073, -0.78592587]]), 'r': array([-1.91313404e+08,  1.17709478e+01, -1.91313387e+08]), 'qtf': array([-8.36996198e-08, -9.99004533e-09]), 'fvec': array([5.96046448e-08, 5.96046448e-08])}",118
-8.817,18.07,[-8.81690045 18.07161266],8.429369702178807e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.78592587,  0.61832073],
       [-0.61832073, -0.78592587]]), 'r': array([-1.91313404e+08,  1.70936430e+01, -1.91313408e+08]), 'qtf': array([-8.36996198e-08,  9.99004533e-09]), 'fvec': array([ 5.96046448e-08, -5.96046448e-08])}",118
-15.37,26.24,[-5.  4.],3.5886748369909214e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.77832147,  0.62786597],
       [-0.62786597, -0.77832147]]), 'r': array([-1.61239481e+08,  2.11963934e+01, -1.61239492e+08]), 'qtf': array([-3.53973078e-07,  5.90671741e-08]), 'fvec': array([ 2.38418579e-07, -2.68220901e-07])}",179
-15.37,-26.24,[-15.365853   -26.23692617],3.5886748369909214e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.77832147, -0.62786597],
       [ 0.62786597, -0.77832147]]), 'r': array([-1.61239481e+08,  9.39520460e+00, -1.61239469e+08]), 'qtf': array([-3.53973078e-07, -5.90671741e-08]), 'fvec': array([2.38418579e-07, 2.68220901e-07])}",179
-22.94,-35.73,[-22.9428721  -35.73453854],7.152557373046875e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.78651717, -0.61756841],
       [ 0.61756841, -0.78651717]]), 'r': array([-1.41576467e+08,  3.33447802e+00, -1.41576446e+08]), 'qtf': array([4.41719351e-07, 5.62560917e-07]), 'fvec': array([ 0.00000000e+00, -7.15255737e-07])}",256
