# {'par': {'k': 1.5; 'D': 0.05; 'v': 1.0; 'tau': 8.0; 'R': 0.6; 'label': '(tau_8)'}; 'guess_range': ([-30; 10; 40]; [0; 100; 50]); 'tols': (1e-09; 0.005; 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
0.1127,0.0,[0. 0.],1.7881393432617188e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.00000000e+00, -8.35629923e-26],
       [ 8.35629923e-26, -1.00000000e+00]]), 'r': array([-2.64942524e+09, -2.21393922e-16, -2.64942549e+09]), 'qtf': array([-1.78813934e-07, -2.43655013e-17]), 'fvec': array([1.78813934e-07, 2.43655013e-17])}",22
0.08232,-2.078,[ 0.08231889 -2.07789468],5.623090941939713e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9996252 , -0.02737616],
       [ 0.02737616, -0.9996252 ]]), 'r': array([-2.62384552e+09,  4.19068824e+02, -2.62384599e+09]), 'qtf': array([-4.68499710e-07,  3.10965494e-07]), 'fvec': array([ 4.76837158e-07, -2.98023224e-07])}",11
0.08232,2.078,[0. 2.],5.623090941939713e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9996252 ,  0.02737616],
       [-0.02737616, -0.9996252 ]]), 'r': array([-2.62384552e+09,  3.15171302e+02, -2.62384601e+09]), 'qtf': array([-4.68499710e-07, -3.10965494e-07]), 'fvec': array([4.76837158e-07, 2.98023224e-07])}",11
0.007728,4.187,[0. 4.],1.0729870812532122e-06,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99915541,  0.04109087],
       [-0.04109087, -0.99915541]]), 'r': array([-2.57723481e+09,  2.58725501e+03, -2.57723557e+09]), 'qtf': array([ 2.22136330e-07, -1.04974127e-06]), 'fvec': array([-1.78813934e-07,  1.05798244e-06])}",5
0.007728,-4.187,[ 0.00772777 -4.18657432],1.0729870812532122e-06,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99915541, -0.04109087],
       [ 0.04109087, -0.99915541]]), 'r': array([-2.57723481e+09, -1.14765924e+03, -2.57723552e+09]), 'qtf': array([2.22136330e-07, 1.04974127e-06]), 'fvec': array([-1.78813934e-07, -1.05798244e-06])}",5
-0.05376,5.612,[5. 6.],1.0464817205714845e-06,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9990073 ,  0.04454687],
       [-0.04454687, -0.9990073 ]]), 'r': array([-2.54974753e+09,  1.07743485e+03, -2.54974735e+09]), 'qtf': array([ 4.01083652e-07, -9.66569137e-07]), 'fvec': array([-3.57627869e-07,  9.83476639e-07])}",6
-0.05376,-5.612,[-0.05375755 -5.61247575],1.0464817205714845e-06,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9990073 , -0.04454687],
       [ 0.04454687, -0.9990073 ]]), 'r': array([-2.54974753e+09,  7.72260486e+02, -2.54974728e+09]), 'qtf': array([4.01083652e-07, 9.66569137e-07]), 'fvec': array([-3.57627869e-07, -9.83476639e-07])}",6
-0.0861,6.331,[0. 6.],4.1962050915744076e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9989725 ,  0.04532047],
       [-0.04532047, -0.9989725 ]]), 'r': array([-2.53789527e+09,  9.60381819e+02, -2.53789511e+09]), 'qtf': array([-1.00852955e-07, -4.07320578e-07]), 'fvec': array([1.19209290e-07, 4.02331352e-07])}",1
-0.0861,-6.331,[-0.08609557 -6.33078761],4.1962050915744076e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9989725 , -0.04532047],
       [ 0.04532047, -0.9989725 ]]), 'r': array([-2.53789527e+09,  1.11380807e+03, -2.53789502e+09]), 'qtf': array([-1.00852955e-07,  4.07320578e-07]), 'fvec': array([ 1.19209290e-07, -4.02331352e-07])}",1
-0.1521,7.777,[0. 8.],2.5288109106536417e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99895258,  0.04575741],
       [-0.04575741, -0.99895258]]), 'r': array([-2.51768517e+09,  1.42030279e+03, -2.51768507e+09]), 'qtf': array([-1.70444579e-07, -1.86808703e-07]), 'fvec': array([1.78813934e-07, 1.78813934e-07])}",11
-0.1521,-7.777,[-0.15214825 -7.776633  ],2.5288109106536417e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99895258, -0.04575741],
       [ 0.04575741, -0.99895258]]), 'r': array([-2.51768517e+09,  1.10594059e+03, -2.51768495e+09]), 'qtf': array([-1.70444579e-07,  1.86808703e-07]), 'fvec': array([ 1.78813934e-07, -1.78813934e-07])}",11
