# {'par': {'k': 1.5; 'D': 0.05; 'v': 0.5; 'tau': 0.8; 'R': 0.6; 'label': '(v_0.5)'}; 'guess_range': ([-30; 10; 40]; [0; 100; 50]); 'tols': (1e-09; 0.005; 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
0.8921,0.0,[0. 0.],1.818989403552976e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.00000000e+00,  6.66518368e-22],
       [-6.66518368e-22, -1.00000000e+00]]), 'r': array([-2.07103359e+04,  1.38038186e-17, -2.07103349e+04]), 'qtf': array([1.8189894e-12, 5.0892884e-18]), 'fvec': array([-1.8189894e-12, -5.0892884e-18])}",22
0.1297,-2.228,[ 0.12968475 -2.22804698],3.279229782005122e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.88403456, -0.46742154],
       [ 0.46742154, -0.88403456]]), 'r': array([-1.40666795e+04, -2.07931485e-04, -1.40666783e+04]), 'qtf': array([-1.56183942e-12,  2.88340174e-12]), 'fvec': array([ 2.72848411e-12, -1.81898940e-12])}",22
0.1297,2.228,[0. 2.],3.279229782005122e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.88403456,  0.46742154],
       [-0.46742154, -0.88403456]]), 'r': array([-1.40666795e+04,  1.15685914e-03, -1.40666788e+04]), 'qtf': array([-1.56183942e-12, -2.88340174e-12]), 'fvec': array([2.72848411e-12, 1.81898940e-12])}",22
-1.575,5.303,[-2.  4.],8.385126836667848e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.87765997,  0.47928381],
       [-0.47928381, -0.87765997]]), 'r': array([-1.03533777e+04,  6.66736103e-04, -1.03533774e+04]), 'qtf': array([ 7.84070518e-12, -2.97215315e-12]), 'fvec': array([-5.45696821e-12,  6.36646291e-12])}",27
-1.575,-5.303,[-1.57484431 -5.30279727],8.385126836667848e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.87765997, -0.47928381],
       [ 0.47928381, -0.87765997]]), 'r': array([-1.03533777e+04,  2.01553591e-04, -1.03533770e+04]), 'qtf': array([7.84070518e-12, 2.97215315e-12]), 'fvec': array([-5.45696821e-12, -6.36646291e-12])}",27
-3.576,9.193,[-5.  8.],1.1259015448686066e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9002982 ,  0.43527366],
       [-0.43527366, -0.9002982 ]]), 'r': array([-8.85501146e+03,  1.07796637e-03, -8.85501168e+03]), 'qtf': array([-1.07343202e-11,  3.39702794e-12]), 'fvec': array([ 8.18545232e-12, -7.73070497e-12])}",36
-3.576,-9.193,[-3.57634064 -9.19306785],1.1259015448686066e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9002982 , -0.43527366],
       [ 0.43527366, -0.9002982 ]]), 'r': array([-8.85501146e+03,  5.84598490e-04, -8.85501099e+03]), 'qtf': array([-1.07343202e-11, -3.39702794e-12]), 'fvec': array([8.18545232e-12, 7.73070497e-12])}",36
-5.609,13.68,[-7. 12.],4.022650958394054e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.91978564,  0.39242118],
       [-0.39242118, -0.91978564]]), 'r': array([-8.09579263e+03,  1.16961831e-03, -8.09579274e+03]), 'qtf': array([1.34967929e-12, 3.78947048e-12]), 'fvec': array([-2.72848411e-12, -2.95585778e-12])}",43
-5.609,-13.68,[ -5.60941746 -13.6764266 ],4.022650958394054e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.91978564, -0.39242118],
       [ 0.39242118, -0.91978564]]), 'r': array([-8.09579263e+03,  7.21251467e-04, -8.09579203e+03]), 'qtf': array([ 1.34967929e-12, -3.78947048e-12]), 'fvec': array([-2.72848411e-12,  2.95585778e-12])}",43
-7.587,-18.58,[-9. 14.],2.5221060466468857e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.93409229, -0.35703165],
       [ 0.35703165, -0.93409229]]), 'r': array([-7.64268274e+03,  7.52867660e-04, -7.64268180e+03]), 'qtf': array([1.83125837e-11, 1.73421789e-11]), 'fvec': array([-1.09139364e-11, -2.27373675e-11])}",48
