# {'par': {'k': 1.5; 'D': 0.05; 'v': 1.0; 'tau': 0.8; 'R': 0.6; 'label': 'default'}; 'guess_range': ([-30; 10; 40]; [0; 100; 50]); 'tols': (1e-09; 0.005; 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
0.5459,0.0,[0. 0.],9.974049567210494e-307,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.00000000e+000,  3.41122694e-315],
       [-3.41122694e-315, -1.00000000e+000]]), 'r': array([-5.37502367e+008,  7.95428515e-307, -2.33179595e+008]), 'qtf': array([0.00000000e+000, 9.97404957e-307]), 'fvec': array([ 0.00000000e+000, -9.97404957e-307])}",24
0.1907,3.463,[0. 2.],1.9371509552001953e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98209871,  0.18836697],
       [-0.18836697, -0.98209871]]), 'r': array([-5.02317516e+08,  1.39700316e+02, -5.02317649e+08]), 'qtf': array([-1.61578502e-07, -1.06854696e-07]), 'fvec': array([1.78813934e-07, 7.45058060e-08])}",20
0.1907,-3.463,[ 0.19074795 -3.46261546],1.9371509552001953e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98209871, -0.18836697],
       [ 0.18836697, -0.98209871]]), 'r': array([-5.02317516e+08, -8.76599765e+01, -5.02317647e+08]), 'qtf': array([-1.61578502e-07,  1.06854696e-07]), 'fvec': array([ 1.78813934e-07, -7.45058060e-08])}",20
-0.7508,7.223,[-2.  6.],7.98707800105655e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95999449,  0.28001889],
       [-0.28001889, -0.95999449]]), 'r': array([-4.43122170e+08,  2.45290651e+01, -4.43122231e+08]), 'qtf': array([2.78338962e-07, 7.48639815e-07]), 'fvec': array([-4.76837158e-07, -6.40749931e-07])}",27
-0.7508,-7.223,[-0.75075421 -7.22325309],7.98707800105655e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95999449, -0.28001889],
       [ 0.28001889, -0.95999449]]), 'r': array([-4.43122170e+08,  5.02741728e+01, -4.43122212e+08]), 'qtf': array([ 2.78338962e-07, -7.48639815e-07]), 'fvec': array([-4.76837158e-07,  6.40749931e-07])}",27
-2.048,-11.4,[-3.  8.],1.9371509552001953e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95196404, -0.30620983],
       [ 0.30620983, -0.95196404]]), 'r': array([-3.97757851e+08,  5.05249527e+01, -3.97757818e+08]), 'qtf': array([ 1.47410026e-07, -1.25681433e-07]), 'fvec': array([-1.78813934e-07,  7.45058060e-08])}",33
-2.048,11.4,[-2.04762621 11.39563309],1.9371509552001953e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95196404,  0.30620983],
       [-0.30620983, -0.95196404]]), 'r': array([-3.97757851e+08,  3.72587243e+01, -3.97757849e+08]), 'qtf': array([1.47410026e-07, 1.25681433e-07]), 'fvec': array([-1.78813934e-07, -7.45058060e-08])}",33
-3.521,15.96,[-6. 14.],1.862645149230957e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95219684,  0.30548515],
       [-0.30548515, -0.95219684]]), 'r': array([-3.67294152e+08,  5.18277529e+01, -3.67294150e+08]), 'qtf': array([-1.54333771e-07, -1.04285937e-07]), 'fvec': array([1.78813934e-07, 5.21540642e-08])}",38
-3.521,-15.96,[ -3.52079735 -15.96056487],1.862645149230957e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95219684, -0.30548515],
       [ 0.30548515, -0.95219684]]), 'r': array([-3.67294152e+08,  5.25147449e+01, -3.67294119e+08]), 'qtf': array([-1.54333771e-07,  1.04285937e-07]), 'fvec': array([ 1.78813934e-07, -5.21540642e-08])}",38
-5.065,20.86,[-6. 18.],1.4901161193847656e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95541125,  0.29527842],
       [-0.29527842, -0.95541125]]), 'r': array([-3.46601370e+08,  6.22639066e+01, -3.46601380e+08]), 'qtf': array([-8.74939478e-08, -1.20620353e-07]), 'fvec': array([1.19209290e-07, 8.94069672e-08])}",38
