# {'par': {'k': 1.5; 'D': 0.05; 'v': 1; 'tau': 0.8; 'R': 0.6; 'label': 'default'}; 'guess_range': ([-30; 10; 40]; [0; 100; 50]); 'tols': (1e-09; 1e-05; 5)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
0.57438,0.0,[-2.  0.],8.815227658942604e-09,1,The solution converged.,"{'nfev': 26, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([13.36677223,  0.        ,  0.52428748]), 'qtf': array([-2.61953308e-05,  0.00000000e+00]), 'fvec': array([-8.81522766e-09,  0.00000000e+00])}",28
0.22125,3.3599,[-30.   2.],7.929362502827393e-07,1,The solution converged.,"{'nfev': 52, 'fjac': array([[ 0.5063251 , -0.86234268],
       [ 0.86234268,  0.5063251 ]]), 'r': array([-4.65971233, -0.33284043, -5.03893785]), 'qtf': array([-1.65903220e-05,  3.09361196e-05]), 'fvec': array([-4.14367948e-07, -6.76052587e-07])}",81
0.22125,-3.3599,[ 0.22125255 -3.3599142 ],5.708964997026331e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.43117292, -0.90226931],
       [ 0.90226931, -0.43117292]]), 'r': array([ 4.89930288e+00, -3.73391973e-07,  4.89930305e+00]), 'qtf': array([-4.31317263e-07, -6.65367053e-07]), 'fvec': array([ 4.72955008e-14, -3.19744231e-14])}",81
-0.72849,7.0043,[-30.   6.],7.079962285504324e-08,1,The solution converged.,"{'nfev': 49, 'fjac': array([[-0.86474915,  0.50220405],
       [-0.50220405, -0.86474915]]), 'r': array([-5.63568898,  0.21703058, -6.33273502]), 'qtf': array([ 2.14273752e-05, -1.58868952e-05]), 'fvec': array([ 2.64712252e-08, -6.56647610e-08])}",91
-0.72849,-7.0043,[-0.72848855 -7.00429229],1.88411095042053e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.84240586, -0.53884354],
       [ 0.53884354, -0.84240586]]), 'r': array([-5.97681181e+00, -1.67813349e-07, -5.97681147e+00]), 'qtf': array([-5.76825478e-08, -4.10525307e-08]), 'fvec': array([-1.33226763e-15,  1.33226763e-15])}",91
-2.0577,11.059,[-30.  10.],3.818546460896659e-06,1,The solution converged.,"{'nfev': 48, 'fjac': array([[-0.87109521,  0.49111417],
       [-0.49111417, -0.87109521]]), 'r': array([12.29956289,  1.00993218, 13.99151863]), 'qtf': array([-0.00043628, -0.00027005]), 'fvec': array([3.80819767e-06, 2.80940527e-07])}",109
-2.0577,-11.059,[ -2.05768578 -11.05855216],3.0090911063970717e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.88832447, -0.45921632],
       [ 0.45921632, -0.88832447]]), 'r': array([1.30592694e+01, 8.66085550e-08, 1.30592693e+01]), 'qtf': array([-3.25390271e-06,  1.99835287e-06]), 'fvec': array([-1.72306613e-13, -2.46691556e-13])}",109
-3.5836,-15.517,[ -3.58362212 -15.51737442],4.9387831689024055e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.72015985, -0.69380818],
       [ 0.69380818, -0.72015985]]), 'r': array([-3.74169569e+01, -1.61249542e-06, -3.74169548e+01]), 'qtf': array([1.19623800e-07, 6.21486776e-07]), 'fvec': array([-3.90798505e-14, -3.01980663e-14])}",115
-3.5836,15.517,[-30.  14.],6.328946722368946e-07,1,The solution converged.,"{'nfev': 53, 'fjac': array([[-0.66214774,  0.74937332],
       [-0.74937332, -0.66214774]]), 'r': array([-38.09926067,   2.86880741, -36.79039844]), 'qtf': array([ 7.61748516e-05, -2.71126026e-04]), 'fvec': array([3.45044349e-07, 5.30565796e-07])}",115
-5.1919,20.325,[-30.  20.],3.905555967774608e-06,1,The solution converged.,"{'nfev': 42, 'fjac': array([[-0.1358552,  0.9907287],
       [-0.9907287, -0.1358552]]), 'r': array([127.22720319,  -4.391456  , 116.7237769 ]), 'qtf': array([-5.64139477e-05,  1.02478712e-05]), 'fvec': array([-2.70578697e-06, -2.81639562e-06])}",104
-5.1919,-20.325,[ -5.19194974 -20.32497668],4.1382633578908315e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.19942263, -0.97991358],
       [ 0.97991358, -0.19942263]]), 'r': array([1.21295036e+02, 1.00695700e-05, 1.21295030e+02]), 'qtf': array([-2.22022916e-06, -3.21309039e-06]), 'fvec': array([-3.97903932e-13,  1.13686838e-13])}",104
-6.8196,25.42,[-30.  24.],1.399606873320082e-13,1,The solution converged.,"{'nfev': 5, 'fjac': array([[-0.60925793, -0.79297211],
       [ 0.79297211, -0.60925793]]), 'r': array([ 4.12592888e+02, -7.82822650e-06,  4.12592903e+02]), 'qtf': array([-1.74008593e-12, -4.40896237e-13]), 'fvec': array([ 1.27897692e-13, -5.68434189e-14])}",131
-6.8196,-25.42,[ -6.81958518 -25.41964733],1.399606873320082e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.60925795,  0.7929721 ],
       [-0.7929721 , -0.60925795]]), 'r': array([4.12592878e+02, 4.99826480e-05, 4.12592868e+02]), 'qtf': array([-3.28474413e-14, -1.36051606e-13]), 'fvec': array([1.27897692e-13, 5.68434189e-14])}",131
-8.4338,30.748,[-30.  30.],1.0231815394945443e-12,1,The solution converged.,"{'nfev': 9, 'fjac': array([[-0.98971447,  0.14305688],
       [-0.14305688, -0.98971447]]), 'r': array([-1.41657662e+03, -1.39831501e-04, -1.41657677e+03]), 'qtf': array([-1.46373158e-13,  1.01265757e-12]), 'fvec': array([ 0.00000000e+00, -1.02318154e-12])}",134
-8.4338,-30.748,[ -8.43375206 -30.74843445],1.0231815394945443e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98971447, -0.14305688],
       [ 0.14305688, -0.98971447]]), 'r': array([-1.41657662e+03, -1.82072772e-04, -1.41657657e+03]), 'qtf': array([-1.46373158e-13, -1.01265757e-12]), 'fvec': array([0.00000000e+00, 1.02318154e-12])}",134
-10.018,36.269,[-10.  34.],1.5049664164846865e-11,1,The solution converged.,"{'nfev': 5, 'fjac': array([[-0.20139116,  0.9795109 ],
       [-0.9795109 , -0.20139116]]), 'r': array([ 4.81199753e+03, -2.46609053e-04,  4.81199851e+03]), 'qtf': array([-4.0253345e-10, -4.9686572e-10]), 'fvec': array([-1.34150469e-11,  6.82121026e-12])}",124
-10.018,-36.269,[-10.01819601 -36.26930562],1.0272157849682588e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.20139105, -0.97951092],
       [ 0.97951092, -0.20139105]]), 'r': array([4.81199655e+03, 8.23595496e-04, 4.81199636e+03]), 'qtf': array([ 9.38312031e-12, -1.17664542e-11]), 'fvec': array([-1.02318154e-11, -9.09494702e-13])}",124
-11.565,-41.95,[-11.56545918 -41.94961596],1.6471649611298594e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.91594088,  0.40131322],
       [-0.40131322, -0.91594088]]), 'r': array([1.60103403e+04, 3.28639631e-03, 1.60103398e+04]), 'qtf': array([-1.92459122e-11, -4.21931802e-11]), 'fvec': array([-1.63709046e-11,  1.81898940e-12])}",133
-11.565,41.95,[-28.  40.],4.6375312318494115e-11,1,The solution converged.,"{'nfev': 5, 'fjac': array([[-0.91594087, -0.40131325],
       [ 0.40131325, -0.91594087]]), 'r': array([ 1.60103405e+04, -1.01071356e-03,  1.60103397e+04]), 'qtf': array([-1.54413442e-10, -1.03134308e-10]), 'fvec': array([ 3.45607987e-11, -3.09228199e-11])}",133
-13.073,-47.764,[-13.07274557 -47.76401051],1.2706913691780194e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.48756957, -0.87308414],
       [ 0.87308414, -0.48756957]]), 'r': array([-5.19255494e+04, -1.24664116e-02, -5.19255483e+04]), 'qtf': array([-1.22929058e-11,  1.26473120e-10]), 'fvec': array([ 1.16415322e-10, -5.09317033e-11])}",143
