# {'par': {'k': 1.5; 'D': 0.05; 'v': 1; 'tau': 0.8; 'R': 0.6; 'label': 'default'}; 'guess_range': ([-30; 10; 40]; [0; 100; 50]); 'tols': (1e-09; 1e-07; 5)}
Sol_r,Sol_i,Guess,g(x),g*(x),ier,msg,infodict,instances
0.57438,0.0,[-3.  0.],5.684341886080802e-14,4.218847493575595e-13,1,The solution converged.,"{'nfev': 21, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([1.80901510e+00, 1.83105469e-04, 9.48948595e+03]), 'qtf': array([-8.41444547e-09,  0.00000000e+00]), 'fvec': array([5.68434189e-14, 0.00000000e+00])}",55
0.22125,-3.3599,[-13.   0.],8.003088777082022e-11,2.2410869150709376e-10,1,The solution converged.,"{'nfev': 63, 'fjac': array([[-0.9995    ,  0.03161891],
       [-0.03161891, -0.9995    ]]), 'r': array([ 1.68446006, -0.01793125,  1.81592679]), 'qtf': array([4.99333178e-08, 5.86728350e-08]), 'fvec': array([5.33078026e-11, 5.96927230e-11])}",78
0.22125,3.3599,[0.22125264 3.35991407],7.771561172376096e-16,1.4043333874306805e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99993486,  0.01141424],
       [-0.01141424, -0.99993486]]), 'r': array([1.74958105e+00, 6.32341958e-08, 1.74958074e+00]), 'qtf': array([-5.39856770e-11,  5.90803663e-11]), 'fvec': array([ 0.00000000e+00, -7.77156117e-16])}",78
-0.72849,7.0043,[-11.   0.],8.618985296847782e-12,3.093529542092041e-11,1,The solution converged.,"{'nfev': 56, 'fjac': array([[-0.99831172, -0.05808367],
       [ 0.05808367, -0.99831172]]), 'r': array([ 1.70969587, -0.00310721,  1.62297377]), 'qtf': array([8.34530769e-09, 7.70531906e-09]), 'fvec': array([-5.95035132e-12, -6.23540108e-12])}",77
-0.72849,-7.0043,[-0.72848856 -7.0042923 ],9.694605782913356e-16,2.220446049250313e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99945528,  0.03300207],
       [-0.03300207, -0.99945528]]), 'r': array([1.66532107e+00, 1.26607116e-08, 1.66532111e+00]), 'qtf': array([ 6.15289120e-12, -6.03563065e-12]), 'fvec': array([8.88178420e-16, 3.88578059e-16])}",77
-2.0577,11.059,[-24.   0.],1.5332441381295315e-08,1.2269216765256553e-07,1,The solution converged.,"{'nfev': 83, 'fjac': array([[-0.99999186,  0.00403575],
       [-0.00403575, -0.99999186]]), 'r': array([ 1.72688287, -0.11813114,  1.5159918 ]), 'qtf': array([-3.35566043e-07,  6.17579408e-07]), 'fvec': array([-7.67455077e-09,  1.32734709e-08])}",93
-2.0577,-11.059,[ -2.05768553 -11.0585523 ],6.720289191984444e-15,3.801569647349491e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99433931,  0.10625131],
       [-0.10625131, -0.99433931]]), 'r': array([1.63197428e+00, 1.25988877e-07, 1.63197433e+00]), 'qtf': array([6.22078390e-09, 1.40137649e-08]), 'fvec': array([8.88178420e-16, 6.66133815e-15])}",93
-3.5836,15.517,[-30.   0.],2.595597322500434e-11,5.908342702679695e-10,1,The solution converged.,"{'nfev': 66, 'fjac': array([[-0.98740546, -0.15821017],
       [ 0.15821017, -0.98740546]]), 'r': array([1.74825165, 0.252729  , 1.54793163]), 'qtf': array([ 1.02386197e-08, -3.34997915e-09]), 'fvec': array([-2.56168420e-11,  4.18209911e-12])}",121
-3.5836,-15.517,[ -3.58362211 -15.5173744 ],2.288783399261119e-15,4.9387831689024055e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98383326,  0.17908691],
       [-0.17908691, -0.98383326]]), 'r': array([1.64375968e+00, 2.45486319e-07, 1.64375977e+00]), 'qtf': array([2.44537419e-11, 8.70212929e-12]), 'fvec': array([ 2.22044605e-15, -5.55111512e-16])}",121
-5.1919,20.325,[-30.   6.],8.133771333275835e-09,5.864648677410667e-07,1,The solution converged.,"{'nfev': 72, 'fjac': array([[-0.92442614, -0.38136113],
       [ 0.38136113, -0.92442614]]), 'r': array([1.56764066, 0.18097109, 1.8332402 ]), 'qtf': array([ 5.52129448e-07, -1.23221590e-06]), 'fvec': array([-5.60030688e-09,  5.89871163e-09])}",98
-5.1919,-20.325,[ -5.19194972 -20.32497665],4.39205126597841e-15,1.2868476258827026e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97039611,  0.24151891],
       [-0.24151891, -0.97039611]]), 'r': array([1.68225933e+00, 3.15332629e-07, 1.68225952e+00]), 'qtf': array([4.00986560e-09, 7.07666687e-09]), 'fvec': array([-1.55431223e-15, -4.10782519e-15])}",98
-6.8196,25.42,[-30.  14.],3.292812871850245e-08,7.830403554512013e-06,1,The solution converged.,"{'nfev': 60, 'fjac': array([[-0.97841186, -0.20666453],
       [ 0.20666453, -0.97841186]]), 'r': array([ 1.78794523, -0.16982154,  1.76905083]), 'qtf': array([-2.49051298e-07,  6.23435653e-07]), 'fvec': array([ 1.80046007e-08, -2.75698389e-08])}",92
-6.8196,-25.42,[ -6.81958519 -25.41964735],7.595094054341032e-15,1.8430333553707755e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9562151 ,  0.29266479],
       [-0.29266479, -0.9562151 ]]), 'r': array([1.73502085e+00, 2.90495931e-07, 1.73502103e+00]), 'qtf': array([-9.14755006e-09, -3.16320089e-08]), 'fvec': array([7.32747196e-15, 1.99840144e-15])}",92
-8.4338,-30.748,[ 1. 14.],3.4385989362703674e-09,2.713652897826175e-06,1,The solution converged.,"{'nfev': 18, 'fjac': array([[-0.94402857,  0.3298637 ],
       [-0.3298637 , -0.94402857]]), 'r': array([1.77075628, 0.0119393 , 1.79375041]), 'qtf': array([ 2.31082895e-07, -4.25527515e-08]), 'fvec': array([ 2.70311062e-09, -2.12536011e-09])}",79
-8.4338,30.748,[-8.43375206 30.74843445],1.2412670766236366e-15,1.0231815394945443e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.94249207, -0.33422852],
       [ 0.33422852, -0.94249207]]), 'r': array([1.79501182e+00, 4.79760384e-07, 1.79501183e+00]), 'qtf': array([-3.25801629e-09, -1.09967836e-09]), 'fvec': array([-2.22044605e-16,  1.22124533e-15])}",79
-10.018,36.269,[-3. 26.],1.9913632759565612e-10,5.15637970839796e-07,1,The solution converged.,"{'nfev': 21, 'fjac': array([[ 0.92933384,  0.3692406 ],
       [-0.3692406 ,  0.92933384]]), 'r': array([-1.88132643,  0.24061714, -1.83660435]), 'qtf': array([1.75419742e-07, 1.48727180e-08]), 'fvec': array([1.77611037e-10, 9.00532982e-11])}",80
-10.018,-36.269,[-10.01819601 -36.26930562],1.0715809139595271e-14,1.5049664164846865e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.92974298,  0.36820917],
       [-0.36820917, -0.92974298]]), 'r': array([1.85837916e+00, 4.21236168e-07, 1.85837948e+00]), 'qtf': array([-1.98291065e-10,  1.83284098e-11]), 'fvec': array([1.11022302e-15, 1.06581410e-14])}",80
-11.565,41.95,[ 9. 30.],6.4137851726032964e-09,5.3399350643035686e-05,1,The solution converged.,"{'nfev': 30, 'fjac': array([[ 0.89956251,  0.43679205],
       [-0.43679205,  0.89956251]]), 'r': array([-1.83978353,  0.0023673 , -2.01367338]), 'qtf': array([ 8.80966467e-07, -9.91354947e-07]), 'fvec': array([ 6.01719341e-09, -2.22036567e-09])}",77
-11.565,-41.95,[-11.56545918 -41.94961596],1.8508453422483046e-14,1.5444280541216256e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.91812176,  0.39629842],
       [-0.39629842, -0.91812176]]), 'r': array([1.92300035e+00, 5.67960743e-07, 1.92300062e+00]), 'qtf': array([-4.64458879e-09, -4.42317026e-09]), 'fvec': array([9.32587341e-15, 1.59872116e-14])}",77
-13.073,47.764,[-30.  42.],9.652156868168538e-08,0.0025214826822829903,1,The solution converged.,"{'nfev': 43, 'fjac': array([[ 0.93269973,  0.36065387],
       [-0.36065387,  0.93269973]]), 'r': array([-2.13615726,  0.0435445 , -1.91326816]), 'qtf': array([-2.13599224e-06,  1.72313992e-06]), 'fvec': array([-9.13740021e-08,  3.10999189e-08])}",61
-13.073,-47.764,[-13.07274553 -47.76401048],1.510066572755813e-14,4.0123459414352656e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.90761371,  0.41980633],
       [-0.41980633, -0.90761371]]), 'r': array([1.98769364e+00, 6.20308355e-07, 1.98769403e+00]), 'qtf': array([6.98763545e-08, 6.65860970e-08]), 'fvec': array([-1.50990331e-14, -2.22044605e-16])}",61
-14.54,53.693,[ 7. 44.],2.2879464030418725e-08,0.0018269817166376068,1,The solution converged.,"{'nfev': 21, 'fjac': array([[-0.89829382, -0.43939528],
       [ 0.43939528, -0.89829382]]), 'r': array([2.06867413, 0.21333024, 2.04267913]), 'qtf': array([-4.41173724e-06,  1.26268438e-07]), 'fvec': array([2.09810365e-08, 9.12501963e-09])}",56
-14.54,-53.693,[-14.53971925 -53.69262035],9.952454341106685e-15,3.958548916484999e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.89813488,  0.43972006],
       [-0.43972006, -0.89813488]]), 'r': array([2.05179988e+00, 9.22881114e-07, 2.05180029e+00]), 'qtf': array([-2.28562549e-08, -1.03028415e-09]), 'fvec': array([7.77156117e-15, 6.21724894e-15])}",56
-15.967,-59.72,[-15.96732075 -59.71968389],1.6372684457822274e-14,2.218773420032337e-09,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.88957882,  0.45678169],
       [-0.45678169, -0.88957882]]), 'r': array([2.11495526e+00, 8.42496448e-07, 2.11495577e+00]), 'qtf': array([ 2.87180076e-11, -2.66892711e-11]), 'fvec': array([-5.77315973e-15, -1.53210777e-14])}",45
-15.967,59.72,[-30.  56.],3.9205116392916036e-11,9.318756667035835e-06,1,The solution converged.,"{'nfev': 36, 'fjac': array([[-0.89139578, -0.45322574],
       [ 0.45322574, -0.89139578]]), 'r': array([2.10597662e+00, 1.79619965e-03, 2.12457390e+00]), 'qtf': array([1.95439164e-08, 2.31715931e-08]), 'fvec': array([-1.33557609e-11, -3.68600706e-11])}",45
-17.357,65.833,[-12.  58.],6.419636840687966e-10,0.0004426418780483384,1,The solution converged.,"{'nfev': 24, 'fjac': array([[-0.81697   , -0.57668018],
       [ 0.57668018, -0.81697   ]]), 'r': array([2.21153129, 0.26507918, 2.14277034]), 'qtf': array([-1.85935670e-07, -9.44688012e-07]), 'fvec': array([-2.56563215e-10,  5.88466387e-10])}",37
-17.357,-65.833,[-17.35712321 -65.83253281],7.640399661428378e-15,1.3015628661377063e-09,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.88183858,  0.47155139],
       [-0.47155139, -0.88183858]]), 'r': array([2.17696836e+00, 1.06593162e-06, 2.17696885e+00]), 'qtf': array([-5.12448041e-11,  6.39915105e-10]), 'fvec': array([-6.21724894e-15, -4.44089210e-15])}",37
-18.711,72.021,[-30.  68.],7.783208245562327e-09,0.015179678680352238,1,The solution converged.,"{'nfev': 44, 'fjac': array([[-0.9079124 , -0.41915997],
       [ 0.41915997, -0.9079124 ]]), 'r': array([2.10345995, 0.02117361, 2.46767228]), 'qtf': array([1.43257796e-07, 1.79446246e-07]), 'fvec': array([-1.79084569e-09, -7.57437801e-09])}",35
-18.711,-72.021,[-18.71097876 -72.02085305],4.577566798522238e-15,8.43348460098488e-09,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.87481494,  0.48445724],
       [-0.48445724, -0.87481494]]), 'r': array([2.23774833e+00, 1.10283908e-06, 2.23774886e+00]), 'qtf': array([ 5.23612083e-09, -5.75859091e-09]), 'fvec': array([ 4.21884749e-15, -1.77635684e-15])}",35
-20.031,78.276,[-30.  76.],4.624804424489796e-10,0.0024905560651862914,1,The solution converged.,"{'nfev': 28, 'fjac': array([[-0.86858216, -0.49554519],
       [ 0.49554519, -0.86858216]]), 'r': array([2.29571026, 0.00328107, 2.29926952]), 'qtf': array([2.63681452e-06, 1.24677247e-06]), 'fvec': array([-2.39618991e-10, -3.95564026e-10])}",34
-20.031,-78.276,[-20.03082438 -78.27614461],9.446686715622942e-15,5.450059632785797e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.86841984,  0.49582959],
       [-0.49582959, -0.86841984]]), 'r': array([2.29726455e+00, 1.19813938e-06, 2.29726515e+00]), 'qtf': array([ 4.04222236e-10, -2.24705460e-10]), 'fvec': array([ 4.66293670e-15, -8.21565038e-15])}",34
-21.319,84.591,[-30.  82.],1.0262884328416192e-09,0.014913934691458224,1,The solution converged.,"{'nfev': 30, 'fjac': array([[-0.86704405, -0.49823149],
       [ 0.49823149, -0.86704405]]), 'r': array([2.41401498, 0.12787962, 2.3021945 ]), 'qtf': array([ 6.15523261e-07, -2.20721528e-07]), 'fvec': array([-1.01030362e-09, -1.80428783e-10])}",32
-21.319,-84.591,[-21.31857637 -84.59132305],9.155133597044475e-16,7.450580596923828e-09,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.86257643,  0.50592678],
       [-0.50592678, -0.86257643]]), 'r': array([2.35552214e+00, 1.35832186e-06, 2.35552276e+00]), 'qtf': array([9.62747841e-10, 3.55506038e-10]), 'fvec': array([2.22044605e-16, 8.88178420e-16])}",32
-22.576,-90.96,[-22.57607505 -90.9604224 ],2.5910807284792526e-14,9.996002811937584e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.85721835,  0.5149531 ],
       [-0.5149531 , -0.85721835]]), 'r': array([2.41254703e+00, 1.49615344e-06, 2.41254768e+00]), 'qtf': array([3.83436468e-09, 1.39844787e-08]), 'fvec': array([-7.99360578e-15,  2.46469511e-14])}",27
-22.576,90.96,[-30.  88.],1.450062060458527e-08,0.5563623621913519,1,The solution converged.,"{'nfev': 34, 'fjac': array([[ 0.7925503 ,  0.60980655],
       [-0.60980655,  0.7925503 ]]), 'r': array([-2.35520938, -0.26334995, -2.48397172]), 'qtf': array([-2.98931834e-07,  2.17668072e-06]), 'fvec': array([-1.04882385e-08,  1.00132338e-08])}",27
-23.805,-97.378,[-8. 70.],4.5497401068449207e-10,0.04514471918982902,1,The solution converged.,"{'nfev': 18, 'fjac': array([[ 0.86335662, -0.50459424],
       [ 0.50459424,  0.86335662]]), 'r': array([-2.5424117 ,  0.04886271, -2.39512465]), 'qtf': array([3.55796283e-07, 2.57445989e-07]), 'fvec': array([-4.53286741e-10, -3.91469079e-11])}",21
-23.805,97.378,[-23.80505791  97.37837084],1.0770880041763767e-14,2.7756587789358784e-06,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.85228852, -0.52307196],
       [ 0.52307196, -0.85228852]]), 'r': array([2.46837711e+00, 1.76810077e-06, 2.46837724e+00]), 'qtf': array([ 3.65854438e-10, -2.70466043e-10]), 'fvec': array([-2.66453526e-15,  1.04360964e-14])}",21
