# {'par': {'k': 1.5; 'D': 0.75; 'v': 1; 'tau': 0.8; 'R': 0.6; 'label': '(D_0.75)'}; 'guess_range': ([-30; 10; 40]; [0; 100; 50]); 'tols': (1e-09; 0.005; 3)}
Sol_r,Sol_i,Guess,g(x),g*(x),ier,msg,infodict,instances
1.17,0.0,[-3.  0.],0.0015139241896953797,0.0007790352549090791,1,The solution converged.,"{'nfev': 39, 'fjac': array([[-0.70766106, -0.70655207],
       [ 0.70655207, -0.70766106]]), 'r': array([ 5.91279500e+06, -2.48073656e+06,  1.86038159e+03]), 'qtf': array([ 0.00082121, -0.00127246]), 'fvec': array([-0.00148076,  0.00031514])}",144
0.742,0.0,[ 6. 16.],0.0011709572458483066,0.0006013441130803675,1,The solution converged.,"{'nfev': 31, 'fjac': array([[-0.9993773 ,  0.03528463],
       [-0.03528463, -0.9993773 ]]), 'r': array([ 2.89153725, -0.86084839,  2.75598969]), 'qtf': array([ 0.00034248, -0.00430915]), 'fvec': array([-0.00111876, -0.00034571])}",3
0.741,0.0,[-12.   0.],3.2179815191649825e-05,1.6521992259914527e-05,1,The solution converged.,"{'nfev': 52, 'fjac': array([[ 0.99999922,  0.00124657],
       [-0.00124657,  0.99999922]]), 'r': array([-3.12829092,  0.10661581, -2.90247931]), 'qtf': array([0.00047311, 0.0004156 ]), 'fvec': array([ 1.35129606e-05, -2.92051434e-05])}",1022
-1.68,4.16,[ 6. 12.],0.0029912355357499015,0.006481787963632564,1,The solution converged.,"{'nfev': 46, 'fjac': array([[ 0.75038908,  0.66099639],
       [-0.66099639,  0.75038908]]), 'r': array([-2.1545186 , -0.31386957, -1.64542807]), 'qtf': array([-0.00556968, -0.01104046]), 'fvec': array([-0.00174581,  0.00242892])}",4
-1.68,-4.17,[-1.67730389 -4.16620208],2.3407029843663247e-08,5.0736795915928507e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.84577705,  0.53353648],
       [-0.53353648, -0.84577705]]), 'r': array([2.20448408e+00, 6.26249492e-08, 2.20448411e+00]), 'qtf': array([ 3.23145402e-04, -5.03210152e-05]), 'fvec': array([ 1.78657984e-08, -1.51229063e-08])}",262
-1.68,4.17,[-30.   0.],0.0003270399904597928,0.0007089092610230158,1,The solution converged.,"{'nfev': 49, 'fjac': array([[-0.84334038, -0.53737976],
       [ 0.53737976, -0.84334038]]), 'r': array([2.24432182, 0.26739086, 2.21255516]), 'qtf': array([0.00988726, 0.00111657]), 'fvec': array([-0.00024646, -0.00021497])}",258
-3.26,-10.7,[ -3.25930447 -10.71969034],2.410059410970151e-08,1.3261773224998704e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.7940896 ,  0.60780071],
       [-0.60780071, -0.7940896 ]]), 'r': array([2.93840684e+00, 3.01367045e-07, 2.93840688e+00]), 'qtf': array([-0.00017802, -0.00035369]), 'fvec': array([-2.36562725e-09,  2.39842124e-08])}",134
-3.26,10.7,[-30.   6.],0.0003959612510764128,0.002178867848205905,1,The solution converged.,"{'nfev': 53, 'fjac': array([[-0.68829024, -0.72543542],
       [ 0.72543542, -0.68829024]]), 'r': array([2.75531513, 0.4920377 , 2.80874157]), 'qtf': array([ 0.00123049, -0.00274593]), 'fvec': array([ 0.00035634, -0.00017266])}",134
-4.45,17.6,[ 7. 10.],8.459543481089623e-12,9.520016725621191e-11,1,The solution converged.,"{'nfev': 6, 'fjac': array([[-0.7692333 , -0.63896802],
       [ 0.63896802, -0.7692333 ]]), 'r': array([3.58241428, 0.00406834, 3.58099696]), 'qtf': array([ 7.55322858e-09, -2.99866385e-10]), 'fvec': array([ 1.97619698e-13, -8.45723491e-12])}",99
-4.45,-17.6,[ -4.44800813 -17.62359193],9.930136612989092e-16,3.059062354412583e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.76980313,  0.63828139],
       [-0.63828139, -0.76980313]]), 'r': array([3.57989098e+00, 4.89579403e-07, 3.57989116e+00]), 'qtf': array([ 5.24596742e-12, -6.63654290e-12]), 'fvec': array([4.4408921e-16, 8.8817842e-16])}",99
-5.41,24.7,[10. 14.],3.2341271969239238e-12,6.673592284105204e-11,1,The solution converged.,"{'nfev': 6, 'fjac': array([[-0.75991995, -0.65001667],
       [ 0.65001667, -0.75991995]]), 'r': array([ 4.11607398e+00, -2.69485101e-03,  4.11340877e+00]), 'qtf': array([3.64540204e-09, 9.95046355e-10]), 'fvec': array([-3.23208127e-12, -1.15019105e-13])}",85
