# {'par': {'k': 2.5, 'D': 0.1, 'v': 1.0, 'tau': 0.25, 'R': 0.5, 'label': '(k_2.5)_(v_1)_(tau_0.25)_(R_0.5)'}, 'guess_range': ([-100, 20, 45], [0, 360, 120]), 'tols': (1e-15, 1e-06, 4)}
Sol_r,Sol_i,Guess_r,Guess_i,g(x),instances
1.9049981665365303,0.0,-1.8181818181818272,0.0,5.4569682106375694e-12,894
-0.1324968503239486,6.0692116670721346,-4.545454545454547,0.0,5.4569682106375694e-12,80
-0.1324968503239486,-6.0692116670721346,-4.545454545454547,-0.0,5.4569682106375694e-12,80
-4.861782984953155,14.255973368283964,-10.0,3.0252100840336134,2.1903532940618417e-11,73
-4.861782984953155,-14.255973368283964,-10.0,-3.0252100840336134,2.1903532940618417e-11,73
-10.85932972121632,-23.826339772593453,-20.90909090909092,-21.176470588235293,3.294329922259719e-11,71
-10.85932972121632,23.826339772593453,-20.90909090909092,21.176470588235293,3.294329922259719e-11,71
-12.861884055403348,-91.38567853200365,-12.727272727272734,-87.73109243697479,0.0,32
-12.861884055403348,91.38567853200365,-12.727272727272734,87.73109243697479,0.0,32
-13.48221181157691,-66.38018225716598,-12.727272727272734,-63.529411764705884,3.725290298461914e-09,32
-13.48221181157691,66.38018225716598,-12.727272727272734,63.529411764705884,3.725290298461914e-09,32
-14.198822514023231,41.05378323365832,-12.727272727272734,39.32773109243698,3.0937796146418696e-10,30
-14.198822514023231,-41.05378323365832,-12.727272727272734,-39.32773109243698,3.0937796146418696e-10,30
-25.252030524383795,37.69075339491625,-31.818181818181827,6.050420168067227,4.5965487918802417e-11,213
-25.252030524383795,-37.69075339491625,-31.818181818181827,-6.050420168067227,4.5965487918802417e-11,213
-53.16572383733696,50.26548244161736,-50.909090909090914,0.0,8.963170292573897e-11,370
-53.16572383733696,-50.26548244161736,-50.909090909090914,-0.0,8.963170292573897e-11,370
-88.69604397953275,62.83185305884525,-72.72727272727273,-15.126050420168067,2.1821760438811248e-10,670
-88.69604397953275,-62.83185305884525,-72.72727272727273,15.126050420168067,2.1821760438811248e-10,670
-132.12230337980975,-75.3982236706143,-50.909090909090914,-36.30252100840336,8.275753368548879e-11,767
-132.12230337980975,75.3982236706143,-50.909090909090914,36.30252100840336,8.275753368548879e-11,767
-183.44424626547377,-87.96459428238336,-100.0,-193.61344537815125,1.8252440826270304e-10,869
-183.44424626547382,87.96459428238337,-100.0,193.61344537815125,5.396134919442079e-10,869
-242.6618726720099,100.53096489415239,-100.0,317.6470588235294,2.5682843821188275e-10,154
-242.6618726720099,-100.53096489415239,-100.0,-317.6470588235294,2.5682843821188275e-10,154
