# {'par': {'k': 5.0, 'D': 0.1, 'v': 1.0, 'tau': 0.1, 'R': 0.5, 'label': '(k_5)_(v_1)_(tau_0.1)_(R_0.5)'}, 'guess_range': ([-100, 20, 45], [0, 360, 120]), 'tols': (1e-15, 1e-06, 4)}
Sol_r,Sol_i,Guess_r,Guess_i,g(x),instances
4.441303648588876,0.0,0.9090909090909065,0.0,5.4569682106375694e-12,1110
1.203706908732433,6.942550218145584,-1.8181818181818272,0.0,1.2202151870040997e-11,101
1.203706908732433,-6.942550218145584,-1.8181818181818272,-0.0,1.2202151870040997e-11,101
-7.478789020114198,16.147038774844713,-10.0,0.0,4.425792234759297e-11,159
-7.478789020114198,-16.147038774844713,-10.0,-0.0,4.425792234759297e-11,159
-20.30742429862131,28.933506729227435,-23.63636363636364,0.0,1.4832294350996518e-10,158
-20.307424298621314,-28.933506729227446,-23.63636363636364,-0.0,8.778390847156446e-11,158
-31.121967914042155,45.130909047528846,-31.818181818181827,39.32773109243698,6.507814330688532e-11,102
-31.121967914042155,-45.130909047528846,-31.818181818181827,-39.32773109243698,6.507814330688532e-11,102
-31.320159709569612,103.67917702100053,-34.54545454545455,99.83193277310924,2.980232238769531e-07,83
-31.320159709569612,-103.67917702100053,-34.54545454545455,-99.83193277310924,2.980232238769531e-07,83
-51.100502591395816,51.12841667447264,-50.909090909090914,0.0,8.778390847156446e-11,342
-51.100502591395816,-51.12841667447264,-50.909090909090914,-0.0,8.778390847156446e-11,342
-86.22328022800212,62.83180061345442,-75.45454545454545,-12.100840336134453,1.3326368282264883e-10,605
-86.22328022800212,-62.83180061345442,-75.45454545454545,12.100840336134453,1.3326368282264883e-10,605
-129.62241319426252,75.39788573455913,-100.0,108.90756302521008,1.5615389608025508e-10,804
-129.62241319426252,-75.39788573455913,-100.0,-108.90756302521008,1.5615389608025508e-10,804
-180.94424456831902,87.96459304932768,-100.0,193.61344537815125,1.1640744386123558e-10,835
-180.94424456831902,-87.96459304932768,-100.0,-193.61344537815125,1.1640744386123558e-10,835
-240.1618726674607,-100.53096489745757,-100.0,-311.5966386554622,1.1180842747694747e-10,189
-240.16187266746078,100.53096489745757,-100.0,311.5966386554622,9.397224534470693e-10,189
