# {'par': {'k': 5.0, 'D': 0.1, 'v': 1.0, 'tau': 0.25, 'R': 0.5, 'label': 'default'}, 'guess_range': ([-150, 50, 100], [0, 500, 250]), 'tols': (1e-08, 1e-05, 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
3.878,0.0,[1.51515152 0.        ],1.9162837542582658e-07,1,The solution converged.,"{'nfev': 19, 'fjac': array([[-0.93267867,  0.36070833],
       [-0.36070833, -0.93267867]]), 'r': array([-10850.58663871,   3681.37881168,  -9517.78455189]), 'qtf': array([-7.53376201e-06,  1.95840738e-05]), 'fvec': array([ 7.66704034e-10, -1.91626842e-07])}",3880
1.693,5.684,[-0.50505051  2.00803213],4.5899569124982265e-08,1,The solution converged.,"{'nfev': 19, 'fjac': array([[-0.98688335, -0.16143499],
       [ 0.16143499, -0.98688335]]), 'r': array([-12762.10694908,   1891.57791236, -14186.1873872 ]), 'qtf': array([-2.26422631e-05, -9.19556814e-05]), 'fvec': array([3.75439413e-09, 4.57457645e-08])}",362
1.693,-5.684,[ 1.69339533 -5.68386958],1.626953582672133e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.94924135,  0.31454867],
       [-0.31454867, -0.94924135]]), 'r': array([-1.34542839e+04,  5.90823263e-04, -1.34542843e+04]), 'qtf': array([-1.79530954e-08,  4.22428315e-08]), 'fvec': array([-1.45519152e-11,  7.27595761e-12])}",362
-3.302,13.67,[-2.52525253 10.04016064],2.8563869306494972e-08,1,The solution converged.,"{'nfev': 25, 'fjac': array([[-0.90999624, -0.41461649],
       [ 0.41461649, -0.90999624]]), 'r': array([-16081.59586585,  -1155.71454441, -15200.60017636]), 'qtf': array([ 9.73607994e-06, -3.07242353e-06]), 'fvec': array([-2.83562258e-08, -3.43788997e-09])}",304
-3.302,-13.67,[ -3.30249805 -13.66533537],2.572439484307497e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.90602   ,  0.42323488],
       [-0.42323488, -0.90602   ]]), 'r': array([-1.56132804e+04,  1.20473972e-03, -1.56132805e+04]), 'qtf': array([2.71463426e-08, 8.88654684e-09]), 'fvec': array([-2.54658516e-11, -3.63797881e-12])}",304
-9.416,23.37,[-16.66666667  16.06425703],3.1254375577611374e-06,1,The solution converged.,"{'nfev': 20, 'fjac': array([[-0.95142753, -0.30787281],
       [ 0.30787281, -0.95142753]]), 'r': array([-16882.56969281,    224.64797692, -19218.68268059]), 'qtf': array([-0.00145661, -0.00174174]), 'fvec': array([1.16991214e-06, 2.89821764e-06])}",253
-9.416,-23.37,[ -9.41626283 -23.37485764],8.985144839409963e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.92708784,  0.37484416],
       [-0.37484416, -0.92708784]]), 'r': array([-1.80005262e+04,  7.46824661e-04, -1.80005247e+04]), 'qtf': array([-2.17099127e-06,  2.24836759e-06]), 'fvec': array([-3.27418093e-11,  8.36735126e-11])}",253
-12.85,-91.44,[-12.85257636 -91.43864389],1.6603932711105489e-06,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.54238734, -0.84012855],
       [ 0.84012855, -0.54238734]]), 'r': array([ 2.65991237e+08, -7.59662109e+01,  2.65991177e+08]), 'qtf': array([-9.25076056e-06, -1.71547166e-06]), 'fvec': array([-1.54972076e-06,  5.96046448e-07])}",1
-12.85,91.44,[ 47.97979798 108.43373494],9.40847564810545e-06,1,The solution converged.,"{'nfev': 62, 'fjac': array([[-0.54219862,  0.84025035],
       [-0.84025035, -0.54219862]]), 'r': array([2.61438553e+08, 3.57358284e+08, 2.70681010e+08]), 'qtf': array([-0.93412269, -0.01211523]), 'fvec': array([ 3.57627869e-06, -8.70227814e-06])}",1
-13.46,66.45,[-2.52525253 68.27309237],7.6111364059602115e-06,1,The solution converged.,"{'nfev': 35, 'fjac': array([[-0.91728737,  0.39822593],
       [-0.39822593, -0.91728737]]), 'r': array([-6670660.12184914,  -641143.3899874 , -7435161.14842307]), 'qtf': array([ 0.00190293, -0.00459709]), 'fvec': array([-2.49594450e-07, -7.60704279e-06])}",20
