# {'par': {'k': 5.0, 'D': 0.5, 'v': 5.0, 'tau': 0.25, 'R': 0.5, 'label': 'default'}, 'guess_range': ([-450, 50, 500], [0, 300, 300]), 'tols': (1e-08, 1e-05, 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
1.955,0.0,[-24.14829659   0.        ],1.4870249493215546e-10,1,The solution converged.,"{'nfev': 41, 'fjac': array([[-0.99142974, -0.13064103],
       [ 0.13064103, -0.99142974]]), 'r': array([-101258.52895675,  -13342.84553501, -102986.28000506]), 'qtf': array([-3.56287097e-09, -3.87105750e-06]), 'fvec': array([-5.82076609e-11, -1.36836765e-10])}",9490
0.51,-15.19,[  0.50997358 -15.19186307],4.167034367354457e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.92800155,  0.37257634],
       [-0.37257634, -0.92800155]]), 'r': array([-1.25607553e+05,  5.96346687e-03, -1.25607552e+05]), 'qtf': array([5.06324987e-07, 1.34259331e-06]), 'fvec': array([-4.07453626e-10,  8.73114914e-11])}",1173
0.51,15.19,[-4.10821643 10.03344482],1.4348943465552702e-06,1,The solution converged.,"{'nfev': 40, 'fjac': array([[-0.91826271, -0.3959717 ],
       [ 0.3959717 , -0.91826271]]), 'r': array([-124458.26551742,   -2784.90502808, -126709.310703  ]), 'qtf': array([-0.00102   ,  0.00292612]), 'fvec': array([-9.70088877e-07,  1.05728395e-06])}",1173
-2.656,32.14,[-24.14829659  15.05016722],5.824449470861686e-08,1,The solution converged.,"{'nfev': 21, 'fjac': array([[-0.84545267, -0.53405035],
       [ 0.53405035, -0.84545267]]), 'r': array([-159187.15620326,    2619.23546421, -146929.21783034]), 'qtf': array([7.16550056e-05, 5.55993388e-05]), 'fvec': array([-1.91503204e-08, -5.50062396e-08])}",812
-2.656,-32.14,[ -2.65560367 -32.1414542 ],2.6031257322754127e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.86230914,  0.50638222],
       [-0.50638222, -0.86230914]]), 'r': array([-1.52888380e+05,  2.03489325e-02, -1.52888369e+05]), 'qtf': array([ 4.43676780e-08, -3.77350011e-08]), 'fvec': array([-1.16415322e-10, -2.32830644e-10])}",812
-6.212,50.31,[-34.16833667  24.08026756],1.1270794940455942e-07,1,The solution converged.,"{'nfev': 21, 'fjac': array([[-0.84893724, -0.52849368],
       [ 0.52849368, -0.84893724]]), 'r': array([-175356.02022989,    -919.88118551, -176079.75557108]), 'qtf': array([-8.27860151e-05,  1.87893113e-04]), 'fvec': array([-8.74279067e-08,  7.11297616e-08])}",689
-6.212,-50.31,[ -6.2121526  -50.31185664],5.007212322113702e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.85206498,  0.52343601],
       [-0.52343601, -0.85206498]]), 'r': array([-1.75714831e+05,  2.02191890e-02, -1.75714827e+05]), 'qtf': array([3.72623791e-08, 1.06370094e-07]), 'fvec': array([ 4.07453626e-10, -2.91038305e-10])}",689
-9.189,69.46,[-45.19038076  34.11371237],7.602063136101042e-09,1,The solution converged.,"{'nfev': 19, 'fjac': array([[-0.86100129, -0.50860277],
       [ 0.50860277, -0.86100129]]), 'r': array([-230490.66752324,  -33967.94314903, -218217.18045248]), 'qtf': array([ 3.10220096e-04, -5.34762076e-05]), 'fvec': array([-6.05359674e-09, -4.59840521e-09])}",486
-9.189,-69.46,[ -9.18926354 -69.45776161],7.454217687985916e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.85855466,  0.51272204],
       [-0.51272204, -0.85855466]]), 'r': array([-2.24272949e+05,  4.10659784e-02, -2.24272939e+05]), 'qtf': array([ 7.55504741e-09, -8.44169735e-10]), 'fvec': array([4.65661287e-10, 5.82076609e-10])}",486
-11.72,-90.38,[-11.71594464 -90.37637702],3.394060706978955e-09,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.70532109,  0.70888797],
       [-0.70888797, -0.70532109]]), 'r': array([-3.09545793e+05,  6.29786148e-02, -3.09545763e+05]), 'qtf': array([1.95544943e-07, 8.24822503e-08]), 'fvec': array([ 3.37604433e-09, -3.49245965e-10])}",392
-11.72,90.38,[-57.21442886  41.13712375],2.122289951369437e-07,1,The solution converged.,"{'nfev': 17, 'fjac': array([[-0.70552114, -0.70868888],
       [ 0.70868888, -0.70552114]]), 'r': array([-309748.90809636,    -682.90835553, -309214.55089805]), 'qtf': array([-0.00051038,  0.00021267]), 'fvec': array([-1.96392648e-07, -8.04429874e-08])}",392
-13.78,292.2,[ -6.11222445 292.97658863],6.887367642237802e-06,1,The solution converged.,"{'nfev': 21, 'fjac': array([[-0.7185301 ,  0.69549587],
       [-0.69549587, -0.7185301 ]]), 'r': array([3.34104974e+08, 6.89833073e+02, 3.34107844e+08]), 'qtf': array([-0.03995795,  0.16945187]), 'fvec': array([-6.31809235e-06, -2.74181366e-06])}",6
-13.78,-292.2,[ -13.77527862 -292.20707608],6.491162009268752e-06,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.7185364 , -0.69548935],
       [ 0.69548935, -0.7185364 ]]), 'r': array([ 3.34109454e+08, -2.22826532e+02,  3.34109401e+08]), 'qtf': array([ 2.63287715e-06, -6.36425887e-06]), 'fvec': array([-4.64916229e-06,  4.52995300e-06])}",6
-13.95,-267.1,[ -13.94924651 -267.07733256],7.61892452007016e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.06518759, -0.99787303],
       [ 0.99787303, -0.06518759]]), 'r': array([ 1.48857615e+08, -9.18799169e+01,  1.48857590e+08]), 'qtf': array([-2.68939328e-06,  9.36814024e-07]), 'fvec': array([ 7.5250864e-07, -1.1920929e-07])}",11
-13.95,267.1,[ 17.93587174 267.89297659],2.847886365472282e-06,1,The solution converged.,"{'nfev': 31, 'fjac': array([[ 0.06653496, -0.99778409],
       [ 0.99778409,  0.06653496]]), 'r': array([-1.50812704e+08,  1.84524935e+07, -1.46939818e+08]), 'qtf': array([0.17847147, 0.01844295]), 'fvec': array([ 1.11013651e-06, -2.62260437e-06])}",11
-14.13,-242.0,[ -14.13336175 -241.95627922],3.816559456248789e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.6463139 ,  0.76307165],
       [-0.76307165, -0.6463139 ]]), 'r': array([-6.37141312e+07,  3.57239558e+01, -6.37141219e+07]), 'qtf': array([ 2.22070029e-07, -3.83369708e-07]), 'fvec': array([2.98023224e-07, 2.38418579e-07])}",17
-14.13,242.0,[ -7.11422846 239.7993311 ],4.430433734452279e-07,1,The solution converged.,"{'nfev': 20, 'fjac': array([[-0.59982039, -0.80013467],
       [ 0.80013467, -0.59982039]]), 'r': array([-69878427.79901224,   5343202.16553807, -58093575.86809338]), 'qtf': array([-0.48481765, -0.29248298]), 'fvec': array([ 1.49011612e-07, -4.17232513e-07])}",17
-14.34,216.9,[-12.1242485  211.70568562],8.871886632570709e-06,1,The solution converged.,"{'nfev': 20, 'fjac': array([[-0.99343246, -0.11442002],
       [ 0.11442002, -0.99343246]]), 'r': array([-27463256.88158211,    619082.499555  , -24588188.5574475 ]), 'qtf': array([ 9.21310863e-05, -2.71915939e-05]), 'fvec': array([-6.34789467e-06, -6.19795173e-06])}",29
-14.34,-216.9,[ -14.33844677 -216.86302997],1.698993779866603e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9975484,  0.0699799],
       [-0.0699799, -0.9975484]]), 'r': array([-2.59846830e+07,  1.29789229e+01, -2.59846791e+07]), 'qtf': array([ 6.76606425e-06, -5.73853178e-06]), 'fvec': array([ 4.47034836e-08, -1.63912773e-07])}",29
-14.62,191.8,[-14.12825651 186.62207358],6.194055537906222e-06,1,The solution converged.,"{'nfev': 18, 'fjac': array([[ 0.7291528 , -0.68435093],
       [ 0.68435093,  0.7291528 ]]), 'r': array([ 9.87031092e+06, -5.07435910e+03,  9.86486499e+06]), 'qtf': array([ 0.02538639, -0.0422488 ]), 'fvec': array([-1.84774399e-06, -5.91203570e-06])}",66
-14.62,-191.8,[ -14.61772385 -191.82114039],3.332000937312528e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.7295857, -0.6838894],
       [ 0.6838894, -0.7295857]]), 'r': array([-9.86731438e+06,  4.39591816e+00, -9.86731295e+06]), 'qtf': array([-2.69509096e-06, -5.57698922e-06]), 'fvec': array([ 1.49011612e-08, -2.98023224e-08])}",66
-14.87,113.8,[-75.250501    95.31772575],8.548030527891226e-06,1,The solution converged.,"{'nfev': 22, 'fjac': array([[-0.07181183,  0.9974182 ],
       [-0.9974182 , -0.07181183]]), 'r': array([344296.2223159 ,   8787.26026587, 344464.6050184 ]), 'qtf': array([0.00342823, 0.00029284]), 'fvec': array([-8.83243047e-07,  8.50227661e-06])}",319
-14.87,-113.8,[ -14.87133213 -113.84118195],1.6298145055770874e-09,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.07180221, -0.99741889],
       [ 0.99741889, -0.07180221]]), 'r': array([ 3.44187890e+05, -1.01725348e-01,  3.44187859e+05]), 'qtf': array([ 8.54375011e-06, -2.70481028e-07]), 'fvec': array([-1.62981451e-09,  0.00000000e+00])}",319
-15.13,166.8,[-18.13627255 162.54180602],6.377047333225292e-06,1,The solution converged.,"{'nfev': 27, 'fjac': array([[ 0.04866558,  0.99881513],
       [-0.99881513,  0.04866558]]), 'r': array([-3245304.14064183,    11529.36279339, -3284893.43363928]), 'qtf': array([ 5.77487327e-05, -7.85309229e-04]), 'fvec': array([ 4.85626515e-06, -4.13320959e-06])}",119
-15.13,-166.8,[ -15.12972414 -166.78152262],8.019148418351321e-09,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.04059896,  0.99917552],
       [-0.99917552, -0.04059896]]), 'r': array([ 3.26590664e+06, -1.27867237e+00,  3.26590618e+06]), 'qtf': array([ 3.93264252e-06, -5.02006529e-06]), 'fvec': array([ 7.79982656e-09, -1.86264515e-09])}",119
-16.14,141.2,[-16.13226453 135.45150502],6.525975052129149e-07,1,The solution converged.,"{'nfev': 32, 'fjac': array([[ 0.89528953,  0.44548474],
       [-0.44548474,  0.89528953]]), 'r': array([-794204.83440283,   -3293.51586602, -797249.14976421]), 'qtf': array([-0.00099926,  0.00273364]), 'fvec': array([-4.75440174e-07,  4.47034836e-07])}",210
-16.14,-141.2,[ -16.14169968 -141.15222545],2.3744159907068985e-09,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.89745517,  0.44110568],
       [-0.44110568, -0.89745517]]), 'r': array([ 7.95636212e+05, -2.82479991e-01,  7.95636083e+05]), 'qtf': array([2.29496638e-07, 6.10913085e-07]), 'fvec': array([-2.32830644e-09,  4.65661287e-10])}",210
