# {'par': {'k': 5.0, 'D': 0.5, 'v': 5.0, 'tau': 0.25, 'R': 0.5, 'label': 'default'}, 'guess_range': ([-50, 10, 30], [200, 300, 20]), 'tols': (0.0001, 1e-07, 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
1.955,0.0,[-21.03448276 200.        ],5.820766091346741e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.00000000e+00,  1.61906677e-26],
       [-1.61906677e-26, -1.00000000e+00]]), 'r': array([-1.02119685e+05,  1.65338588e-21, -1.02119685e+05]), 'qtf': array([5.82076609e-11, 3.19797529e-21]), 'fvec': array([-5.82076609e-11, -3.19797529e-21])}",34
0.51,-15.19,[-18.96551724 210.52631579],1.4551915228366852e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.92800153,  0.37257638],
       [-0.37257638, -0.92800153]]), 'r': array([-1.25607522e+05,  1.07477824e-02, -1.25607552e+05]), 'qtf': array([-1.40563796e-10,  3.76515991e-11]), 'fvec': array([ 1.16415322e-10, -8.73114914e-11])}",2
0.51,15.19,[ 0.50997358 15.19186307],1.4551915228366852e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.92800153, -0.37257638],
       [ 0.37257638, -0.92800153]]), 'r': array([-1.25607522e+05,  1.04103534e-03, -1.25607556e+05]), 'qtf': array([-1.40563796e-10, -3.76515991e-11]), 'fvec': array([1.16415322e-10, 8.73114914e-11])}",2
-2.656,-32.14,[-50.         210.52631579],2.6031257322754127e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.86230915,  0.50638219],
       [-0.50638219, -0.86230915]]), 'r': array([-1.52888389e+05,  1.40070880e-02, -1.52888369e+05]), 'qtf': array([-1.75152938e-11,  2.59722641e-10]), 'fvec': array([-1.16415322e-10, -2.32830644e-10])}",8
-2.656,32.14,[-2.65560367 32.1414542 ],2.6031257322754127e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.86230915, -0.50638219],
       [ 0.50638219, -0.86230915]]), 'r': array([-1.52888389e+05,  1.08000035e-02, -1.52888376e+05]), 'qtf': array([-1.75152938e-11, -2.59722641e-10]), 'fvec': array([-1.16415322e-10,  2.32830644e-10])}",8
-6.212,50.31,[-6.2121526  50.31185664],5.007212322113702e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.85206497, -0.52343604],
       [ 0.52343604, -0.85206497]]), 'r': array([-1.75714832e+05,  1.74417387e-02, -1.75714839e+05]), 'qtf': array([-4.99516899e-10, -3.47076304e-11]), 'fvec': array([4.07453626e-10, 2.91038305e-10])}",1
-6.212,-50.31,[-21.03448276 226.31578947],5.007212322113702e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.85206497,  0.52343604],
       [-0.52343604, -0.85206497]]), 'r': array([-1.75714832e+05,  2.58371573e-02, -1.75714827e+05]), 'qtf': array([-4.99516899e-10,  3.47076304e-11]), 'fvec': array([ 4.07453626e-10, -2.91038305e-10])}",1
-7.499,6.521e-06,[-45.86206897 205.26315789],1886.6831316727198,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99998522,  0.00543725],
       [-0.00543725, -0.99998522]]), 'r': array([1.57311683e+06, 3.28491427e+00, 1.57319015e+06]), 'qtf': array([1886.57157008,   20.51707315]), 'fvec': array([-1886.65523931,   -10.25901089])}",1
-7.499,0.0001068,[-47.93103448 205.26315789],1799.002270203477,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99514427,  0.09842708],
       [-0.09842708, -0.99514427]]), 'r': array([1.64978499e+06, 1.66730264e+01, 1.64986794e+06]), 'qtf': array([1764.14261192,  352.4344095 ]), 'fvec': array([-1790.26549379,  -177.08368062])}",1
-7.499,7.7e-05,[-43.79310345 226.31578947],1787.841774539108,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99742759,  0.07168119],
       [-0.07168119, -0.99742759]]), 'r': array([1.66008196e+06, 1.23845144e+01, 1.66016719e+06]), 'qtf': array([1769.46782153,  255.65961623]), 'fvec': array([-1783.24201918,  -128.16439373])}",1
-7.499,2.111e-06,[-27.24137931 200.        ],1828.9066273289664,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99999825,  0.00187349],
       [-0.00187349, -0.99999825]]), 'r': array([1.62280939e+06, 1.95765272e+00, 1.62288983e+06]), 'qtf': array([1828.89378767,    6.85309412]), 'fvec': array([-1828.90341719,    -3.42667422])}",1
-7.5,-0.0001173,[-47.93103448 231.57894737],967.1957977587417,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.40769946, -0.91311618],
       [ 0.91311618, -0.40769946]]), 'r': array([ 3.06919807e+06, -4.05129258e+02,  3.06883471e+06]), 'qtf': array([-645.75639398, -720.04610327]), 'fvec': array([-394.21121158,  883.21301613])}",1
-7.5,-6.116e-05,[  3.79310345 226.31578947],636.2970998281236,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.52827288, -0.84907465],
       [ 0.84907465, -0.52827288]]), 'r': array([ 4.66558158e+06, -1.71455520e+03,  4.66473638e+06]), 'qtf': array([-281.36029993, -570.7104177 ]), 'fvec': array([-335.94073194,  540.38673547])}",1
-7.5,0.000423,[  5.86206897 226.31578947],1618.639614830681,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.80179083,  0.59760477],
       [-0.59760477, -0.80179083]]), 'r': array([1.83369605e+06, 1.11244167e+02, 1.83372919e+06]), 'qtf': array([ 462.4277956 , 1551.17849926]), 'fvec': array([-1297.76204048,  -967.37163953])}",1
-7.5,-4.986e-05,[  7.93103448 226.31578947],1155.7965145557907,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99376964, -0.11145355],
       [ 0.11145355, -0.99376964]]), 'r': array([ 2.56773612e+06, -7.08158640e+01,  2.56804696e+06]), 'qtf': array([1127.07543308, -256.05966338]), 'fvec': array([-1148.59211074,   128.84776367])}",1
-7.5,-0.0001399,[ 10.         226.31578947],1457.249602615247,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97988979, -0.19953948],
       [ 0.19953948, -0.97988979]]), 'r': array([ 2.03665740e+06, -6.21640373e+01,  2.03680377e+06]), 'qtf': array([1341.19050046, -569.89862764]), 'fvec': array([-1427.93615004,   290.81739241])}",1
-7.5,1.048e-05,[-50. 200.],929.5331798194325,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9993511 ,  0.03601902],
       [-0.03601902, -0.9993511 ]]), 'r': array([3.19254578e+06, 4.52915379e+01, 3.19315693e+06]), 'qtf': array([927.12037615,  66.93086375]), 'fvec': array([-928.92955613,  -33.49346411])}",1
-7.5,-9.14e-05,[-43.79310345 231.57894737],941.1776444475003,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9462042 , -0.32357011],
       [ 0.32357011, -0.9462042 ]]), 'r': array([ 3.15318591e+06, -3.61379590e+02,  3.15365256e+06]), 'qtf': array([ 744.03478809, -576.3918741 ]), 'fvec': array([-890.51202345,  304.63698808])}",1
-7.5,-0.00016,[-41.72413793 231.57894737],1484.7826970405595,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97532289, -0.22078328],
       [ 0.22078328, -0.97532289]]), 'r': array([ 1.99889829e+06, -6.48896465e+01,  1.99903403e+06]), 'qtf': array([1340.01233266, -639.48933201]), 'fvec': array([-1448.13325583,   327.85626546])}",1
-7.5,-0.0001811,[-35.51724138 231.57894737],1578.6007599565492,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.22124479, -0.97521831],
       [ 0.97521831, -0.22124479]]), 'r': array([ 1.88037584e+06, -5.40996969e+01,  1.88026291e+06]), 'qtf': array([-1424.07455172,  -681.16960479]), 'fvec': array([-349.21999817, 1539.48879574])}",1
-7.5,0.0001655,[-33.44827586 231.57894737],1450.692959504789,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9706773 ,  0.24038633],
       [-0.24038633, -0.9706773 ]]), 'r': array([2.04586769e+06, 7.51793537e+01, 2.04601025e+06]), 'qtf': array([1283.01260471,  677.04410411]), 'fvec': array([-1408.14335126,  -348.77265526])}",1
-7.5,0.0001611,[-31.37931034 231.57894737],1488.318881322492,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97519016,  0.22136883],
       [-0.22136883, -0.97519016]]), 'r': array([1.99414961e+06, 6.44764048e+01, 1.99428427e+06]), 'qtf': array([1342.43308892,  642.62469163]), 'fvec': array([-1451.38461086,  -329.50842759])}",1
-7.5,-0.0002573,[-29.31034483 231.57894737],1359.8576900795533,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.88429131, -0.46693563],
       [ 0.46693563, -0.88429131]]), 'r': array([ 2.18257613e+06, -1.61707275e+02,  2.18268648e+06]), 'qtf': array([  766.80530147, -1123.04165858]), 'fvec': array([-1202.46742708,   635.04726129])}",1
