# {'par': {'k': 10.0, 'D': 0.3, 'v': 3.0, 'tau': 0.25, 'R': 0.5, 'label': '(k_10)'}, 'guess_range': ([-275, 25, 150], [0, 500, 200]), 'tols': (0.0001, 1e-07, 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
5.476,0.0,[-3.18791946  0.        ],3.637978807091713e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.00000000e+00,  2.16164901e-30],
       [-2.16164901e-30, -1.00000000e+00]]), 'r': array([-3.82763079e+04,  8.27399385e-26, -3.82763057e+04]), 'qtf': array([-3.63797881e-11,  9.27502748e-26]), 'fvec': array([ 3.63797881e-11, -9.27502748e-26])}",5104
3.014,11.26,[-7.2147651  0.       ],0.0,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.89944349, -0.43703708],
       [ 0.43703708, -0.89944349]]), 'r': array([-5.67568219e+04,  3.04013368e-03, -5.67568229e+04]), 'qtf': array([0., 0.]), 'fvec': array([0., 0.])}",356
3.014,-11.26,[  3.01428218 -11.25944741],0.0,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.89944349,  0.43703708],
       [-0.43703708, -0.89944349]]), 'r': array([-5.67568219e+04,  1.60043137e-03, -5.67568207e+04]), 'qtf': array([0., 0.]), 'fvec': array([0., 0.])}",356
-1.664,25.43,[-15.26845638  12.56281407],2.098707060483278e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.85426157, -0.51984341],
       [ 0.51984341, -0.85426157]]), 'r': array([-7.09353519e+04,  6.74796051e-03, -7.09353500e+04]), 'qtf': array([ 8.86559653e-11, -1.90225742e-10]), 'fvec': array([-1.74622983e-10,  1.16415322e-10])}",195
-1.664,-25.43,[ -1.66426295 -25.42784962],2.098707060483278e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.85426157,  0.51984341],
       [-0.51984341, -0.85426157]]), 'r': array([-7.09353519e+04,  3.63339575e-03, -7.09353460e+04]), 'qtf': array([8.86559653e-11, 1.90225742e-10]), 'fvec': array([-1.74622983e-10, -1.16415322e-10])}",195
-6.347,41.82,[-25.33557047  15.07537688],1.1999816708318134e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.81300358, -0.58225869],
       [ 0.58225869, -0.81300358]]), 'r': array([-8.86636520e+04,  1.14035447e-02, -8.86636539e+04]), 'qtf': array([-4.41223147e-11, -1.11592031e-10]), 'fvec': array([-2.91038305e-11,  1.16415322e-10])}",158
-6.347,-41.82,[ -6.34677053 -41.81881818],1.1999816708318134e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.81300358,  0.58225869],
       [-0.58225869, -0.81300358]]), 'r': array([-8.86636520e+04,  7.27078781e-03, -8.86636477e+04]), 'qtf': array([-4.41223147e-11,  1.11592031e-10]), 'fvec': array([-2.91038305e-11, -1.16415322e-10])}",158
-11.73,60.42,[-39.4295302   22.61306533],2.2730818239234661e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.62270701, -0.7824551 ],
       [ 0.7824551 , -0.62270701]]), 'r': array([-8.47483562e+04,  1.16186207e-02, -8.47483622e+04]), 'qtf': array([5.12324615e-12, 2.27250439e-10]), 'fvec': array([ 1.74622983e-10, -1.45519152e-10])}",304
-11.73,-60.42,[-11.72520572 -60.42484376],2.2730818239234661e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.62270701,  0.7824551 ],
       [-0.7824551 , -0.62270701]]), 'r': array([-8.47483562e+04,  1.58769564e-02, -8.47483558e+04]), 'qtf': array([ 5.12324615e-12, -2.27250439e-10]), 'fvec': array([1.74622983e-10, 1.45519152e-10])}",304
-13.87,166.7,[-17.28187919 163.31658291],6.664001874625056e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.87700428,  0.48048256],
       [-0.48048256, -0.87700428]]), 'r': array([ 4.14950523e+07, -1.80803049e+01,  4.14950561e+07]), 'qtf': array([ 2.50222785e-09, -6.65930248e-08]), 'fvec': array([2.98023224e-08, 5.96046448e-08])}",88
