# {'par': {'k': 2.5, 'D': 0.3, 'v': 3.0, 'tau': 0.25, 'R': 0.5, 'label': '(k_2.5)'}, 'guess_range': ([-275, 25, 150], [0, 500, 200]), 'tols': (0.0001, 1e-07, 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
1.265,0.0,[-11.24161074   0.        ],1.4551915228366852e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([-48396.49486865,      0.        , -48396.49318001]), 'qtf': array([1.45519152e-11, 0.00000000e+00]), 'fvec': array([-1.45519152e-11,  0.00000000e+00])}",3332
-0.5708,-12.37,[-7.2147651   7.53768844],2.0579515874459978e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.92993509,  0.3677237 ],
       [-0.3677237 , -0.92993509]]), 'r': array([-6.00259524e+04,  3.02580413e-03, -6.00259486e+04]), 'qtf': array([ 1.88834208e-11, -8.18125248e-12]), 'fvec': array([-1.45519152e-11,  1.45519152e-11])}",231
-0.5708,12.37,[-0.57083496 12.37079245],2.0579515874459978e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.92993509, -0.3677237 ],
       [ 0.3677237 , -0.92993509]]), 'r': array([-6.00259524e+04,  2.87266822e-03, -6.00259500e+04]), 'qtf': array([1.88834208e-11, 8.18125248e-12]), 'fvec': array([-1.45519152e-11, -1.45519152e-11])}",231
-4.605,26.79,[-19.29530201  12.56281407],2.0579515874459978e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.88283028, -0.46969213],
       [ 0.46969213, -0.88283028]]), 'r': array([-7.16653909e+04,  7.67393113e-03, -7.16653931e+04]), 'qtf': array([-1.96817914e-11, -6.01195141e-12]), 'fvec': array([1.45519152e-11, 1.45519152e-11])}",188
-4.605,-26.79,[ -4.60468783 -26.79108687],2.0579515874459978e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.88283028,  0.46969213],
       [-0.46969213, -0.88283028]]), 'r': array([-7.16653909e+04,  2.50132810e-03, -7.16653899e+04]), 'qtf': array([-1.96817914e-11,  6.01195141e-12]), 'fvec': array([ 1.45519152e-11, -1.45519152e-11])}",188
-8.592,-43.07,[ -8.59242693 -43.07085868],2.8811322224243967e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.85662781,  0.51593487],
       [-0.51593487, -0.85662781]]), 'r': array([-9.37124341e+04,  1.02214861e-02, -9.37124267e+04]), 'qtf': array([6.94082871e-11, 2.79627821e-10]), 'fvec': array([-2.03726813e-10, -2.03726813e-10])}",130
-8.592,43.07,[-29.36241611  20.10050251],2.8811322224243967e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.85662781, -0.51593487],
       [ 0.51593487, -0.85662781]]), 'r': array([-9.37124341e+04,  9.76094567e-03, -9.37124339e+04]), 'qtf': array([ 6.94082871e-11, -2.79627821e-10]), 'fvec': array([-2.03726813e-10,  2.03726813e-10])}",130
-13.2,-62.52,[-13.19992072 -62.5162706 ],4.017620141466184e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.46089964,  0.88745227],
       [-0.88745227, -0.46089964]]), 'r': array([-9.99388988e+04,  1.69575097e-02, -9.99388889e+04]), 'qtf': array([ 5.57192028e-11, -3.97879487e-10]), 'fvec': array([3.27418093e-10, 2.32830644e-10])}",153
-13.2,62.52,[-37.41610738  40.20100503],4.017620141466184e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.46089964, -0.88745227],
       [ 0.88745227, -0.46089964]]), 'r': array([-9.99388988e+04,  1.72578431e-02, -9.99388952e+04]), 'qtf': array([5.57192028e-11, 3.97879487e-10]), 'fvec': array([ 3.27418093e-10, -2.32830644e-10])}",153
-14.17,141.5,[-17.28187919 138.19095477],8.429369702178807e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.55468662, -0.83205934],
       [ 0.83205934, -0.55468662]]), 'r': array([-1.41435463e+07,  5.47104154e+00, -1.41435473e+07]), 'qtf': array([1.65327024e-08, 8.26565007e-08]), 'fvec': array([ 5.96046448e-08, -5.96046448e-08])}",85
