# {'par': {'k': 5.0, 'D': 0.3, 'v': 3.0, 'tau': 0.1, 'R': 0.5, 'label': '(tau_0.1)'}, 'guess_range': ([-275, 25, 150], [0, 500, 200]), 'tols': (0.0001, 1e-07, 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
3.609,0.0,[-9.22818792  0.        ],1.4551915228366852e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([-34665.2416703 ,      0.        , -34665.24041145]), 'qtf': array([1.45519152e-11, 0.00000000e+00]), 'fvec': array([-1.45519152e-11,  0.00000000e+00])}",5002
-1.606,17.65,[-21.30872483   0.        ],1.1082408463500773e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.94969779, -0.31316786],
       [ 0.31316786, -0.94969779]]), 'r': array([-4.29218983e+04,  3.16933692e-03, -4.29218993e+04]), 'qtf': array([7.33601107e-11, 8.30678753e-11]), 'fvec': array([-4.36557457e-11, -1.01863407e-10])}",455
-1.606,-17.65,[ -1.6056808  -17.65071346],1.1082408463500773e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.94969779,  0.31316786],
       [-0.31316786, -0.94969779]]), 'r': array([-4.29218983e+04,  7.50130712e-05, -4.29218969e+04]), 'qtf': array([ 7.33601107e-11, -8.30678753e-11]), 'fvec': array([-4.36557457e-11,  1.01863407e-10])}",455
-13.3,40.8,[-31.37583893  10.05025126],1.8406878575731415e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9029871 , -0.42966767],
       [ 0.42966767, -0.9029871 ]]), 'r': array([-5.15101160e+04,  2.77066360e-03, -5.15101188e+04]), 'qtf': array([2.24690831e-11, 1.82692250e-10]), 'fvec': array([ 5.82076609e-11, -1.74622983e-10])}",460
-13.3,-40.8,[-13.30007156 -40.8031539 ],1.8406878575731415e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9029871 ,  0.42966767],
       [-0.42966767, -0.9029871 ]]), 'r': array([-5.15101160e+04,  4.32004591e-03, -5.15101153e+04]), 'qtf': array([ 2.24690831e-11, -1.82692250e-10]), 'fvec': array([5.82076609e-11, 1.74622983e-10])}",460
-29.48,67.83,[-53.52348993  25.12562814],2.0579515874459977e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9327918 , -0.36041567],
       [ 0.36041567, -0.9327918 ]]), 'r': array([-5.08844871e+04,  4.64879664e-03, -5.08844880e+04]), 'qtf': array([-4.62785224e-11, -2.00524177e-10]), 'fvec': array([-2.91038305e-11,  2.03726813e-10])}",542
-29.48,-67.83,[-29.48245245 -67.83051303],2.0579515874459977e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9327918 ,  0.36041567],
       [-0.36041567, -0.9327918 ]]), 'r': array([-5.08844871e+04,  3.55537750e-03, -5.08844833e+04]), 'qtf': array([-4.62785224e-11,  2.00524177e-10]), 'fvec': array([-2.91038305e-11, -2.03726813e-10])}",542
-34.58,-104.3,[ -34.58111888 -104.345579  ],8.394828241933112e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.83239294,  0.55418588],
       [-0.55418588, -0.83239294]]), 'r': array([-2.08650015e+05,  2.38582803e-02, -2.08649981e+05]), 'qtf': array([5.18799451e-13, 8.39482664e-10]), 'fvec': array([-4.65661287e-10, -6.98491931e-10])}",249
-34.58,104.3,[-128.02013423   85.42713568],8.394828241933112e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.83239294, -0.55418588],
       [ 0.55418588, -0.83239294]]), 'r': array([-2.08650015e+05,  3.66354671e-02, -2.08650020e+05]), 'qtf': array([ 5.18799451e-13, -8.39482664e-10]), 'fvec': array([-4.65661287e-10,  6.98491931e-10])}",249
-34.68,165.9,[-37.41610738 158.29145729],3.0719530773294423e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.93311752, -0.35957153],
       [ 0.35957153, -0.93311752]]), 'r': array([ 7.67864429e+06, -2.00472852e+00,  7.67864501e+06]), 'qtf': array([ 2.51300526e-08, -1.76683340e-08]), 'fvec': array([-2.98023224e-08,  7.45058060e-09])}",254
