# {'par': {'k': 5.0, 'D': 0.3, 'v': 4.5, 'tau': 0.25, 'R': 0.5, 'label': '(v_4.5)'}, 'guess_range': ([-275, 25, 150], [0, 500, 200]), 'tols': (0.0001, 1e-07, 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
2.201,0.0,[-25.33557047   0.        ],7.450580596923828e-09,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([-13837074.96797535,         0.        , -13837075.04022266]), 'qtf': array([-7.4505806e-09,  0.0000000e+00]), 'fvec': array([7.4505806e-09, 0.0000000e+00])}",564
1.025,14.0,[-3.18791946 10.05025126],7.679882693323606e-09,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96595241, -0.25871981],
       [ 0.25871981, -0.96595241]]), 'r': array([-1.50750053e+07,  6.46622804e-01, -1.50750074e+07]), 'qtf': array([ 6.71500310e-09, -3.72683936e-09]), 'fvec': array([-7.45058060e-09,  1.86264515e-09])}",268
1.025,-14.0,[  1.02529446 -13.99567901],7.679882693323606e-09,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96595241,  0.25871981],
       [-0.25871981, -0.96595241]]), 'r': array([-1.50750053e+07,  1.14229347e+00, -1.50750071e+07]), 'qtf': array([6.71500310e-09, 3.72683936e-09]), 'fvec': array([-7.45058060e-09, -1.86264515e-09])}",268
-1.85,29.18,[-41.44295302  10.05025126],6.006850114687196e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.91658909, -0.39983051],
       [ 0.39983051, -0.91658909]]), 'r': array([-1.73026365e+07, -6.75742105e-02, -1.73026364e+07]), 'qtf': array([5.97197241e-08, 6.46369777e-09]), 'fvec': array([-5.21540642e-08, -2.98023224e-08])}",137
-1.85,-29.18,[ -1.84968339 -29.17954866],6.006850114687196e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.91658909,  0.39983051],
       [-0.39983051, -0.91658909]]), 'r': array([-1.73026365e+07,  2.84178763e+00, -1.73026356e+07]), 'qtf': array([ 5.97197241e-08, -6.46369777e-09]), 'fvec': array([-5.21540642e-08,  2.98023224e-08])}",137
-5.458,45.7,[-7.2147651  40.20100503],9.483040914951157e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.87961757, -0.47568155],
       [ 0.47568155, -0.87961757]]), 'r': array([-1.96403793e+07,  3.77259232e+00, -1.96403790e+07]), 'qtf': array([ 2.70860210e-08, -9.08798876e-08]), 'fvec': array([-6.70552254e-08,  6.70552254e-08])}",117
-5.458,-45.7,[ -5.45839055 -45.69790522],9.483040914951157e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.87961757,  0.47568155],
       [-0.47568155, -0.87961757]]), 'r': array([-1.96403793e+07,  7.55985048e-01, -1.96403778e+07]), 'qtf': array([2.70860210e-08, 9.08798876e-08]), 'fvec': array([-6.70552254e-08, -6.70552254e-08])}",117
-9.298,63.34,[-45.46979866  30.15075377],6.746787680787904e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.84761831, -0.53060645],
       [ 0.53060645, -0.84761831]]), 'r': array([-2.19231360e+07,  3.36420013e+00, -2.19231363e+07]), 'qtf': array([ 6.07905628e-08, -2.92646865e-08]), 'fvec': array([-6.70552254e-08, -7.45058060e-09])}",95
-9.298,-63.34,[ -9.29756074 -63.34491326],6.746787680787904e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.84761831,  0.53060645],
       [-0.53060645, -0.84761831]]), 'r': array([-2.19231360e+07,  3.69114060e+00, -2.19231346e+07]), 'qtf': array([6.07905628e-08, 2.92646865e-08]), 'fvec': array([-6.70552254e-08,  7.45058060e-09])}",95
-13.28,81.82,[-55.53691275  40.20100503],3.161013638317052e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.82245094, -0.56883605],
       [ 0.56883605, -0.82245094]]), 'r': array([-2.33714516e+07,  4.60154007e+00, -2.33714528e+07]), 'qtf': array([ 5.66873466e-09, -3.10976875e-08]), 'fvec': array([-2.23517418e-08,  2.23517418e-08])}",162
-13.28,-81.82,[-13.28085139 -81.82071553],3.161013638317052e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.82245094,  0.56883605],
       [-0.56883605, -0.82245094]]), 'r': array([-2.33714516e+07,  4.45053562e+00, -2.33714509e+07]), 'qtf': array([5.66873466e-09, 3.10976875e-08]), 'fvec': array([-2.23517418e-08, -2.23517418e-08])}",162
-133.9,226.2,[-194.46308725   37.68844221],4.8323983027028134e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.00000000e+00,  6.00997788e-08],
       [-6.00997788e-08, -1.00000000e+00]]), 'r': array([-7.35528930e+06,  9.61439145e-01, -7.35528982e+06]), 'qtf': array([-1.69908634e-09, -4.82941036e-08]), 'fvec': array([1.69908924e-09, 4.82941035e-08])}",2907
-133.9,-226.2,[-133.8714045  -226.19467106],4.8323983027028134e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.00000000e+00, -6.00997788e-08],
       [ 6.00997788e-08, -1.00000000e+00]]), 'r': array([-7.35528930e+06, -1.70110248e-02, -7.35528844e+06]), 'qtf': array([-1.69908634e-09,  4.82941036e-08]), 'fvec': array([ 1.69908924e-09, -4.82941035e-08])}",2907
