# {'par': {'k': 5.0, 'D': 0.3, 'v': 3.0, 'tau': 0.25, 'R': 0.5, 'label': 'default'}, 'guess_range': ([-275, 25, 150], [0, 500, 200]), 'tols': (0.0001, 1e-07, 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
2.621,0.0,[-13.25503356   0.        ],1.4551915228393128e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.00000000e+00, -4.33892273e-22],
       [ 4.33892273e-22, -1.00000000e+00]]), 'r': array([-4.55005017e+04, -1.97423153e-17, -4.55005000e+04]), 'qtf': array([ 1.45519152e-11, -2.76535982e-17]), 'fvec': array([-1.45519152e-11,  2.76535982e-17])}",3754
0.6035,12.03,[-15.26845638   0.        ],5.246767651208195e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9211019 , -0.38932158],
       [ 0.38932158, -0.9211019 ]]), 'r': array([-5.88196738e+04, -1.55110574e-04, -5.88196596e+04]), 'qtf': array([-5.15421395e-11, -9.81146933e-12]), 'fvec': array([4.36557457e-11, 2.91038305e-11])}",251
0.6035,-12.03,[  0.60351921 -12.0271575 ],5.246767651208195e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9211019 ,  0.38932158],
       [-0.38932158, -0.9211019 ]]), 'r': array([-5.88196738e+04,  4.10742428e-03, -5.88196581e+04]), 'qtf': array([-5.15421395e-11,  9.81146933e-12]), 'fvec': array([ 4.36557457e-11, -2.91038305e-11])}",251
-3.622,-26.35,[ -3.62221106 -26.35443991],1.3015628661377063e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.87403569,  0.48586173],
       [-0.48586173, -0.87403569]]), 'r': array([-7.14801500e+04,  7.84196319e-03, -7.14801495e+04]), 'qtf': array([ 5.68617684e-12, -1.30032020e-10]), 'fvec': array([5.82076609e-11, 1.16415322e-10])}",176
-3.622,26.35,[-17.28187919  12.56281407],1.3015628661377063e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.87403569, -0.48586173],
       [ 0.48586173, -0.87403569]]), 'r': array([-7.14801500e+04,  3.54095345e-03, -7.14801536e+04]), 'qtf': array([5.68617684e-12, 1.30032020e-10]), 'fvec': array([ 5.82076609e-11, -1.16415322e-10])}",176
-7.847,-42.68,[ -7.84675495 -42.68249664],1.4840099941918116e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.8404511 ,  0.54188739],
       [-0.54188739, -0.8404511 ]]), 'r': array([-9.19009467e+04,  1.03382445e-02, -9.19009379e+04]), 'qtf': array([ 5.43946469e-11, -1.38072731e-10]), 'fvec': array([2.91038305e-11, 1.45519152e-10])}",157
-7.847,42.68,[-29.36241611  27.63819095],1.4840099941918116e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.8404511 , -0.54188739],
       [ 0.54188739, -0.8404511 ]]), 'r': array([-9.19009467e+04,  9.54945095e-03, -9.19009452e+04]), 'qtf': array([5.43946469e-11, 1.38072731e-10]), 'fvec': array([ 2.91038305e-11, -1.45519152e-10])}",157
-12.79,61.83,[-41.44295302  22.61306533],4.4353511924064285e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.51938227, -0.85454202],
       [ 0.85454202, -0.51938227]]), 'r': array([-9.21165539e+04,  1.70592785e-02, -9.21165538e+04]), 'qtf': array([-7.48703032e-11, -4.37170264e-10]), 'fvec': array([-3.34694050e-10,  2.91038305e-10])}",192
-12.79,-61.83,[-12.78826776 -61.83299301],4.4353511924064285e-10,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.51938227,  0.85454202],
       [-0.85454202, -0.51938227]]), 'r': array([-9.21165539e+04,  1.42042466e-02, -9.21165485e+04]), 'qtf': array([-7.48703032e-11,  4.37170264e-10]), 'fvec': array([-3.34694050e-10, -2.91038305e-10])}",192
-14.5,116.6,[-17.28187919 113.06532663],1.6298145055770874e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98940192,  0.14520273],
       [-0.14520273, -0.98940192]]), 'r': array([-2.59217687e+06,  8.31229815e-01, -2.59217706e+06]), 'qtf': array([-2.36653520e-09,  1.61254161e-08]), 'fvec': array([ 0.00000000e+00, -1.62981451e-08])}",87
