# {'par': {'k': 10; 'D': 0.2; 'v': 0.5; 'tau': 1.0; 'R': 0.9; 'label': '(D_0.2)'}; 'guess_range': ([-275; 24; 150]; [0; 100; 50]); 'tols': (1e-09; 0.05; 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
8.709,0.0,[10.04666667  0.        ],1.0379253012615663e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([-1.81563904e+04,  3.49342823e-04, -1.81563869e+04]), 'qtf': array([1.0379253e-11, 0.0000000e+00]), 'fvec': array([-1.0379253e-11,  0.0000000e+00])}",16
4.57,0.0,[4.06666667 0.        ],3.197442310952877e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.00000000e+00, -3.66201721e-21],
       [ 3.66201721e-21, -1.00000000e+00]]), 'r': array([8.70676585e+01, 3.18843235e-19, 8.70676508e+01]), 'qtf': array([-3.19744231e-14,  1.43999843e-19]), 'fvec': array([ 3.19744231e-14, -1.43999843e-19])}",22
1.114,0.0,[0.08 0.  ],8.881784197001252e-16,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([-5.53868009e+00,  5.96046448e-08, -5.53867995e+00]), 'qtf': array([8.8817842e-16, 0.0000000e+00]), 'fvec': array([-8.8817842e-16,  0.0000000e+00])}",34
-0.1382,5.523,[-1.91333333  4.        ],1.6011864169946884e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95982346,  0.28060456],
       [-0.28060456, -0.95982346]]), 'r': array([-6.30999182e+00,  2.98399523e-06, -6.30999063e+00]), 'qtf': array([-1.22633486e-15,  1.02951482e-15]), 'fvec': array([ 8.88178420e-16, -1.33226763e-15])}",31
-0.1382,-5.523,[-0.13824285 -5.52272633],1.6011864169946884e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95982346, -0.28060456],
       [ 0.28060456, -0.95982346]]), 'r': array([-6.30999182e+00, -2.35144495e-06, -6.30999046e+00]), 'qtf': array([-1.22633486e-15, -1.02951482e-15]), 'fvec': array([8.88178420e-16, 1.33226763e-15])}",31
-1.545,10.82,[-1.91333333 10.        ],4.9960036108132044e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97279344,  0.23167417],
       [-0.23167417, -0.97279344]]), 'r': array([-6.26256102e+00,  9.50785234e-07, -6.26256091e+00]), 'qtf': array([ 1.15744501e-15, -4.86007954e-15]), 'fvec': array([0.00000000e+00, 4.99600361e-15])}",29
-1.545,-10.82,[ -1.54458585 -10.82011212],4.9960036108132044e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97279344, -0.23167417],
       [ 0.23167417, -0.97279344]]), 'r': array([-6.26256102e+00,  1.52200261e-07, -6.26256070e+00]), 'qtf': array([1.15744501e-15, 4.86007954e-15]), 'fvec': array([ 0.00000000e+00, -4.99600361e-15])}",29
-2.716,16.21,[ 4.06666667 10.        ],1.021405182655144e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98067648,  0.19563652],
       [-0.19563652, -0.98067648]]), 'r': array([-6.22317019e+00,  7.20654802e-07, -6.22317031e+00]), 'qtf': array([-1.99824158e-15,  1.00166804e-14]), 'fvec': array([ 0.00000000e+00, -1.02140518e-14])}",32
-2.716,-16.21,[ -2.71581916 -16.21090825],1.021405182655144e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98067648, -0.19563652],
       [ 0.19563652, -0.98067648]]), 'r': array([-6.22317019e+00,  9.96092054e-07, -6.22317000e+00]), 'qtf': array([-1.99824158e-15, -1.00166804e-14]), 'fvec': array([0.00000000e+00, 1.02140518e-14])}",32
-3.731,21.67,[-3.90666667 20.        ],7.108895957933346e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98518952,  0.17146895],
       [-0.17146895, -0.98518952]]), 'r': array([-6.17890481e+00,  1.08266405e-06, -6.17890475e+00]), 'qtf': array([5.69761713e-16, 7.08602663e-15]), 'fvec': array([-1.77635684e-15, -6.88338275e-15])}",37
-3.731,-21.67,[ -3.73140588 -21.67191467],7.108895957933346e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98518952, -0.17146895],
       [ 0.17146895, -0.98518952]]), 'r': array([-6.17890481e+00,  1.11855289e-06, -6.17890442e+00]), 'qtf': array([ 5.69761713e-16, -7.08602663e-15]), 'fvec': array([-1.77635684e-15,  6.88338275e-15])}",37
-4.639,27.19,[-5.9 26. ],3.2023728339893768e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98808037,  0.15393887],
       [-0.15393887, -0.98808037]]), 'r': array([-6.13737943e+00,  1.42391454e-06, -6.13737938e+00]), 'qtf': array([1.34500779e-15, 2.90622535e-15]), 'fvec': array([-1.77635684e-15, -2.66453526e-15])}",34
-4.639,-27.19,[ -4.63910011 -27.19150281],3.2023728339893768e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98808037, -0.15393887],
       [ 0.15393887, -0.98808037]]), 'r': array([-6.13737943e+00,  1.34029954e-06, -6.13737892e+00]), 'qtf': array([ 1.34500779e-15, -2.90622535e-15]), 'fvec': array([-1.77635684e-15,  2.66453526e-15])}",34
-5.466,-32.76,[ -5.46647953 -32.75992881],2.0225570033096e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99007063, -0.14057077],
       [ 0.14057077, -0.99007063]]), 'r': array([-6.10063726e+00,  1.56601513e-06, -6.10063676e+00]), 'qtf': array([3.71974057e-15, 1.98805738e-14]), 'fvec': array([-8.8817842e-16, -2.0206059e-14])}",35
-5.466,32.76,[-5.9 20. ],2.0225570033096e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99007063,  0.14057077],
       [-0.14057077, -0.99007063]]), 'r': array([-6.10063726e+00,  1.69168964e-06, -6.10063721e+00]), 'qtf': array([ 3.71974057e-15, -1.98805738e-14]), 'fvec': array([-8.8817842e-16,  2.0206059e-14])}",35
