# {'par': {'k': 10; 'D': 1.0; 'v': 0.5; 'tau': 1.0; 'R': 0.5; 'label': '(D_1)'}; 'guess_range': ([-275; 24; 150]; [0; 100; 50]); 'tols': (1e-09; 0.005; 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
4.495,0.0,[4.06666667 0.        ],2.1649348980190553e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([-2.12174780e+01,  3.12924385e-07, -2.12174768e+01]), 'qtf': array([-2.1649349e-15,  0.0000000e+00]), 'fvec': array([2.1649349e-15, 0.0000000e+00])}",22
-0.7138,-3.328,[-0.71384068 -3.32798248],1.3877787807814457e-17,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99457924, -0.10398145],
       [ 0.10398145, -0.99457924]]), 'r': array([-4.04861192e-01,  8.31133355e-09, -4.04861203e-01]), 'qtf': array([-1.44303245e-18, -1.38025596e-17]), 'fvec': array([0.00000000e+00, 1.38777878e-17])}",40
-0.7138,3.328,[-1.91333333  2.        ],1.3877787807814457e-17,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99457924,  0.10398145],
       [-0.10398145, -0.99457924]]), 'r': array([-4.04861192e-01,  8.88308700e-09, -4.04861206e-01]), 'qtf': array([-1.44303245e-18,  1.38025596e-17]), 'fvec': array([ 0.00000000e+00, -1.38777878e-17])}",40
-1.382,9.385,[-3.90666667  8.        ],3.0878077872387166e-16,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9944744 ,  0.10497933],
       [-0.10497933, -0.9944744 ]]), 'r': array([-4.36082025e-01,  2.96629853e-08, -4.36082031e-01]), 'qtf': array([-3.24155996e-17,  3.07074581e-16]), 'fvec': array([ 0.00000000e+00, -3.08780779e-16])}",37
-1.382,-9.385,[-1.38150067 -9.38528074],3.0878077872387166e-16,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9944744 , -0.10497933],
       [ 0.10497933, -0.9944744 ]]), 'r': array([-4.36082025e-01,  3.54208191e-08, -4.36082024e-01]), 'qtf': array([-3.24155996e-17, -3.07074581e-16]), 'fvec': array([0.00000000e+00, 3.08780779e-16])}",37
-1.96,15.27,[-3.90666667 14.        ],3.925231146709438e-16,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9958295 ,  0.09123385],
       [-0.09123385, -0.9958295 ]]), 'r': array([-4.38980124e-01,  5.22731145e-08, -4.38980122e-01]), 'qtf': array([ 9.07311130e-17, -3.81892996e-16]), 'fvec': array([-5.55111512e-17,  3.88578059e-16])}",32
-1.96,-15.27,[ -1.96006263 -15.26519579],3.925231146709438e-16,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9958295 , -0.09123385],
       [ 0.09123385, -0.9958295 ]]), 'r': array([-4.38980124e-01,  5.37526673e-08, -4.38980112e-01]), 'qtf': array([9.07311130e-17, 3.81892996e-16]), 'fvec': array([-5.55111512e-17, -3.88578059e-16])}",32
-2.465,21.15,[-3.90666667 20.        ],1.5700924586837752e-16,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99679772,  0.07996435],
       [-0.07996435, -0.99679772]]), 'r': array([-4.37450831e-01,  7.77866402e-08, -4.37450826e-01]), 'qtf': array([-1.01788953e-16, -1.19544604e-16]), 'fvec': array([1.11022302e-16, 1.11022302e-16])}",30
-2.465,-21.15,[ -2.46457954 -21.15219218],1.5700924586837752e-16,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99679772, -0.07996435],
       [ 0.07996435, -0.99679772]]), 'r': array([-4.37450831e-01,  6.63343128e-08, -4.37450815e-01]), 'qtf': array([-1.01788953e-16,  1.19544604e-16]), 'fvec': array([ 1.11022302e-16, -1.11022302e-16])}",30
-2.912,27.07,[-3.90666667 26.        ],2.7755575615628914e-17,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99746932,  0.0710982 ],
       [-0.0710982 , -0.99746932]]), 'r': array([-4.35609386e-01,  9.13519503e-08, -4.35609378e-01]), 'qtf': array([-1.97337137e-18,  2.76853352e-17]), 'fvec': array([ 0.00000000e+00, -2.77555756e-17])}",33
-2.912,-27.07,[ -2.91156959 -27.06824111],2.7755575615628914e-17,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99746932, -0.0710982 ],
       [ 0.0710982 , -0.99746932]]), 'r': array([-4.35609386e-01,  9.39198298e-08, -4.35609365e-01]), 'qtf': array([-1.97337137e-18, -2.76853352e-17]), 'fvec': array([0.00000000e+00, 2.77555756e-17])}",33
