# {'par': {'k': -50; 'D': 0.1; 'v': 0.5; 'tau': 1.0; 'R': 0.5; 'label': '(k_-50)'}; 'guess_range': ([-275; 24; 150]; [0; 100; 50]); 'tols': (1e-09; 0.005; 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
-16.19,0.0,[-17.86   0.  ],5.684341886080802e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([-4.70324407e+01,  4.76837158e-07, -4.70324331e+01]), 'qtf': array([5.68434189e-14, 0.00000000e+00]), 'fvec': array([-5.68434189e-14,  0.00000000e+00])}",58
-16.23,-4.959,[-16.22900871  -4.95879895],5.709267256288867e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99988956, -0.01486182],
       [ 0.01486182, -0.99988956]]), 'r': array([-4.69685100e+01,  1.93690744e-06, -4.69685021e+01]), 'qtf': array([5.69163406e-14, 4.48368544e-15]), 'fvec': array([-5.68434189e-14, -5.32907052e-15])}",46
-16.23,4.959,[-15.86666667   2.        ],5.709267256288867e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99988956,  0.01486182],
       [-0.01486182, -0.99988956]]), 'r': array([-4.69685100e+01,  2.48666978e-06, -4.69685021e+01]), 'qtf': array([ 5.69163406e-14, -4.48368544e-15]), 'fvec': array([-5.68434189e-14,  5.32907052e-15])}",46
-16.34,9.93,[-17.86   4.  ],2.6295481753417663e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99958126,  0.02893625],
       [-0.02893625, -0.99958126]]), 'r': array([-4.67849105e+01,  3.84761582e-06, -4.67849030e+01]), 'qtf': array([2.62944928e-13, 2.28052533e-15]), 'fvec': array([-2.62900812e-13,  5.32907052e-15])}",39
-16.34,-9.93,[-16.33839172  -9.92977428],2.6295481753417663e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99958126, -0.02893625],
       [ 0.02893625, -0.99958126]]), 'r': array([-4.67849105e+01,  3.89510934e-06, -4.67849027e+01]), 'qtf': array([ 2.62944928e-13, -2.28052533e-15]), 'fvec': array([-2.62900812e-13, -5.32907052e-15])}",39
-16.52,14.92,[-15.86666667   8.        ],6.861429794408013e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99913451,  0.04159598],
       [-0.04159598, -0.99913451]]), 'r': array([-4.65035181e+01,  7.04106284e-06, -4.65035113e+01]), 'qtf': array([6.28590491e-14, 2.75074867e-14]), 'fvec': array([-6.39488462e-14, -2.48689958e-14])}",49
-16.52,-14.92,[-16.51534491 -14.92385372],6.861429794408013e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99913451, -0.04159598],
       [ 0.04159598, -0.99913451]]), 'r': array([-4.65035181e+01,  5.96713599e-06, -4.65035107e+01]), 'qtf': array([ 6.28590491e-14, -2.75074867e-14]), 'fvec': array([-6.39488462e-14,  2.48689958e-14])}",49
-16.75,19.95,[-15.86666667  18.        ],4.3366397107056194e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99862269,  0.05246641],
       [-0.05246641, -0.99862269]]), 'r': array([-4.61533752e+01,  8.88612983e-06, -4.61533689e+01]), 'qtf': array([ 3.67829919e-14, -2.29707620e-14]), 'fvec': array([-3.55271368e-14,  2.48689958e-14])}",46
-16.75,-19.95,[-16.75281394 -19.94980691],4.3366397107056194e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99862269, -0.05246641],
       [ 0.05246641, -0.99862269]]), 'r': array([-4.61533752e+01,  8.16614520e-06, -4.61533678e+01]), 'qtf': array([3.67829919e-14, 2.29707620e-14]), 'fvec': array([-3.55271368e-14, -2.48689958e-14])}",46
-17.04,25.01,[-17.86  24.  ],8.666455260721799e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99811143,  0.06142939],
       [-0.06142939, -0.99811143]]), 'r': array([-4.57637408e+01,  1.10223901e-05, -4.57637345e+01]), 'qtf': array([ 4.03159047e-14, -7.67161815e-14]), 'fvec': array([-3.55271368e-14,  7.90478794e-14])}",41
-17.04,-25.01,[-17.04250677 -25.01384723],8.666455260721799e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99811143, -0.06142939],
       [ 0.06142939, -0.99811143]]), 'r': array([-4.57637408e+01,  9.95964279e-06, -4.57637334e+01]), 'qtf': array([4.03159047e-14, 7.67161815e-14]), 'fvec': array([-3.55271368e-14, -7.90478794e-14])}",41
-17.38,30.12,[-3.90666667 24.        ],5.0867118742119833e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99764672,  0.06856395],
       [-0.06856395, -0.99764672]]), 'r': array([-4.53593253e+01,  1.31232155e-05, -4.53593194e+01]), 'qtf': array([-4.88901800e-14, -1.40432928e-14]), 'fvec': array([4.97379915e-14, 1.06581410e-14])}",49
-17.38,-30.12,[-17.37584864 -30.11970665],5.0867118742119833e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99764672, -0.06856395],
       [ 0.06856395, -0.99764672]]), 'r': array([-4.53593253e+01,  1.16703816e-05, -4.53593179e+01]), 'qtf': array([-4.88901800e-14,  1.40432928e-14]), 'fvec': array([ 4.97379915e-14, -1.06581410e-14])}",49
-17.74,35.27,[-17.86  34.  ],6.703246762680666e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99725327,  0.074067  ],
       [-0.074067  , -0.99725327]]), 'r': array([-4.49583632e+01,  1.47259184e-05, -4.49583557e+01]), 'qtf': array([ 5.93186737e-14, -3.12193316e-14]), 'fvec': array([-5.68434189e-14,  3.55271368e-14])}",41
-17.74,-35.27,[-17.74468699 -35.26901601],6.703246762680666e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99725327, -0.074067  ],
       [ 0.074067  , -0.99725327]]), 'r': array([-4.49583632e+01,  1.30426001e-05, -4.49583537e+01]), 'qtf': array([5.93186737e-14, 3.12193316e-14]), 'fvec': array([-5.68434189e-14, -3.55271368e-14])}",41
-18.14,40.46,[18.02 34.  ],1.9238034782521053e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9969389 ,  0.07818453],
       [-0.07818453, -0.9969389 ]]), 'r': array([-4.45727841e+01,  1.65954244e-05, -4.45727776e+01]), 'qtf': array([ 1.51812044e-13, -1.18166414e-13]), 'fvec': array([-1.42108547e-13,  1.29674049e-13])}",47
-18.14,-40.46,[-18.14170768 -40.46180638],1.9238034782521053e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9969389 , -0.07818453],
       [ 0.07818453, -0.9969389 ]]), 'r': array([-4.45727841e+01,  1.51682182e-05, -4.45727751e+01]), 'qtf': array([1.51812044e-13, 1.18166414e-13]), 'fvec': array([-1.42108547e-13, -1.29674049e-13])}",47
-18.56,-45.7,[-18.56061055 -45.69699838],1.7802826907282055e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99670066, -0.0811652 ],
       [ 0.0811652 , -0.99670066]]), 'r': array([-4.42094302e+01,  1.76364902e-05, -4.42094221e+01]), 'qtf': array([-3.55916996e-14, -1.74434215e-13]), 'fvec': array([2.13162821e-14, 1.76747506e-13])}",48
-18.56,45.7,[-19.85333333  34.        ],1.7802826907282055e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99670066,  0.0811652 ],
       [-0.0811652 , -0.99670066]]), 'r': array([-4.42094302e+01,  1.83080064e-05, -4.42094251e+01]), 'qtf': array([-3.55916996e-14,  1.74434215e-13]), 'fvec': array([ 2.13162821e-14, -1.76747506e-13])}",48
-19.0,50.97,[-19.85333333  50.        ],7.759243796045309e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99652994,  0.08323505],
       [-0.08323505, -0.99652994]]), 'r': array([-4.38714836e+01,  2.03957618e-05, -4.38714784e+01]), 'qtf': array([ 2.74522293e-14, -7.25738351e-14]), 'fvec': array([-2.13162821e-14,  7.46069873e-14])}",43
-19.0,-50.97,[-18.99612152 -50.97281132],7.759243796045309e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99652994, -0.08323505],
       [ 0.08323505, -0.99652994]]), 'r': array([-4.38714836e+01,  1.92286916e-05, -4.38714749e+01]), 'qtf': array([2.74522293e-14, 7.25738351e-14]), 'fvec': array([-2.13162821e-14, -7.46069873e-14])}",43
-19.44,56.29,[-19.85333333  54.        ],5.575044364460956e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99641608,  0.08458717],
       [-0.08458717, -0.99641608]]), 'r': array([-4.35597198e+01,  2.18375999e-05, -4.35597146e+01]), 'qtf': array([-3.23767871e-14,  4.53856323e-14]), 'fvec': array([ 2.84217094e-14, -4.79616347e-14])}",49
-19.44,-56.29,[-19.44391257 -56.28707304],5.575044364460956e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99641608, -0.08458717],
       [ 0.08458717, -0.99641608]]), 'r': array([-4.35597198e+01,  2.10527726e-05, -4.35597112e+01]), 'qtf': array([-3.23767871e-14, -4.53856323e-14]), 'fvec': array([2.84217094e-14, 4.79616347e-14])}",49
-19.9,61.64,[-19.85333333  44.        ],1.4812089486634482e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99634843,  0.08538038],
       [-0.08538038, -0.99634843]]), 'r': array([-4.32734594e+01,  2.38126029e-05, -4.32734536e+01]), 'qtf': array([-4.49575679e-14, -1.41133329e-13]), 'fvec': array([5.68434189e-14, 1.36779477e-13])}",54
-19.9,-61.64,[-19.90048076 -61.63743823],1.4812089486634482e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99634843, -0.08538038],
       [ 0.08538038, -0.99634843]]), 'r': array([-4.32734594e+01,  2.22035266e-05, -4.32734499e+01]), 'qtf': array([-4.49575679e-14,  1.41133329e-13]), 'fvec': array([ 5.68434189e-14, -1.36779477e-13])}",54
-20.36,67.02,[-21.84666667  66.        ],1.9818920806331665e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99631736,  0.08574213],
       [-0.08574213, -0.99631736]]), 'r': array([-4.30112192e+01,  2.56484050e-05, -4.30112132e+01]), 'qtf': array([-3.31054935e-14, -1.95404679e-13]), 'fvec': array([4.97379915e-14, 1.91846539e-13])}",46
-20.36,-67.02,[-20.36301797 -67.02153318],1.9818920806331665e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99631736, -0.08574213],
       [ 0.08574213, -0.99631736]]), 'r': array([-4.30112192e+01,  2.40964652e-05, -4.30112089e+01]), 'qtf': array([-3.31054935e-14,  1.95404679e-13]), 'fvec': array([ 4.97379915e-14, -1.91846539e-13])}",46
-20.83,72.44,[-21.84666667  70.        ],8.113596153413937e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99631469,  0.08577321],
       [-0.08577321, -0.99631469]]), 'r': array([-4.27711382e+01,  2.74092050e-05, -4.27711332e+01]), 'qtf': array([1.46687802e-16, 8.11358289e-14]), 'fvec': array([-7.10542736e-15, -8.08242362e-14])}",50
-20.83,-72.44,[-20.82928822 -72.43704616],8.113596153413937e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99631469, -0.08577321],
       [ 0.08577321, -0.99631469]]), 'r': array([-4.27711382e+01,  2.58525319e-05, -4.27711287e+01]), 'qtf': array([ 1.46687802e-16, -8.11358289e-14]), 'fvec': array([-7.10542736e-15,  8.08242362e-14])}",50
-21.3,77.88,[-21.84666667  76.        ],1.526013562263595e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99633366,  0.0855525 ],
       [-0.0855525 , -0.99633366]]), 'r': array([-4.25512402e+01,  2.86404498e-05, -4.25512348e+01]), 'qtf': array([ 7.55681865e-14, -1.32576857e-13]), 'fvec': array([-6.39488462e-14,  1.38555833e-13])}",53
-21.3,-77.88,[-21.29751992 -77.88177984],1.526013562263595e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99633366, -0.0855525 ],
       [ 0.0855525 , -0.99633366]]), 'r': array([-4.25512402e+01,  2.76787220e-05, -4.25512300e+01]), 'qtf': array([7.55681865e-14, 1.32576857e-13]), 'fvec': array([-6.39488462e-14, -1.38555833e-13])}",53
-21.77,-83.35,[-21.76631503 -83.35367834],1.5177199488856151e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99636887, -0.08514151],
       [ 0.08514151, -0.99636887]]), 'r': array([-4.23495771e+01,  2.90296027e-05, -4.23495664e+01]), 'qtf': array([-5.48795790e-14, -1.41502545e-13]), 'fvec': array([4.26325641e-14, 1.45661261e-13])}",55
-21.77,83.35,[10.04666667 78.        ],1.5177199488856151e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99636887,  0.08514151],
       [-0.08514151, -0.99636887]]), 'r': array([-4.23495771e+01,  3.07768228e-05, -4.23495714e+01]), 'qtf': array([-5.48795790e-14,  1.41502545e-13]), 'fvec': array([ 4.26325641e-14, -1.45661261e-13])}",55
-22.23,88.85,[10.04666667 82.        ],7.149698361352147e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99641602,  0.08458791],
       [-0.08458791, -0.99641602]]), 'r': array([-4.21643134e+01,  3.20564619e-05, -4.21643081e+01]), 'qtf': array([-6.10150054e-14, -3.72691265e-14]), 'fvec': array([6.39488462e-14, 3.19744231e-14])}",50
-22.23,-88.85,[-22.23457436 -88.85083778],7.149698361352147e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99641602, -0.08458791],
       [ 0.08458791, -0.99641602]]), 'r': array([-4.21643134e+01,  3.09511016e-05, -4.21643028e+01]), 'qtf': array([-6.10150054e-14,  3.72691265e-14]), 'fvec': array([ 6.39488462e-14, -3.19744231e-14])}",50
