# {'par': {'k': 10; 'D': 0.1; 'v': 0.5; 'tau': 0.01; 'R': 0.5; 'label': '(tau_0.01)'}; 'guess_range': ([-275; 24; 150]; [0; 100; 50]); 'tols': (1e-09; 0.005; 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
9.547,0.0,[-97.59333333   0.        ],4.263256414560601e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([-8.00395757e+01,  4.76837158e-07, -8.00395683e+01]), 'qtf': array([4.26325641e-14, 0.00000000e+00]), 'fvec': array([-4.26325641e-14,  0.00000000e+00])}",38
5.575,2.976,[5.57538768 2.97621547],7.513511730867176e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.37172612,  0.92834244],
       [-0.92834244, -0.37172612]]), 'r': array([-2.70911216e+01,  6.74593164e-07, -2.70911222e+01]), 'qtf': array([-3.73805223e-16, -7.50420737e-15]), 'fvec': array([7.10542736e-15, 2.44249065e-15])}",76
5.575,-2.976,[-15.86666667   2.        ],7.513511730867176e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.37172612, -0.92834244],
       [ 0.92834244, -0.37172612]]), 'r': array([-2.70911216e+01, -3.46633048e-07, -2.70911216e+01]), 'qtf': array([-3.73805223e-16,  7.50420737e-15]), 'fvec': array([ 7.10542736e-15, -2.44249065e-15])}",76
-6.122,6.339,[-6.12161384  6.3394393 ],8.152394204457378e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.22394794,  0.97460111],
       [-0.97460111, -0.22394794]]), 'r': array([-1.44185699e+01,  4.30675096e-07, -1.44185704e+01]), 'qtf': array([5.48653433e-15, 6.02988162e-15]), 'fvec': array([-7.10542736e-15,  3.99680289e-15])}",225
-6.122,-6.339,[-61.71333333   2.        ],8.152394204457378e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.22394794, -0.97460111],
       [ 0.97460111, -0.22394794]]), 'r': array([-1.44185699e+01, -2.87296400e-07, -1.44185701e+01]), 'qtf': array([ 5.48653433e-15, -6.02988162e-15]), 'fvec': array([-7.10542736e-15, -3.99680289e-15])}",225
-25.54,-10.28,[-171.34666667    2.        ],6.039613253960852e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.18094836, -0.9834926 ],
       [ 0.9834926 , -0.18094836]]), 'r': array([-9.76933331e+00, -4.60662726e-07, -9.76933304e+00]), 'qtf': array([-4.72681523e-14, -3.75954067e-14]), 'fvec': array([-2.84217094e-14,  5.32907052e-14])}",554
-25.54,10.28,[-25.53834844  10.27954529],6.039613253960852e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.18094836,  0.9834926 ],
       [-0.9834926 , -0.18094836]]), 'r': array([-9.76933331e+00,  5.27846653e-07, -9.76933353e+00]), 'qtf': array([-4.72681523e-14,  3.75954067e-14]), 'fvec': array([-2.84217094e-14, -5.32907052e-14])}",554
-52.65,15.08,[-52.65003761  15.08212057],1.0840507785651654e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.16827977,  0.98573928],
       [-0.98573928, -0.16827977]]), 'r': array([-7.39134906e+00,  7.20761360e-07, -7.39134930e+00]), 'qtf': array([-1.08328394e-13,  4.07676004e-15]), 'fvec': array([ 1.42108547e-14, -1.07469589e-13])}",1004
-52.65,-15.08,[-123.50666667    2.        ],1.0840507785651654e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.16827977, -0.98573928],
       [ 0.98573928, -0.16827977]]), 'r': array([-7.39134906e+00, -1.38684700e-07, -7.39134862e+00]), 'qtf': array([-1.08328394e-13, -4.07676004e-15]), 'fvec': array([1.42108547e-14, 1.07469589e-13])}",1004
-87.4,-21.03,[-87.39912191 -21.02799192],1.1192810208260877e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.16805546, -0.98577754],
       [ 0.98577754, -0.16805546]]), 'r': array([-5.94855663e+00, -1.34889460e-06, -5.94855629e+00]), 'qtf': array([1.07055081e-13, 3.26666457e-14]), 'fvec': array([ 1.42108547e-14, -1.11022302e-13])}",1099
-87.4,21.03,[-117.52666667    2.        ],1.1192810208260877e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.16805546,  0.98577754],
       [-0.98577754, -0.16805546]]), 'r': array([-5.94855663e+00,  1.47621430e-07, -5.94855652e+00]), 'qtf': array([ 1.07055081e-13, -3.26666457e-14]), 'fvec': array([1.42108547e-14, 1.11022302e-13])}",1099
-129.7,-28.39,[-137.46    2.  ],9.170200242991418e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.17395382, -0.98475381],
       [ 0.98475381, -0.17395382]]), 'r': array([-4.97965268e+00, -8.60131726e-07, -4.97965257e+00]), 'qtf': array([8.67409501e-14, 2.97534002e-14]), 'fvec': array([ 1.42108547e-14, -9.05941988e-14])}",1168
