# {'par': {'k': 0; 'D': 0.1; 'v': 0.5; 'tau': 1.0; 'R': 0.99; 'label': '(R_0.99)'}; 'guess_range': ([-275; 25; 75]; [0; 100; 20]); 'tols': (1e-09; 0.005; 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
-0.01888,0.0,[1. 0.],1.4210854715202004e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([-1.91285734e+02,  4.76837158e-06, -1.91285795e+02]), 'qtf': array([-1.42108547e-14,  0.00000000e+00]), 'fvec': array([1.42108547e-14, 0.00000000e+00])}",14
-0.7684,2.748,[9. 5.],2.5618982671915014e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.93623925,  0.35136317],
       [-0.35136317, -0.93623925]]), 'r': array([-1.32867520e+02,  3.15450556e-06, -1.32867520e+02]), 'qtf': array([ 2.07945163e-14, -1.49639689e-14]), 'fvec': array([-1.42108547e-14,  2.13162821e-14])}",5
-0.7684,-2.748,[-0.76838295 -2.74780124],2.5618982671915014e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.93623925, -0.35136317],
       [ 0.35136317, -0.93623925]]), 'r': array([-1.32867520e+02,  4.10719884e-06, -1.32867517e+02]), 'qtf': array([2.07945163e-14, 1.49639689e-14]), 'fvec': array([-1.42108547e-14, -2.13162821e-14])}",5
-2.092,6.43,[5. 5.],2.5618982671915014e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.94824806,  0.3175305 ],
       [-0.3175305 , -0.94824806]]), 'r': array([-1.08463206e+02,  8.58616155e-06, -1.08463203e+02]), 'qtf': array([-6.70684567e-15, -2.47255029e-14]), 'fvec': array([1.42108547e-14, 2.13162821e-14])}",1
-2.092,-6.43,[-2.09164467 -6.42962802],2.5618982671915014e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.94824806, -0.3175305 ],
       [ 0.3175305 , -0.94824806]]), 'r': array([-1.08463206e+02,  5.77032951e-06, -1.08463200e+02]), 'qtf': array([-6.70684567e-15,  2.47255029e-14]), 'fvec': array([ 1.42108547e-14, -2.13162821e-14])}",1
-3.41,-10.7,[ -3.41010474 -10.70324731],9.237055564881302e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96160395, -0.27444097],
       [ 0.27444097, -0.96160395]]), 'r': array([-9.92464784e+01,  8.59322418e-06, -9.92464719e+01]), 'qtf': array([2.53502649e-14, 8.88238911e-14]), 'fvec': array([ 0.00000000e+00, -9.23705556e-14])}",5
-3.41,10.7,[-3.  5.],9.237055564881302e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96160395,  0.27444097],
       [-0.27444097, -0.96160395]]), 'r': array([-9.92464784e+01,  1.16361413e-05, -9.92464779e+01]), 'qtf': array([ 2.53502649e-14, -8.88238911e-14]), 'fvec': array([0.00000000e+00, 9.23705556e-14])}",5
-4.64,15.32,[-3. 15.],6.550880341146756e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97023285,  0.24217394],
       [-0.24217394, -0.97023285]]), 'r': array([-9.44806707e+01,  1.48195095e-05, -9.44806694e+01]), 'qtf': array([-2.92745822e-14,  5.86037726e-14]), 'fvec': array([ 1.42108547e-14, -6.39488462e-14])}",6
-4.64,-15.32,[ -4.63950276 -15.31913824],6.550880341146756e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97023285, -0.24217394],
       [ 0.24217394, -0.97023285]]), 'r': array([-9.44806707e+01,  1.20726562e-05, -9.44806627e+01]), 'qtf': array([-2.92745822e-14, -5.86037726e-14]), 'fvec': array([1.42108547e-14, 6.39488462e-14])}",6
-5.78,-20.16,[ -5.77990476 -20.15508129],1.5732545808677777e-13,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97592763, -0.21809462],
       [ 0.21809462, -0.97592763]]), 'r': array([-9.15381078e+01,  1.82765867e-05, -9.15380991e+01]), 'qtf': array([-1.56430562e-13,  1.67564639e-14]), 'fvec': array([1.56319402e-13, 1.77635684e-14])}",7
