# {'par': {'k': 0; 'D': 0.1; 'v': 0.5; 'tau': 1.0; 'R': 0.5; 'label': 'default'}; 'guess_range': ([-275; 25; 75]; [0; 100; 20]); 'tols': (1e-09; 0.005; 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
-0.2697,0.0,[1. 0.],0.0,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([-1.06171154e+02,  1.90734863e-06, -1.06171156e+02]), 'qtf': array([0., 0.]), 'fvec': array([0., 0.])}",14
-1.12,2.609,[9. 5.],7.944109290391274e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.92310536,  0.38454712],
       [-0.38454712, -0.92310536]]), 'r': array([-6.70597884e+01,  3.10659028e-06, -6.70597871e+01]), 'qtf': array([ 7.92524392e-15, -5.47157428e-16]), 'fvec': array([-7.10542736e-15,  3.55271368e-15])}",5
-1.12,-2.609,[-1.1195705  -2.60887993],7.944109290391274e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.92310536, -0.38454712],
       [ 0.38454712, -0.92310536]]), 'r': array([-6.70597884e+01,  2.13754933e-06, -6.70597859e+01]), 'qtf': array([7.92524392e-15, 5.47157428e-16]), 'fvec': array([-7.10542736e-15, -3.55271368e-15])}",5
-2.531,-6.279,[-2.53065683 -6.27930791],7.154050091670043e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.94387491, -0.33030312],
       [ 0.33030312, -0.94387491]]), 'r': array([-5.44476895e+01,  2.16424776e-06, -5.44476875e+01]), 'qtf': array([-6.43160201e-15,  3.13287860e-15]), 'fvec': array([ 7.10542736e-15, -8.32667268e-16])}",3
-2.531,6.279,[-3.  5.],7.154050091670043e-15,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.94387491,  0.33030312],
       [-0.33030312, -0.94387491]]), 'r': array([-5.44476895e+01,  5.16947032e-06, -5.44476898e+01]), 'qtf': array([-6.43160201e-15, -3.13287860e-15]), 'fvec': array([7.10542736e-15, 8.32667268e-16])}",3
-3.897,10.56,[-3. 10.],1.4210854715202004e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95971742,  0.28096704],
       [-0.28096704, -0.95971742]]), 'r': array([-4.99019386e+01,  5.61103284e-06, -4.99019381e+01]), 'qtf': array([ 3.99278180e-15, -1.36384048e-14]), 'fvec': array([0.00000000e+00, 1.42108547e-14])}",4
-3.897,-10.56,[ -3.89692158 -10.56251158],1.4210854715202004e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.95971742, -0.28096704],
       [ 0.28096704, -0.95971742]]), 'r': array([-4.99019386e+01,  4.50330886e-06, -4.99019352e+01]), 'qtf': array([3.99278180e-15, 1.36384048e-14]), 'fvec': array([ 0.00000000e+00, -1.42108547e-14])}",4
-5.155,15.19,[-3. 15.],4.796163466380676e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96922608,  0.24617231],
       [-0.24617231, -0.96922608]]), 'r': array([-4.75653153e+01,  8.03563684e-06, -4.75653134e+01]), 'qtf': array([ 1.18068265e-14, -4.64856671e-14]), 'fvec': array([0.00000000e+00, 4.79616347e-14])}",5
-5.155,-15.19,[ -5.15538895 -15.18923507],4.796163466380676e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96922608, -0.24617231],
       [ 0.24617231, -0.96922608]]), 'r': array([-4.75653153e+01,  5.29730630e-06, -4.75653106e+01]), 'qtf': array([1.18068265e-14, 4.64856671e-14]), 'fvec': array([ 0.00000000e+00, -4.79616347e-14])}",5
-6.315,-20.03,[ -6.31539691 -20.03462002],6.514653997020136e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97531187, -0.22083198],
       [ 0.22083198, -0.97531187]]), 'r': array([-4.61210923e+01,  8.16692982e-06, -4.61210888e+01]), 'qtf': array([ 1.47749095e-14, -6.34489852e-14]), 'fvec': array([-2.84217094e-14,  5.86197757e-14])}",6
-6.315,20.03,[-7. 20.],6.514653997020136e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97531187,  0.22083198],
       [-0.22083198, -0.97531187]]), 'r': array([-4.61210923e+01,  8.88552755e-06, -4.61210930e+01]), 'qtf': array([1.47749095e-14, 6.34489852e-14]), 'fvec': array([-2.84217094e-14, -5.86197757e-14])}",6
-7.393,25.03,[-7. 25.],3.908994210040608e-14,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97947965,  0.2015431 ],
       [-0.2015431 , -0.97947965]]), 'r': array([-4.51265423e+01,  1.03188914e-05, -4.51265405e+01]), 'qtf': array([6.57998754e-15, 3.85321598e-14]), 'fvec': array([-1.42108547e-14, -3.64153152e-14])}",9
