# {'par': {'k': 2.0; 'D': 0.05; 'v': 1; 'tau': 1; 'R': 0.35; 'label': '(k_2)'}; 'guess_range': ([-20; 5; 100]; [0; 80; 20]); 'tols': (1e-09; 0.005; 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
0.4942,0.0,[-0.75  0.  ],5.960464477539063e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([-3.59670558e+08,  1.00000000e+01, -3.59670548e+08]), 'qtf': array([-5.96046448e-08,  0.00000000e+00]), 'fvec': array([5.96046448e-08, 0.00000000e+00])}",48
0.208,3.019,[-1.25  4.  ],1.228781230931777e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98482251,  0.17356449],
       [-0.17356449, -0.98482251]]), 'r': array([-3.37091392e+08,  1.93983043e+01, -3.37091402e+08]), 'qtf': array([-1.12227366e-07, -5.00404977e-08]), 'fvec': array([1.19209290e-07, 2.98023224e-08])}",25
0.208,-3.019,[ 0.20804066 -3.01872116],1.228781230931777e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98482251, -0.17356449],
       [ 0.17356449, -0.98482251]]), 'r': array([-3.37091392e+08,  1.82990355e+01, -3.37091398e+08]), 'qtf': array([-1.12227366e-07,  5.00404977e-08]), 'fvec': array([ 1.19209290e-07, -2.98023224e-08])}",25
-0.5365,-6.291,[-1.  4.],1.523388678624655e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9671649 , -0.25414967],
       [ 0.25414967, -0.9671649 ]]), 'r': array([-3.00008369e+08,  1.89505610e+01, -3.00008399e+08]), 'qtf': array([-1.52166442e-07,  7.24600634e-09]), 'fvec': array([1.49011612e-07, 3.16649675e-08])}",21
-0.5365,6.291,[-0.53649429  6.29130361],1.523388678624655e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9671649 ,  0.25414967],
       [-0.25414967, -0.9671649 ]]), 'r': array([-3.00008369e+08,  3.22748729e+01, -3.00008409e+08]), 'qtf': array([-1.52166442e-07, -7.24600634e-09]), 'fvec': array([ 1.49011612e-07, -3.16649675e-08])}",21
-1.539,9.899,[-1.53902684  9.89879407],1.7943374184954607e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96146867,  0.27491452],
       [-0.27491452, -0.96146867]]), 'r': array([-2.72168350e+08,  2.99391735e+01, -2.72168362e+08]), 'qtf': array([ 1.51484908e-07, -9.61706319e-08]), 'fvec': array([-1.19209290e-07,  1.34110451e-07])}",20
-1.539,-9.899,[-1.5  4. ],1.7943374184954607e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96146867, -0.27491452],
       [ 0.27491452, -0.96146867]]), 'r': array([-2.72168350e+08,  3.30076449e+01, -2.72168347e+08]), 'qtf': array([1.51484908e-07, 9.61706319e-08]), 'fvec': array([-1.19209290e-07, -1.34110451e-07])}",20
-2.657,13.81,[-3. 12.],1.519626234052415e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96216883,  0.27245392],
       [-0.27245392, -0.96216883]]), 'r': array([-2.53634732e+08,  3.10488237e+01, -2.53634737e+08]), 'qtf': array([-6.92736630e-08,  1.35254569e-07]), 'fvec': array([ 2.98023224e-08, -1.49011612e-07])}",28
-2.657,-13.81,[ -2.65709101 -13.81186553],1.519626234052415e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96216883, -0.27245392],
       [ 0.27245392, -0.96216883]]), 'r': array([-2.53634732e+08,  4.51513046e+01, -2.53634716e+08]), 'qtf': array([-6.92736630e-08, -1.35254569e-07]), 'fvec': array([2.98023224e-08, 1.49011612e-07])}",28
-3.814,17.98,[-3.75 12.  ],1.2731557704981462e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96498025,  0.26232254],
       [-0.26232254, -0.96498025]]), 'r': array([-2.41062333e+08,  4.33155545e+01, -2.41062346e+08]), 'qtf': array([-1.03307879e-07, -7.44092626e-08]), 'fvec': array([1.19209290e-07, 4.47034836e-08])}",45
-3.814,-17.98,[ -3.81367604 -17.97527677],1.2731557704981462e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96498025, -0.26232254],
       [ 0.26232254, -0.96498025]]), 'r': array([-2.41062333e+08,  4.63893677e+01, -2.41062322e+08]), 'qtf': array([-1.03307879e-07,  7.44092626e-08]), 'fvec': array([ 1.19209290e-07, -4.47034836e-08])}",45
-4.971,22.34,[-3.5 12. ],4.544854164123535e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96818133,  0.25024968],
       [-0.25024968, -0.96818133]]), 'r': array([-2.32146984e+08,  5.37554895e+01, -2.32146989e+08]), 'qtf': array([ 1.13734831e-07, -4.40024297e-07]), 'fvec': array([0.00000000e+00, 4.54485416e-07])}",58
-4.971,-22.34,[ -4.97068962 -22.33887915],4.544854164123535e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96818133, -0.25024968],
       [ 0.25024968, -0.96818133]]), 'r': array([-2.32146984e+08,  4.81177592e+01, -2.32146964e+08]), 'qtf': array([1.13734831e-07, 4.40024297e-07]), 'fvec': array([ 0.00000000e+00, -4.54485416e-07])}",58
