# {'par': {'k': 1.5; 'D': 0.05; 'v': 1; 'tau': 1; 'R': 0.35; 'label': 'default'}; 'guess_range': ([-20; 5; 100]; [0; 80; 20]); 'tols': (1e-09; 0.005; 3)}
Sol_r,Sol_i,Guess,g(x),ier,msg,infodict,instances
0.2321,0.0,[-1.  0.],1.1920928955078125e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-1.,  0.],
       [ 0., -1.]]), 'r': array([-3.54120921e+08,  6.00000000e+00, -3.54120864e+08]), 'qtf': array([1.1920929e-07, 0.0000000e+00]), 'fvec': array([-1.1920929e-07,  0.0000000e+00])}",52
-0.04245,3.062,[-1.5  4. ],4.7706993203109864e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98625274,  0.16524384],
       [-0.16524384, -0.98625274]]), 'r': array([-3.33682621e+08,  6.83230172e+01, -3.33683067e+08]), 'qtf': array([-2.32368095e-08, -4.16654279e-08]), 'fvec': array([2.98023224e-08, 3.72529030e-08])}",26
-0.04245,-3.062,[-0.04245424 -3.06159308],4.7706993203109864e-08,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.98625274, -0.16524384],
       [ 0.16524384, -0.98625274]]), 'r': array([-3.33682621e+08, -3.90270177e+01, -3.33683062e+08]), 'qtf': array([-2.32368095e-08,  4.16654279e-08]), 'fvec': array([ 2.98023224e-08, -3.72529030e-08])}",26
-0.762,-6.362,[-1.75  4.  ],2.0914776396182476e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96933443, -0.24574531],
       [ 0.24574531, -0.96933443]]), 'r': array([-2.98942302e+08,  2.95374899e+01, -2.98942316e+08]), 'qtf': array([ 2.05880811e-07, -3.68222590e-08]), 'fvec': array([-2.08616257e-07, -1.49011612e-08])}",26
-0.762,6.362,[-0.76198556  6.3621565 ],2.0914776396182476e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96933443,  0.24574531],
       [-0.24574531, -0.96933443]]), 'r': array([-2.98942302e+08,  1.89562257e+01, -2.98942327e+08]), 'qtf': array([2.05880811e-07, 3.68222590e-08]), 'fvec': array([-2.08616257e-07,  1.49011612e-08])}",26
-1.739,-9.984,[-1.73874065 -9.98359103],2.086162567138672e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96324482, -0.26862504],
       [ 0.26862504, -0.96324482]]), 'r': array([-2.72027668e+08,  2.79521614e+01, -2.72027651e+08]), 'qtf': array([-5.60395498e-08, -2.00948529e-07]), 'fvec': array([0.00000000e+00, 2.08616257e-07])}",24
-1.739,9.984,[-2.5  8. ],2.086162567138672e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96324482,  0.26862504],
       [-0.26862504, -0.96324482]]), 'r': array([-2.72027668e+08,  3.20852067e+01, -2.72027669e+08]), 'qtf': array([-5.60395498e-08,  2.00948529e-07]), 'fvec': array([ 0.00000000e+00, -2.08616257e-07])}",24
-2.835,-13.9,[ -2.83488945 -13.90228292],2.388837865275353e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9634397 , -0.26792527],
       [ 0.26792527, -0.9634397 ]]), 'r': array([-2.53782204e+08,  2.55235796e+01, -2.53782174e+08]), 'qtf': array([ 2.25709526e-07, -7.82347329e-08]), 'fvec': array([-2.38418579e-07,  1.49011612e-08])}",36
-2.835,13.9,[-3.25 12.  ],2.388837865275353e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.9634397 ,  0.26792527],
       [-0.26792527, -0.9634397 ]]), 'r': array([-2.53782204e+08,  5.08658855e+01, -2.53782194e+08]), 'qtf': array([2.25709526e-07, 7.82347329e-08]), 'fvec': array([-2.38418579e-07, -1.49011612e-08])}",36
-3.974,18.07,[-4. 12.],3.348619498944913e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96587837,  0.25899608],
       [-0.25899608, -0.96587837]]), 'r': array([-2.41283895e+08,  4.71938181e+01, -2.41283893e+08]), 'qtf': array([-2.46040017e-07,  2.27149368e-07]), 'fvec': array([ 1.78813934e-07, -2.83122063e-07])}",49
-3.974,-18.07,[ -3.97380283 -18.06703995],3.348619498944913e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96587837, -0.25899608],
       [ 0.25899608, -0.96587837]]), 'r': array([-2.41283895e+08,  4.34704356e+01, -2.41283869e+08]), 'qtf': array([-2.46040017e-07, -2.27149368e-07]), 'fvec': array([1.78813934e-07, 2.83122063e-07])}",49
-5.117,-22.43,[ -5.11664897 -22.42989811],1.0350677363164577e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96882951, -0.24772843],
       [ 0.24772843, -0.96882951]]), 'r': array([-2.32373564e+08,  5.48164444e+01, -2.32373543e+08]), 'qtf': array([-7.37000639e-08,  7.26770443e-08]), 'fvec': array([ 8.94069672e-08, -5.21540642e-08])}",56
-5.117,22.43,[-4.5 12. ],1.0350677363164577e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.96882951,  0.24772843],
       [-0.24772843, -0.96882951]]), 'r': array([-2.32373564e+08,  4.83674416e+01, -2.32373570e+08]), 'qtf': array([-7.37000639e-08, -7.26770443e-08]), 'fvec': array([8.94069672e-08, 5.21540642e-08])}",56
-6.244,26.95,[-7.25 28.  ],3.614107619415195e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97167548,  0.23631921],
       [-0.23631921, -0.97167548]]), 'r': array([-2.25754238e+08,  6.79172215e+01, -2.25754236e+08]), 'qtf': array([4.12093810e-09, 3.61387267e-07]), 'fvec': array([-8.94069672e-08, -3.50177288e-07])}",53
-6.244,-26.95,[ -6.24449569 -26.95260065],3.614107619415195e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97167548, -0.23631921],
       [ 0.23631921, -0.97167548]]), 'r': array([-2.25754238e+08,  4.87900961e+01, -2.25754209e+08]), 'qtf': array([ 4.12093810e-09, -3.61387267e-07]), 'fvec': array([-8.94069672e-08,  3.50177288e-07])}",53
-7.349,31.61,[-10.  32.],2.0336127376491101e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97423097,  0.22555268],
       [-0.22555268, -0.97423097]]), 'r': array([-2.20656654e+08,  7.11950417e+01, -2.20656649e+08]), 'qtf': array([ 7.44078026e-08, -1.89259839e-07]), 'fvec': array([-2.98023224e-08,  2.01165676e-07])}",58
-7.349,-31.61,[ -7.34851934 -31.60588778],2.0336127376491101e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97423097, -0.22555268],
       [ 0.22555268, -0.97423097]]), 'r': array([-2.20656654e+08,  5.98378113e+01, -2.20656620e+08]), 'qtf': array([7.44078026e-08, 1.89259839e-07]), 'fvec': array([-2.98023224e-08, -2.01165676e-07])}",58
-8.425,-36.37,[ -8.42503601 -36.36747255],2.476687750010887e-07,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.97646761, -0.21566409],
       [ 0.21566409, -0.97646761]]), 'r': array([-2.16610910e+08,  7.02504588e+01, -2.16610881e+08]), 'qtf': array([2.39241452e-08, 2.46510562e-07]), 'fvec': array([ 2.98023224e-08, -2.45869160e-07])}",46
